"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Fla Atlantic","10.2","13.0","15.0","11.2","9.4","15.7"
"2","2","Rhode Island","11.1","10.0","6.0","12.0","10.2","13.4"
"3","3","N Mex State","11.3","14.0","27.0","10.8","11.8","13.7"
"4","4","TX Christian","12.7","10.0","0.0","12.2","13.5","19.7"
"5","5","Pepperdine","13.5","20.0","27.0","12.6","14.1","20.5"
"6","6","Manhattan","13.5","11.0","9.0","16.9","11.7","14.9"
"7","7","Kentucky","13.5","13.0","21.0","16.3","10.8","16.6"
"8","8","Ste F Austin","13.9","14.0","15.0","12.7","14.8","12.8"
"9","9","San Diego","14.0","14.0","15.0","12.8","14.8","18.3"
"10","10","Richmond","14.1","13.0","6.0","13.8","14.4","15.2"
"11","11","Vermont","14.1","15.0","9.0","13.3","14.8","16.1"
"12","12","California","14.2","11.0","18.0","14.8","13.4","18.5"
"13","13","Sam Hous St","14.3","19.0","15.0","14.1","14.5","16.4"
"14","14","Fairfield","14.3","8.0","12.0","14.6","14.1","14.4"
"15","15","Prairie View","14.3","19.0","18.0","12.3","15.1","18.3"
"16","16","Utah","14.4","17.0","9.0","15.0","13.8","16.4"
"17","17","Wofford","14.5","16.0","9.0","13.8","15.0","13.9"
"18","18","Denver","14.7","6.0","3.0","16.3","12.9","13.2"
"19","19","NC Central","14.9","22.0","24.0","14.7","15.0","16.8"
"20","20","N Florida","15.0","12.0","12.0","13.6","15.7","17.3"
"21","21","San Diego St","15.1","17.0","18.0","11.8","17.8","14.7"
"22","22","La Salle","15.1","25.0","42.0","16.6","13.8","15.6"
"23","23","Columbia","15.1","15.0","15.0","15.4","14.8","14.3"
"24","24","Duke","15.2","13.0","21.0","14.4","15.7","11.8"
"25","25","Kent State","15.2","15.0","6.0","16.0","14.5","17.4"
"26","26","Southern","15.2","11.0","9.0","16.2","14.7","15.5"
"27","27","Wisconsin","15.2","13.0","9.0","15.4","15.1","14.5"
"28","28","St Fran (NY)","15.3","14.0","12.0","15.6","15.0","14.6"
"29","29","Memphis","15.4","19.0","24.0","15.3","15.4","15.9"
"30","30","Savannah St","15.4","13.0","15.0","10.8","17.8","13.4"
"31","31","Florida","15.5","9.0","9.0","16.7","14.3","15.9"
"32","32","Tulane","15.5","17.0","27.0","14.1","17.3","20.6"
"33","33","VA Military","15.5","22.0","21.0","16.4","15.0","18.8"
"34","34","DePaul","15.6","15.0","21.0","13.5","17.6","19.1"
"35","35","Yale","15.6","11.0","15.0","13.5","16.6","20.0"
"36","36","Chattanooga","15.7","15.0","18.0","16.2","15.2","15.6"
"37","37","App State","15.7","12.0","9.0","13.2","17.5","16.8"
"38","38","American","15.7","16.0","24.0","18.3","14.5","14.6"
"39","39","Alab A&M","15.8","11.0","9.0","13.8","16.8","13.8"
"40","40","Louisville","15.8","24.0","27.0","15.2","16.4","13.8"
"41","41","WI-Grn Bay","15.8","13.0","12.0","13.5","17.2","18.1"
"42","42","Wichita St","15.8","26.0","27.0","13.7","17.2","17.7"
"43","43","Morehead St","15.9","18.0","12.0","17.2","15.3","18.1"
"44","44","N Hampshire","16.0","18.0","24.0","16.8","15.4","16.7"
"45","45","Villanova","16.1","9.0","9.0","15.8","16.3","19.4"
"46","46","Kansas St","16.1","20.0","12.0","14.6","17.6","14.7"
"47","47","Akron","16.1","6.0","6.0","17.5","14.8","15.3"
"48","48","Seton Hall","16.2","22.0","39.0","12.4","19.7","18.7"
"49","49","Radford","16.2","14.0","9.0","17.2","15.5","18.5"
"50","50","Texas State","16.2","15.0","12.0","15.0","17.1","19.6"
"51","51","Mt St Marys","16.2","19.0","15.0","16.8","15.7","14.1"
"52","52","UC Irvine","16.2","16.0","15.0","19.4","14.6","16.5"
"53","53","Arizona","16.3","20.0","36.0","16.9","15.7","13.7"
"54","54","Beth-Cook","16.3","20.0","18.0","15.8","16.7","17.9"
"55","55","W Virginia","16.4","18.0","12.0","16.4","16.4","20.0"
"56","56","Harvard","16.4","15.0","15.0","17.0","15.9","15.7"
"57","57","NC-Wilmgton","16.5","21.0","27.0","13.9","17.9","19.7"
"58","58","Butler","16.5","17.0","18.0","17.1","16.0","15.8"
"59","59","St Peters","16.5","15.0","24.0","16.4","16.6","18.1"
"60","60","TX Southern","16.5","12.0","15.0","13.5","17.8","19.2"
"61","61","Northeastrn","16.5","20.0","6.0","19.8","14.9","18.8"
"62","62","Hartford","16.6","20.0","24.0","14.8","18.0","16.5"
"63","63","Arizona St","16.6","19.0","18.0","17.0","16.1","15.9"
"64","64","Boston Col","16.6","13.0","15.0","16.6","16.6","17.2"
"65","65","Loyola-MD","16.6","15.0","15.0","17.3","16.1","20.7"
"66","66","Weber State","16.6","14.0","9.0","17.5","15.9","12.9"
"67","67","LA Tech","16.6","18.0","27.0","14.1","18.8","14.6"
"68","68","Pittsburgh","16.6","15.0","12.0","15.5","18.0","17.1"
"69","69","GA Tech","16.6","18.0","24.0","17.0","16.3","17.9"
"70","70","LA Lafayette","16.7","24.0","18.0","16.2","17.1","17.6"
"71","71","Drexel","16.8","19.0","12.0","17.3","16.3","15.1"
"72","72","LSU","16.8","19.0","15.0","16.4","17.2","18.7"
"73","73","Illinois St","16.9","16.0","15.0","17.0","16.7","21.5"
"74","74","Virginia","16.9","21.0","18.0","17.4","16.3","16.5"
"75","75","Campbell","16.9","17.0","24.0","15.2","18.0","17.8"
"76","76","Hampton","16.9","16.0","9.0","16.9","16.9","18.2"
"77","77","Davidson","16.9","25.0","18.0","12.9","20.3","15.0"
"78","78","Cincinnati","16.9","19.0","12.0","18.0","15.8","16.1"
"79","79","Princeton","17.0","22.0","15.0","14.1","19.3","14.9"
"80","80","Middle Tenn","17.0","21.0","21.0","15.4","18.1","15.9"
"81","81","Grand Canyon","17.0","20.0","27.0","16.6","17.7","17.7"
"82","82","Gonzaga","17.0","16.0","24.0","13.4","19.5","16.7"
"83","83","Temple","17.0","21.0","18.0","18.2","15.8","18.7"
"84","84","Morgan St","17.0","26.0","15.0","15.3","17.9","17.8"
"85","85","Baylor","17.1","17.0","15.0","17.1","17.1","19.9"
"86","86","N Arizona","17.1","14.0","3.0","19.7","15.5","21.3"
"87","87","Washington","17.1","15.0","18.0","18.6","15.8","14.6"
"88","88","Dayton","17.2","25.0","27.0","15.6","18.4","16.5"
"89","89","St Marys","17.2","15.0","12.0","16.5","18.2","13.6"
"90","90","Oklahoma St","17.2","20.0","21.0","18.8","15.8","18.6"
"91","91","Michigan St","17.2","10.0","6.0","19.1","15.9","19.9"
"92","92","Indiana","17.3","13.0","6.0","16.4","18.4","17.1"
"93","93","Cal Poly","17.3","16.0","9.0","15.7","18.2","15.8"
"94","94","Boise State","17.3","17.0","21.0","17.2","17.4","19.5"
"95","95","Col Charlestn","17.4","14.0","18.0","17.8","17.1","14.8"
"96","96","Bucknell","17.5","16.0","18.0","17.6","17.3","18.2"
"97","97","Jksnville St","17.5","16.0","27.0","17.2","17.6","15.8"
"98","98","Army","17.5","6.0","3.0","20.4","14.8","20.2"
"99","99","UAB","17.5","20.0","15.0","16.5","18.3","19.1"
"100","100","Old Dominion","17.5","16.0","21.0","16.8","18.4","17.8"
"101","101","Kansas","17.5","17.0","30.0","20.0","15.7","18.8"
"102","102","TX A&M-CC","17.5","23.0","24.0","18.9","16.6","18.0"
"103","103","Florida St","17.5","15.0","9.0","20.5","14.0","19.0"
"104","104","Auburn","17.6","19.0","21.0","19.9","15.5","21.9"
"105","105","Rice","17.6","13.0","12.0","16.5","18.4","18.5"
"106","106","Holy Cross","17.6","13.0","12.0","19.4","16.1","18.8"
