"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Ste F Austin","52.0","61.0","58.0","47.4","55.1","55.0"
"2","2","W Illinois","54.3","63.0","81.0","50.8","57.2","60.8"
"3","3","Florida","54.4","64.3","79.0","49.4","57.8","65.0"
"4","4","Virginia","55.6","60.3","75.0","51.0","62.4","54.2"
"5","5","Savannah St","55.8","58.0","66.0","50.1","59.2","59.7"
"6","6","Denver","55.9","63.7","62.0","53.3","58.6","60.5"
"7","7","Wisconsin","55.9","54.3","57.0","51.9","60.2","53.2"
"8","8","Pittsburgh","56.0","67.0","73.0","53.4","59.1","65.5"
"9","9","Georgetown","56.4","59.7","78.0","53.9","59.3","59.3"
"10","10","N Dakota St","56.9","62.7","72.0","50.7","60.1","69.0"
"11","11","Stony Brook","57.5","64.7","75.0","56.4","58.1","59.8"
"12","12","Bucknell","58.0","64.7","68.0","56.9","58.9","61.7"
"13","13","Middle Tenn","58.1","64.7","67.0","53.3","61.8","63.0"
"14","14","Saint Louis","58.2","58.0","74.0","55.9","60.8","57.5"
"15","15","Louisville","58.3","66.7","68.0","56.1","59.9","61.0"
"16","16","Southern","58.6","55.7","64.0","51.0","61.9","64.6"
"17","17","Alabama","58.7","51.7","58.0","55.6","62.2","58.1"
"18","18","Syracuse","58.7","50.0","61.0","55.3","61.8","61.0"
"19","19","NC Central","58.7","57.7","55.0","53.7","61.9","64.8"
"20","20","Wright State","58.7","61.3","81.0","58.8","58.7","61.6"
"21","21","Cincinnati","59.0","57.7","67.0","57.5","60.7","61.5"
"22","22","Fairfield","59.2","58.3","73.0","56.6","60.5","61.1"
"23","23","Vermont","59.2","67.3","77.0","58.2","59.9","60.9"
"24","24","Wofford","59.2","59.0","60.0","56.1","61.0","63.4"
"25","25","Michigan St","59.2","57.7","71.0","55.8","62.4","59.3"
"26","26","Princeton","59.3","69.7","58.0","59.2","59.5","63.0"
"27","27","Ohio State","59.4","71.7","70.0","55.7","62.9","59.8"
"28","28","E Michigan","59.8","53.7","70.0","52.5","66.6","59.2"
"29","29","Wyoming","59.8","66.7","75.0","58.9","60.8","56.8"
"30","30","Manhattan","59.9","51.3","60.0","54.6","62.6","65.6"
"31","31","Gonzaga","59.9","61.7","76.0","60.8","59.3","63.2"
"32","32","Vanderbilt","60.1","61.3","64.0","60.2","60.1","65.0"
"33","33","Clemson","60.1","67.7","73.0","57.3","62.8","60.6"
"34","34","Howard","60.3","58.0","73.0","52.1","64.7","70.4"
"35","35","Miami (FL)","60.6","59.7","71.0","57.2","63.0","66.1"
"36","36","New Mexico","60.6","58.0","68.0","58.5","62.6","59.9"
"37","37","Albany","60.7","60.3","73.0","58.4","62.4","69.1"
"38","38","N Kentucky","61.0","60.0","73.0","54.4","64.3","--"
"39","39","Mercer","61.0","81.7","90.0","55.8","64.2","63.0"
"40","40","Wichita St","61.2","65.3","72.0","58.2","63.2","62.7"
"41","41","Columbia","61.2","60.3","64.0","60.1","62.1","63.0"
"42","42","Hartford","61.2","63.3","63.0","56.9","65.2","67.2"
"43","43","Fresno St","61.3","53.3","67.0","58.6","63.3","66.8"
"44","44","Navy","61.3","64.0","58.0","59.6","62.6","66.6"
"45","45","Kansas St","61.4","63.3","63.0","58.5","64.1","64.1"
"46","46","TX El Paso","61.6","72.3","85.0","57.9","65.2","63.1"
"47","47","San Diego St","61.6","65.3","81.0","59.1","63.3","64.7"
"48","48","Georgia","61.6","63.7","68.0","58.6","65.4","63.0"
"49","49","Gard-Webb","61.8","63.7","69.0","60.2","62.9","67.3"
"50","50","Davidson","61.9","58.7","59.0","56.8","64.8","67.9"
"51","51","Kansas","61.9","67.3","87.0","58.5","64.8","61.7"
"52","52","Col Charlestn","62.1","70.7","78.0","61.6","62.6","68.3"
"53","53","Indiana","62.1","58.3","61.0","59.1","65.5","66.4"
"54","54","Texas A&M","62.1","65.7","62.0","62.5","61.7","61.6"
"55","55","S Florida","62.2","52.7","46.0","62.9","61.3","57.0"
"56","56","NC A&T","62.2","68.3","79.0","57.4","64.3","73.9"
"57","57","Minnesota","62.2","64.0","78.0","57.1","67.4","64.8"
"58","58","Weber State","62.2","69.0","77.0","59.4","64.9","70.1"
"59","59","N Iowa","62.3","62.3","59.0","59.7","65.3","62.4"
"60","60","GA Tech","62.4","75.7","84.0","57.7","68.0","62.6"
"61","61","Xavier","62.5","63.7","58.0","62.4","62.5","67.3"
"62","62","Marquette","62.6","62.7","55.0","62.4","62.8","65.9"
"63","63","Valparaiso","62.7","62.7","65.0","58.8","66.8","66.8"
"64","64","St Marys","62.8","57.7","54.0","62.4","63.1","63.2"
"65","65","Michigan","62.8","66.7","56.0","59.1","65.6","62.3"
"66","66","TX-Arlington","62.8","67.0","84.0","60.4","64.8","67.8"
"67","67","Sam Hous St","62.8","57.7","55.0","55.3","67.0","61.9"
"68","68","Iowa","62.8","66.0","74.0","57.4","68.9","72.5"
"69","69","Winthrop","62.9","57.7","54.0","60.1","64.9","65.8"
"70","70","N Mex State","62.9","61.3","64.0","58.3","66.5","68.4"
"71","71","Wash State","63.0","58.7","64.0","59.1","68.0","66.1"
"72","72","Oklahoma St","63.0","69.3","68.0","59.6","66.6","68.5"
"73","73","Akron","63.1","64.3","88.0","59.8","65.9","65.9"
"74","74","TX Christian","63.1","72.0","70.0","59.5","67.4","72.9"
"75","75","Drexel","63.1","61.0","60.0","63.9","62.5","56.1"
"76","76","Loyola-Chi","63.1","66.0","62.0","65.2","61.5","63.5"
"77","77","N Illinois","63.1","56.0","45.0","61.2","64.7","68.3"
"78","78","N Hampshire","63.1","63.7","61.0","65.2","61.8","62.8"
"79","79","Creighton","63.2","64.7","66.0","63.2","63.2","69.7"
"80","80","S Methodist","63.2","64.7","53.0","62.8","63.5","61.1"
"81","81","Arkansas St","63.2","66.3","58.0","58.2","67.6","66.0"
"82","82","Rider","63.3","57.3","75.0","60.1","65.5","74.6"
"83","83","Tennessee","63.4","62.0","75.0","63.2","63.5","65.3"
"84","84","IL-Chicago","63.4","65.3","63.0","60.2","66.0","68.8"
"85","85","Nebraska","63.5","66.7","71.0","57.8","69.4","65.6"
"86","86","Loyola-MD","63.5","64.0","70.0","60.6","65.9","64.2"
"87","87","Notre Dame","63.5","70.0","76.0","61.5","66.1","61.7"
"88","88","Oregon","63.6","63.0","77.0","58.3","69.2","68.9"
"89","89","Colorado","63.6","68.0","57.0","61.9","65.0","64.1"
"90","90","UNLV","63.6","64.0","64.0","62.1","65.5","66.4"
"91","91","Butler","63.6","65.7","74.0","59.3","66.8","60.9"
"92","92","Arizona","63.6","62.7","73.0","63.2","63.9","62.7"
"93","93","WI-Grn Bay","63.6","69.3","75.0","58.0","68.9","66.6"
"94","94","Northwestern","63.7","70.0","73.0","63.2","64.4","68.2"
"95","95","LA Tech","63.7","67.3","63.0","60.3","66.3","70.1"
"96","96","Utah State","63.8","65.0","83.0","63.1","64.6","65.1"
"97","97","American","63.9","70.3","65.0","58.9","67.6","62.2"
"98","98","St Josephs","63.9","67.3","63.0","59.8","67.1","67.9"
"99","99","Hampton","64.0","65.7","63.0","66.1","62.2","66.8"
"100","100","Cal Poly","64.0","60.3","85.0","61.5","65.7","60.6"
"101","101","Maryland","64.0","60.0","71.0","62.2","66.3","70.7"
"102","102","Bowling Grn","64.2","65.7","63.0","57.5","70.9","64.6"
"103","103","S Mississippi","64.2","67.3","79.0","59.9","67.1","66.3"
"104","104","Delaware St","64.3","68.3","84.0","54.3","68.3","65.3"
"105","105","Holy Cross","64.3","68.3","77.0","63.2","65.1","66.8"
"106","106","California","64.3","68.7","66.0","62.5","66.1","61.9"
"107","107","Colorado St","64.4","76.3","82.0","61.9","66.4","68.0"
"108","108","E Illinois","64.4","58.0","78.0","64.1","64.6","68.9"
"109","109","Kentucky","64.5","60.0","59.0","61.2","68.3","60.6"
"110","110","Ohio","64.5","63.0","61.0","60.1","69.4","62.7"
"111","111","Harvard","64.5","64.0","74.0","63.5","65.2","55.8"
"112","112","Boston U","64.5","66.7","70.0","63.9","64.9","63.6"
"113","113","VCU","64.5","60.7","78.0","61.6","67.1","59.8"
"114","114","Utah","64.5","66.3","64.0","62.7","66.2","70.2"
"115","115","James Mad","64.6","65.0","83.0","59.1","68.1","69.8"
"116","116","W Michigan","64.6","66.7","62.0","65.9","63.8","70.2"
"117","117","Idaho State","64.7","70.3","71.0","67.6","62.9","73.3"
"118","118","Providence","64.9","71.0","79.0","61.1","69.1","69.2"
"119","119","Illinois","64.9","64.0","63.0","64.0","65.6","64.2"
"120","120","Memphis","64.9","67.0","70.0","64.5","65.3","63.1"
"121","121","Jksnville St","65.0","70.7","78.0","65.1","64.9","63.2"
"122","122","Texas","65.0","65.3","73.0","61.1","68.8","66.8"
"123","123","Purdue","65.1","70.0","86.0","63.3","67.3","66.0"
"124","124","TX Southern","65.1","58.3","59.0","62.3","67.2","62.8"
"125","125","Seton Hall","65.2","57.7","75.0","63.4","66.8","63.8"
"126","126","Belmont","65.2","74.0","81.0","61.1","67.7","67.7"
"127","127","S Illinois","65.2","60.3","61.0","63.4","66.4","69.3"
"128","128","Coastal Car","65.3","69.0","78.0","61.1","69.5","67.5"
"129","129","Duke","65.3","65.3","85.0","62.2","67.8","68.6"
"130","130","Villanova","65.3","68.3","78.0","63.7","66.7","70.6"
"131","131","Missouri St","65.4","59.3","69.0","63.9","66.4","63.5"
"132","132","Pacific","65.4","62.0","78.0","63.4","66.7","67.5"
"133","133","Connecticut","65.4","61.7","59.0","62.4","69.3","64.5"
"134","134","Brown","65.4","63.7","67.0","63.8","66.7","69.6"
"135","135","GA Southern","65.4","71.0","86.0","63.4","66.5","68.3"
"136","136","Morgan St","65.4","63.0","57.0","62.6","66.6","69.6"
"137","137","Norfolk St","65.5","61.7","67.0","64.1","66.2","67.8"
"138","138","Geo Wshgtn","65.5","80.3","77.0","63.1","67.6","66.7"
"139","139","Sac State","65.7","62.0","71.0","64.2","66.9","70.8"
"140","140","Rob Morris","65.7","67.7","77.0","65.9","65.6","63.5"
"141","141","St Peters","65.7","69.7","54.0","64.7","66.5","69.0"
"142","142","Indiana St","65.8","60.7","68.0","63.2","67.7","65.1"
"143","143","Evansville","65.9","78.7","81.0","63.5","68.4","73.4"
"144","144","Lehigh","65.9","71.0","67.0","61.4","69.3","65.7"
"145","145","Geo Mason","65.9","75.7","80.0","65.1","66.7","64.9"
"146","146","Elon","65.9","66.0","69.0","63.3","67.8","72.6"
"147","147","Tulane","65.9","77.0","77.0","61.8","70.6","62.0"
"148","148","St Johns","66.2","65.0","68.0","63.0","69.1","70.9"
"149","149","Montana","66.2","67.0","81.0","61.8","69.1","62.6"
"150","150","Rutgers","66.2","59.0","69.0","65.6","66.9","65.8"
"151","151","W Kentucky","66.2","61.0","64.0","62.6","68.6","68.1"
"152","152","UC Irvine","66.3","70.3","76.0","61.6","68.7","72.6"
"153","153","Alcorn State","66.3","73.3","67.0","63.8","67.6","69.0"
"154","154","Oklahoma","66.3","71.0","70.0","61.1","70.3","68.5"
"155","155","UC Riverside","66.4","64.7","56.0","63.7","68.4","63.7"
"156","156","La Salle","66.4","69.0","72.0","65.6","66.9","66.1"
"157","157","Stanford","66.5","70.7","66.0","63.1","69.9","63.2"
"158","158","S Dakota St","66.5","64.7","71.0","60.8","70.0","66.7"
"159","159","Richmond","66.5","65.3","57.0","63.0","70.1","67.2"
"160","160","Ark Pine Bl","66.6","62.3","70.0","57.6","70.5","69.4"
"161","161","Dayton","66.7","72.3","73.0","62.5","71.8","67.6"
"162","162","Missouri","66.7","66.0","84.0","62.4","71.1","66.3"
"163","163","Dartmouth","66.7","62.7","58.0","65.9","67.4","63.9"
"164","164","Troy","66.8","66.7","68.0","63.3","69.7","76.3"
"165","165","San Diego","66.8","65.7","69.0","67.4","66.4","71.0"
"166","166","Hofstra","66.9","62.0","62.0","63.3","69.8","67.2"
"167","167","NJIT","66.9","65.3","62.0","65.6","67.9","70.7"
"168","168","Boise State","66.9","72.7","80.0","65.2","68.2","67.0"
"169","169","Samford","66.9","60.3","55.0","64.8","68.3","70.4"
"170","170","Mississippi","66.9","61.7","76.0","63.6","69.8","66.2"
"171","171","Prairie View","66.9","59.7","45.0","66.1","67.3","67.7"
"172","172","Wagner","67.1","67.0","94.0","68.7","65.7","64.3"
"173","173","Charl South","67.1","76.7","78.0","65.5","68.5","73.2"
"174","174","Rhode Island","67.1","77.3","75.0","62.5","72.1","75.5"
"175","175","E Kentucky","67.2","76.3","86.0","64.5","69.3","67.8"
"176","176","Baylor","67.2","64.0","54.0","64.9","69.6","65.6"
"177","177","Washington","67.2","77.3","90.0","65.8","68.8","70.1"
"178","178","Georgia St","67.2","75.7","90.0","67.9","66.6","58.9"
"179","179","Fla Gulf Cst","67.3","67.0","62.0","58.6","73.1","72.3"
"180","180","Yale","67.4","67.0","65.0","68.0","67.1","65.0"
"181","181","High Point","67.4","67.7","80.0","68.2","66.6","71.4"
"182","182","Arizona St","67.5","79.0","89.0","63.6","72.7","66.3"
"183","183","Towson","67.5","72.0","64.0","68.0","67.3","69.7"
"184","184","Kent State","67.6","68.7","73.0","68.6","66.5","66.0"
"185","185","USC","67.6","70.0","69.0","64.0","71.2","59.7"
"186","186","Charlotte","67.6","70.0","75.0","61.8","72.4","68.9"
"187","187","Oral Roberts","67.6","73.7","83.0","65.2","69.2","65.8"
"188","188","Pepperdine","67.7","75.0","62.0","66.2","68.7","66.5"
"189","189","Buffalo","67.7","67.7","70.0","65.1","69.7","67.7"
"190","190","IPFW","67.7","72.0","72.0","64.4","69.8","75.3"
"191","191","AR Lit Rock","67.8","69.3","69.0","63.6","71.8","64.4"
"192","192","Central FL","67.8","72.0","70.0","64.8","72.7","63.4"
"193","193","SC Upstate","67.8","63.3","72.0","66.7","68.5","68.8"
"194","194","Temple","67.9","69.7","58.0","69.1","66.8","69.5"
