"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Central FL","36.1%","38.5%","38.1%","32.8%","40.0%","41.5%"
"2","2","Gonzaga","36.8%","36.3%","36.8%","36.2%","37.3%","39.8%"
"3","3","CS Bakersfld","37.4%","31.1%","28.8%","37.2%","37.5%","39.7%"
"4","4","Illinois St","37.5%","37.6%","38.0%","36.7%","38.2%","42.6%"
"5","5","Wichita St","37.9%","35.1%","29.3%","37.4%","38.4%","38.6%"
"6","6","Cincinnati","38.0%","36.1%","31.2%","38.7%","36.9%","39.3%"
"7","7","S Methodist","38.5%","36.4%","33.8%","36.2%","41.7%","40.0%"
"8","8","UC Irvine","38.5%","36.3%","31.2%","38.2%","38.7%","38.5%"
"9","9","E Carolina","38.7%","39.6%","37.7%","35.0%","43.2%","44.7%"
"10","10","San Diego St","38.8%","31.2%","35.8%","37.4%","40.0%","37.3%"
"11","11","Connecticut","38.9%","38.8%","36.4%","36.9%","40.9%","38.6%"
"12","12","Virginia","39.1%","33.6%","33.3%","36.5%","42.1%","42.0%"
"13","13","California","39.4%","41.1%","34.0%","38.1%","41.5%","39.7%"
"14","14","Louisville","39.4%","41.2%","41.4%","39.0%","40.0%","39.0%"
"15","15","Baylor","39.5%","44.0%","40.6%","38.0%","41.3%","45.0%"
"16","16","Minnesota","39.6%","38.6%","43.9%","39.6%","39.6%","45.1%"
"17","17","S Carolina","39.8%","38.5%","46.2%","38.1%","42.2%","40.0%"
"18","18","Northwestern","39.8%","43.1%","44.4%","39.8%","39.9%","40.1%"
"19","19","Alabama","39.9%","31.5%","32.2%","40.5%","39.3%","40.9%"
"20","20","Old Dominion","39.9%","38.7%","41.8%","39.8%","40.0%","39.7%"
"21","21","GA Tech","40.0%","43.5%","38.9%","36.5%","45.4%","44.2%"
"22","22","Oregon","40.1%","42.4%","34.3%","38.1%","42.5%","42.7%"
"23","23","Colorado St","40.2%","43.4%","43.5%","40.9%","39.4%","45.2%"
"24","24","Monmouth","40.3%","39.1%","53.6%","39.3%","41.1%","39.5%"
"25","25","Houston","40.4%","41.5%","32.0%","37.6%","43.7%","42.1%"
"26","26","Texas A&M","40.4%","34.3%","44.1%","39.1%","42.0%","40.7%"
"27","27","NC Central","40.6%","43.2%","43.9%","40.6%","40.6%","43.6%"
"28","28","Oakland","40.6%","42.6%","44.2%","41.8%","39.1%","43.5%"
"29","29","Wisconsin","40.7%","40.2%","32.1%","37.8%","44.2%","42.6%"
"30","30","Seattle","40.7%","43.7%","43.5%","38.9%","42.7%","41.8%"
"31","31","Florida","40.8%","41.6%","44.4%","42.3%","40.1%","41.2%"
"32","32","Winthrop","40.8%","39.1%","34.9%","40.2%","41.3%","42.5%"
"33","33","TN State","40.8%","40.7%","35.0%","42.4%","39.9%","41.8%"
"34","34","Rhode Island","40.9%","39.2%","43.5%","40.7%","41.1%","42.6%"
"35","35","St Marys","40.9%","39.6%","50.0%","43.4%","38.3%","41.0%"
"36","36","Rutgers","40.9%","43.5%","35.6%","38.9%","43.1%","45.5%"
"37","37","Michigan St","41.0%","43.5%","42.3%","38.9%","43.4%","38.2%"
"38","38","Valparaiso","41.0%","47.5%","32.0%","38.9%","43.4%","39.0%"
"39","39","Miami (FL)","41.0%","40.6%","43.9%","39.2%","43.4%","43.1%"
"40","40","Florida St","41.1%","44.4%","41.9%","40.3%","42.2%","44.2%"
"41","41","Norfolk St","41.1%","35.6%","30.4%","39.3%","42.2%","43.0%"
"42","42","Wyoming","41.1%","45.1%","44.2%","39.9%","42.5%","43.6%"
"43","43","BYU","41.2%","49.4%","55.8%","38.5%","44.2%","42.0%"
"44","44","Dayton","41.2%","46.4%","47.4%","39.1%","43.4%","40.4%"
"45","45","Georgia","41.2%","48.9%","55.7%","41.5%","41.0%","39.0%"
"46","46","Maryland","41.2%","42.2%","36.7%","40.6%","42.1%","40.8%"
"47","47","Idaho","41.3%","42.2%","39.3%","38.2%","43.9%","42.1%"
"48","48","Purdue","41.3%","47.7%","45.0%","38.1%","45.5%","39.1%"
"49","49","U Mass","41.4%","45.3%","34.5%","40.1%","43.1%","42.7%"
"50","50","Georgia St","41.4%","41.4%","41.1%","42.3%","40.7%","41.2%"
"51","51","Ohio","41.4%","44.2%","39.6%","41.5%","41.3%","43.5%"
"52","52","E Tenn St","41.5%","39.2%","41.0%","43.3%","40.3%","44.2%"
"53","53","Wagner","41.5%","47.1%","52.0%","42.5%","40.6%","41.2%"
"54","54","Arizona","41.6%","44.3%","34.6%","41.2%","42.1%","41.3%"
"55","55","Villanova","41.7%","43.9%","36.2%","39.2%","44.1%","40.3%"
"56","56","Kansas","41.7%","41.3%","42.3%","41.1%","42.3%","39.8%"
"57","57","UCLA","41.7%","43.4%","41.5%","40.4%","43.4%","43.0%"
"58","58","N Carolina","41.7%","38.5%","44.4%","40.7%","42.8%","41.7%"
"59","59","Ohio State","41.7%","48.2%","58.6%","40.3%","44.0%","40.4%"
"60","60","U Penn","41.8%","47.7%","48.3%","44.2%","40.0%","44.3%"
"61","61","Harvard","41.8%","42.2%","47.2%","39.6%","43.8%","41.2%"
"62","62","VCU","41.8%","43.6%","41.5%","41.8%","41.9%","44.0%"
"63","63","TX-Arlington","41.8%","42.1%","46.9%","40.3%","42.8%","39.9%"
"64","64","Memphis","41.9%","47.5%","60.7%","38.8%","46.4%","40.0%"
"65","65","LA Tech","41.9%","40.3%","39.7%","40.3%","43.7%","43.8%"
"66","66","Fresno St","41.9%","39.2%","35.8%","39.2%","44.4%","42.3%"
"67","67","Ball State","41.9%","43.6%","42.6%","42.9%","41.0%","40.6%"
"68","68","St Peters","41.9%","42.0%","46.9%","42.4%","41.6%","41.2%"
"69","69","San Fransco","42.0%","36.5%","42.6%","41.9%","42.0%","44.2%"
"70","70","Col Charlestn","42.0%","42.7%","52.8%","39.5%","44.0%","42.6%"
"71","71","Bradley","42.0%","36.0%","37.1%","42.4%","41.8%","44.1%"
"72","72","Middle Tenn","42.1%","43.7%","34.0%","41.9%","42.2%","43.5%"
"73","73","Indiana St","42.1%","43.9%","47.3%","42.6%","41.8%","41.9%"
"74","74","Jksnville St","42.2%","34.9%","35.2%","42.5%","42.1%","46.7%"
"75","75","Mercer","42.2%","44.2%","46.3%","42.0%","42.3%","40.8%"
"76","76","Grand Canyon","42.2%","38.8%","26.8%","41.5%","43.1%","42.5%"
"77","77","Towson","42.2%","41.7%","48.8%","42.4%","42.1%","42.4%"
"78","78","Buffalo","42.3%","44.6%","37.7%","39.0%","44.3%","43.7%"
"79","79","Elon","42.3%","42.7%","41.4%","41.9%","42.5%","44.8%"
"80","80","W Virginia","42.3%","42.4%","38.3%","42.3%","42.2%","42.4%"
"81","81","Georgetown","42.3%","43.8%","46.3%","39.8%","45.3%","41.2%"
"82","82","Arkansas","42.3%","39.4%","31.1%","41.6%","43.2%","43.5%"
"83","83","Bucknell","42.5%","32.4%","32.3%","40.5%","44.2%","43.2%"
"84","84","Mississippi","42.5%","42.6%","36.5%","41.0%","44.6%","42.8%"
"85","85","Notre Dame","42.5%","42.4%","40.7%","40.5%","45.2%","43.2%"
"86","86","Geo Mason","42.5%","45.9%","45.6%","43.2%","41.8%","42.3%"
"87","87","Coastal Car","42.5%","42.0%","39.3%","39.6%","45.7%","40.1%"
"88","88","Indiana","42.5%","46.8%","53.2%","40.4%","45.6%","44.4%"
"89","89","Kentucky","42.6%","40.1%","40.4%","42.5%","42.6%","39.7%"
"90","90","Oklahoma","42.6%","38.9%","41.8%","41.2%","44.1%","41.2%"
"91","91","Nevada","42.6%","39.6%","38.7%","41.4%","43.6%","40.6%"
"92","92","Tennessee","42.6%","45.5%","40.4%","42.5%","42.7%","42.6%"
"93","93","Colorado","42.6%","42.0%","27.3%","40.7%","44.7%","41.7%"
"94","94","Texas","42.7%","46.2%","45.0%","41.2%","44.5%","42.0%"
"95","95","Vanderbilt","42.7%","40.9%","47.4%","43.0%","42.3%","38.6%"
"96","96","Princeton","42.7%","43.4%","31.5%","39.7%","44.7%","44.2%"
"97","97","Furman","42.7%","47.7%","39.6%","40.6%","44.2%","44.5%"
"98","98","Utah State","42.7%","43.4%","43.1%","40.7%","44.8%","44.7%"
"99","99","Iowa State","42.7%","46.5%","43.3%","39.9%","45.7%","43.8%"
"100","100","Boise State","42.8%","41.5%","40.0%","42.5%","43.1%","45.3%"
"101","101","Missouri","42.8%","49.4%","56.1%","39.8%","46.7%","42.4%"
"102","102","Alcorn State","42.8%","41.9%","35.6%","39.3%","44.8%","44.4%"
"103","103","Syracuse","42.8%","46.4%","43.9%","38.7%","49.5%","41.2%"
"104","104","Samford","42.8%","32.8%","42.3%","45.6%","41.0%","44.8%"
"105","105","UC Riverside","42.8%","43.9%","40.7%","38.0%","46.5%","43.6%"
"106","106","Rider","42.8%","43.6%","42.2%","45.0%","41.5%","41.2%"
"107","107","Temple","42.8%","38.7%","42.4%","40.6%","45.2%","41.4%"
"108","108","Davidson","42.8%","47.0%","49.2%","40.1%","45.0%","46.0%"
"109","109","USC","42.8%","44.2%","42.0%","41.6%","44.3%","41.7%"
"110","110","TX El Paso","42.8%","44.5%","37.9%","42.3%","43.5%","42.7%"
"111","111","Evansville","42.9%","39.6%","50.9%","41.7%","43.9%","40.6%"
"112","112","Texas State","42.9%","47.2%","43.1%","41.0%","44.4%","43.5%"
"113","113","Gard-Webb","42.9%","36.2%","35.9%","43.6%","42.5%","45.0%"
"114","114","Hampton","42.9%","37.6%","45.1%","42.0%","43.5%","43.0%"
"115","115","Miss State","42.9%","42.2%","44.1%","43.5%","42.2%","43.1%"
"116","116","Kansas St","42.9%","43.7%","35.6%","42.3%","43.6%","43.4%"
"117","117","Boston U","42.9%","39.0%","41.4%","41.5%","44.4%","43.8%"
"118","118","Southern","42.9%","43.9%","32.4%","40.3%","44.8%","42.0%"
"119","119","St Bonavent","42.9%","40.2%","39.3%","43.9%","41.9%","43.6%"
"120","120","Utah","43.0%","37.5%","44.0%","41.7%","44.4%","42.1%"
"121","121","S Florida","43.0%","39.9%","43.1%","40.7%","46.5%","41.3%"
"122","122","SE Louisiana","43.0%","43.4%","44.9%","41.0%","44.6%","45.0%"
"123","123","NC-Grnsboro","43.1%","44.8%","52.8%","40.9%","44.8%","44.3%"
"124","124","Vermont","43.1%","32.3%","28.0%","42.7%","43.5%","43.2%"
"125","125","Fla Gulf Cst","43.1%","37.2%","35.1%","40.2%","46.4%","42.1%"
"126","126","N Mex State","43.2%","47.0%","48.5%","44.6%","41.4%","39.5%"
"127","127","St Fran (PA)","43.2%","38.8%","38.7%","41.2%","44.7%","45.1%"
"128","128","Belmont","43.2%","45.3%","52.1%","41.7%","44.4%","44.6%"
"129","129","Penn State","43.2%","47.0%","47.7%","40.9%","45.7%","42.4%"
"130","130","IL-Chicago","43.2%","43.1%","48.3%","41.2%","44.8%","43.2%"
"131","131","Iona","43.2%","40.8%","40.3%","44.7%","42.4%","42.3%"
"132","132","Utah Val St","43.2%","37.6%","37.5%","41.6%","44.3%","45.1%"
"133","133","Howard","43.3%","37.4%","35.8%","41.1%","44.4%","43.0%"
"134","134","UAB","43.3%","41.6%","46.6%","39.7%","47.0%","42.7%"
"135","135","UC Davis","43.3%","42.6%","45.9%","39.6%","45.1%","42.4%"
"136","136","LIU-Brooklyn","43.3%","42.9%","40.4%","41.7%","44.4%","45.1%"
"137","137","TX-San Ant","43.3%","43.0%","32.8%","39.1%","46.3%","51.1%"
"138","138","Seton Hall","43.3%","47.4%","40.4%","42.3%","44.2%","40.2%"
"139","139","Texas Tech","43.4%","45.1%","44.0%","43.1%","43.8%","42.8%"
"140","140","N Dakota St","43.4%","50.3%","50.0%","42.7%","43.8%","42.6%"
"141","141","St Josephs","43.4%","41.0%","39.2%","43.4%","43.4%","41.7%"
"142","142","Lehigh","43.4%","42.1%","38.0%","43.5%","43.3%","43.7%"
"143","143","N Iowa","43.4%","49.0%","41.7%","41.0%","45.1%","42.4%"
"144","144","Kent State","43.4%","43.9%","46.8%","41.7%","45.3%","44.8%"
"145","145","New Mexico","43.5%","41.6%","31.5%","42.2%","44.8%","42.1%"
"146","146","Richmond","43.5%","45.4%","44.0%","43.2%","43.8%","45.0%"
"147","147","Duke","43.5%","43.7%","50.7%","42.0%","45.1%","44.5%"
"148","148","Troy","43.5%","39.9%","36.4%","40.9%","45.5%","44.4%"
"149","149","Yale","43.5%","42.8%","37.0%","44.6%","42.6%","41.1%"
"150","150","Duquesne","43.5%","40.1%","36.8%","42.2%","45.4%","41.8%"
"151","151","Tulsa","43.5%","51.7%","51.0%","42.7%","44.4%","41.6%"
"152","152","Arkansas St","43.6%","42.0%","45.5%","42.1%","44.6%","40.6%"
"153","153","South Dakota","43.6%","41.5%","42.9%","42.3%","44.3%","46.6%"
"154","154","N Illinois","43.6%","47.9%","50.0%","43.6%","43.6%","41.9%"
"155","155","Fairfield","43.7%","37.7%","46.2%","43.8%","43.6%","43.5%"
"156","156","E Illinois","43.7%","42.8%","45.3%","45.1%","42.6%","45.3%"
"157","157","Auburn","43.7%","41.9%","34.4%","42.1%","45.3%","44.3%"
"158","158","E Michigan","43.7%","40.3%","41.2%","43.5%","43.9%","43.3%"
"159","159","Creighton","43.7%","48.6%","53.2%","44.1%","43.3%","43.2%"
"160","160","Jackson St","43.8%","42.8%","39.6%","43.1%","44.2%","40.0%"
"161","161","E Washingtn","43.8%","42.1%","43.1%","44.0%","43.7%","49.0%"
"162","162","WI-Grn Bay","43.8%","44.8%","41.7%","42.8%","44.5%","45.3%"
"163","163","Rob Morris","43.8%","46.4%","51.9%","44.6%","43.3%","43.4%"
"164","164","GA Southern","43.8%","40.8%","47.1%","44.2%","43.6%","44.9%"
"165","165","James Mad","43.8%","40.7%","40.7%","45.9%","42.2%","39.4%"
"166","166","Iowa","43.8%","44.0%","44.3%","42.2%","46.2%","42.1%"
"167","167","Illinois","43.9%","42.9%","43.4%","43.2%","44.6%","46.2%"
"168","168","Sam Hous St","43.9%","48.1%","46.8%","44.2%","43.7%","44.9%"
"169","169","Stony Brook","43.9%","39.9%","39.1%","43.6%","44.3%","41.8%"
"170","170","Columbia","43.9%","43.9%","43.6%","41.7%","45.8%","44.6%"
"171","171","Portland","44.0%","49.1%","56.9%","44.0%","43.9%","45.5%"
"172","172","North Texas","44.0%","48.2%","48.6%","44.8%","43.0%","47.0%"
"173","173","LA Monroe","44.0%","47.1%","48.0%","43.1%","44.6%","41.3%"
"174","174","Miami (OH)","44.1%","44.4%","46.9%","42.3%","46.1%","43.6%"
"175","175","Albany","44.1%","39.4%","40.0%","44.7%","43.6%","42.6%"
"176","176","Niagara","44.1%","42.8%","47.5%","43.0%","44.8%","42.5%"
"177","177","CS Fullerton","44.1%","44.2%","46.4%","42.9%","45.2%","43.8%"
"178","178","Saint Louis","44.1%","36.9%","45.3%","43.3%","45.4%","43.3%"
"179","179","S Mississippi","44.1%","41.7%","50.0%","42.8%","45.1%","43.7%"
"180","180","Providence","44.1%","44.2%","37.1%","42.4%","46.7%","44.0%"
"181","181","Missouri St","44.1%","44.3%","44.4%","42.8%","45.6%","45.0%"
"182","182","TX Christian","44.2%","41.9%","44.1%","42.6%","46.7%","44.7%"
"183","183","N Kentucky","44.2%","41.5%","36.2%","45.7%","43.4%","44.3%"
"184","184","Butler","44.3%","47.0%","49.0%","44.8%","43.8%","43.5%"
"185","185","Morgan St","44.3%","42.1%","53.5%","42.3%","46.0%","45.7%"
"186","186","New Orleans","44.4%","40.4%","34.0%","42.8%","45.5%","46.2%"
