"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Drexel","5.2%","4.5%","3.5%","5.4%","5.0%","7.7%"
"2","2","San Diego St","5.3%","3.2%","2.7%","5.0%","5.6%","6.9%"
"3","3","Georgia St","5.5%","4.1%","6.4%","6.0%","5.2%","7.2%"
"4","4","Ohio State","5.5%","10.0%","14.5%","3.8%","7.8%","5.8%"
"5","5","Louisville","5.6%","9.2%","6.6%","4.7%","6.4%","6.9%"
"6","6","Syracuse","5.7%","5.9%","10.1%","5.9%","5.5%","8.6%"
"7","7","W Virginia","5.8%","7.7%","11.1%","5.4%","6.2%","7.5%"
"8","8","California","5.8%","6.8%","9.8%","5.7%","6.0%","7.6%"
"9","9","Wisconsin","5.8%","5.2%","5.9%","6.2%","5.6%","7.6%"
"10","10","VA Military","5.9%","5.1%","4.1%","5.9%","5.8%","7.6%"
"11","11","Boise State","5.9%","6.5%","5.2%","4.9%","6.8%","7.8%"
"12","12","Iona","5.9%","7.0%","9.3%","5.5%","6.2%","6.6%"
"13","13","Delaware","6.0%","6.0%","5.0%","6.2%","5.8%","8.7%"
"14","14","Oregon","6.0%","6.2%","1.4%","6.0%","6.0%","8.1%"
"15","15","Arizona","6.1%","3.6%","4.0%","5.0%","7.1%","7.8%"
"16","16","Santa Clara","6.1%","4.2%","5.4%","5.2%","6.9%","7.4%"
"17","17","Wyoming","6.1%","4.1%","7.3%","6.8%","5.4%","8.2%"
"18","18","Fresno St","6.2%","7.5%","2.3%","6.6%","5.7%","6.4%"
"19","19","Idaho","6.2%","5.7%","3.2%","6.8%","5.8%","9.3%"
"20","20","Nevada","6.2%","4.7%","5.2%","6.1%","6.4%","8.3%"
"21","21","Cal Poly","6.3%","4.7%","5.5%","6.7%","6.1%","5.6%"
"22","22","Colorado St","6.3%","3.4%","3.9%","6.2%","6.3%","6.7%"
"23","23","Pittsburgh","6.3%","7.7%","16.0%","5.5%","7.1%","7.4%"
"24","24","Wichita St","6.3%","7.8%","8.9%","6.6%","6.1%","7.2%"
"25","25","CS Fullerton","6.4%","6.2%","4.0%","5.5%","7.1%","7.3%"
"26","26","Arkansas","6.4%","5.2%","3.4%","5.7%","7.2%","6.3%"
"27","27","Duquesne","6.4%","7.4%","9.0%","5.5%","7.2%","8.8%"
"28","28","N Colorado","6.4%","6.7%","7.0%","5.4%","7.3%","8.0%"
"29","29","Towson","6.4%","9.5%","13.7%","6.2%","6.6%","9.3%"
"30","30","Duke","6.4%","4.1%","3.8%","6.7%","6.1%","6.4%"
"31","31","Mississippi","6.4%","5.5%","7.4%","5.9%","7.0%","6.8%"
"32","32","Dayton","6.5%","8.6%","8.3%","4.9%","7.8%","7.6%"
"33","33","LA Tech","6.5%","6.5%","3.5%","6.2%","6.7%","7.2%"
"34","34","UCLA","6.5%","3.1%","5.1%","6.8%","6.2%","7.7%"
"35","35","UNLV","6.5%","7.5%","10.8%","6.4%","6.8%","8.1%"
"36","36","Ste F Austin","6.5%","6.8%","4.2%","5.5%","7.2%","9.3%"
"37","37","Creighton","6.6%","5.0%","3.0%","6.8%","6.4%","9.0%"
"38","38","Iowa State","6.6%","6.5%","6.2%","6.3%","6.8%","7.9%"
"39","39","UCSB","6.6%","7.2%","4.7%","5.1%","7.6%","8.9%"
"40","40","North Dakota","6.6%","5.1%","5.6%","7.0%","6.3%","8.9%"
"41","41","Charl South","6.6%","7.9%","9.1%","6.0%","6.9%","7.5%"
"42","42","GA Southern","6.6%","4.7%","2.9%","6.8%","6.5%","8.5%"
"43","43","Toledo","6.6%","3.6%","7.1%","6.4%","6.8%","8.6%"
"44","44","Illinois","6.6%","4.1%","0.0%","6.9%","6.4%","7.3%"
"45","45","St Johns","6.7%","5.2%","3.5%","6.8%","6.5%","7.7%"
"46","46","Radford","6.7%","6.6%","9.3%","6.3%","6.9%","8.8%"
"47","47","Boston U","6.7%","4.4%","4.7%","7.0%","6.5%","7.9%"
"48","48","Cincinnati","6.7%","6.9%","5.3%","6.5%","7.1%","7.2%"
"49","49","S Alabama","6.7%","3.6%","3.5%","7.7%","5.9%","9.2%"
"50","50","Baylor","6.8%","6.6%","1.4%","5.7%","7.6%","7.7%"
"51","51","Quinnipiac","6.8%","8.2%","12.3%","6.0%","7.3%","7.5%"
"52","52","Chicago St","6.8%","8.2%","6.5%","7.8%","6.1%","8.7%"
"53","53","Idaho State","6.8%","4.7%","7.1%","6.0%","7.3%","8.0%"
"54","54","NC Central","6.8%","6.4%","6.7%","6.0%","7.3%","9.7%"
"55","55","Penn State","6.8%","5.8%","5.3%","6.6%","7.1%","7.7%"
"56","56","Marquette","6.8%","8.8%","9.1%","6.8%","6.9%","8.6%"
"57","57","Niagara","6.8%","9.4%","4.7%","7.5%","6.4%","6.8%"
"58","58","Montana","6.8%","6.2%","4.2%","5.1%","8.1%","8.2%"
"59","59","Washington","6.8%","7.1%","6.7%","6.6%","7.2%","7.8%"
"60","60","Michigan","6.9%","5.9%","2.8%","6.2%","7.3%","7.2%"
"61","61","Rob Morris","6.9%","7.8%","8.1%","7.1%","6.7%","7.7%"
"62","62","Tennessee","6.9%","7.0%","7.0%","7.2%","6.7%","8.3%"
"63","63","VCU","6.9%","6.4%","7.4%","7.2%","6.7%","7.2%"
"64","64","N Mex State","6.9%","8.2%","9.1%","4.0%","8.9%","7.8%"
"65","65","E Tenn St","6.9%","4.8%","1.2%","5.9%","8.2%","9.6%"
"66","66","Illinois St","6.9%","8.2%","9.0%","6.5%","7.4%","7.8%"
"67","67","Coppin State","6.9%","5.6%","1.2%","7.0%","6.9%","9.1%"
