"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Drexel","3.9","3.3","3.0","4.0","3.9","5.7"
"2","2","San Diego St","4.1","2.3","2.0","3.8","4.3","5.3"
"3","3","Georgia St","4.1","3.0","5.0","4.5","3.9","5.3"
"4","4","Wyoming","4.1","3.0","5.0","4.6","3.5","5.6"
"5","5","Ohio State","4.2","8.0","10.0","2.9","6.0","4.4"
"6","6","Syracuse","4.2","4.3","7.0","4.4","4.0","6.9"
"7","7","Wisconsin","4.2","3.7","4.0","4.5","4.0","5.7"
"8","8","Cal Poly","4.5","3.3","4.0","4.8","4.3","4.0"
"9","9","California","4.5","4.7","6.0","4.4","4.7","5.9"
"10","10","Boise State","4.6","5.0","4.0","3.9","5.1","6.0"
"11","11","Louisville","4.6","7.3","5.0","3.9","5.2","5.6"
"12","12","Santa Clara","4.6","3.3","4.0","3.9","5.3","6.0"
"13","13","Fresno St","4.7","5.7","2.0","5.1","4.3","4.6"
"14","14","Arizona","4.7","2.7","3.0","3.9","5.3","6.1"
"15","15","W Virginia","4.7","6.0","8.0","4.5","4.9","6.0"
"16","16","Montana","4.8","4.0","3.0","3.5","5.7","6.0"
"17","17","Pittsburgh","4.8","5.0","10.0","4.1","5.4","5.5"
"18","18","N Colorado","4.8","4.7","5.0","4.0","5.4","6.1"
"19","19","Iona","4.8","5.3","8.0","4.5","5.0","5.5"
"20","20","Idaho","4.8","4.0","2.0","5.2","4.5","6.8"
"21","21","Creighton","4.8","3.3","2.0","5.1","4.6","6.6"
"22","22","Wichita St","4.8","5.7","6.0","5.1","4.6","5.6"
"23","23","UCSB","4.9","5.0","3.0","3.9","5.5","6.8"
"24","24","Colorado St","4.9","2.7","3.0","4.8","4.9","5.2"
"25","25","Nevada","4.9","3.7","4.0","4.7","5.0","6.4"
"26","26","Oregon","4.9","4.7","1.0","4.9","4.9","6.7"
"27","27","Delaware","4.9","4.7","4.0","5.0","4.8","6.9"
"28","28","Illinois","4.9","2.7","0.0","5.2","4.6","5.6"
"29","29","CS Fullerton","4.9","4.7","3.0","4.1","5.5","5.7"
"30","30","Miami (FL)","4.9","5.3","8.0","4.9","4.9","5.4"
"31","31","Michigan","4.9","4.0","2.0","4.5","5.2","5.4"
"32","32","Dayton","4.9","6.0","5.0","3.8","5.9","5.9"
