"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Norfolk St","5.9%","3.1%","6.2%","5.5%","6.1%","8.5%"
"2","2","AR Lit Rock","6.1%","6.7%","9.5%","3.5%","7.5%","6.8%"
"3","3","Kentucky","6.1%","7.2%","7.0%","6.5%","5.7%","7.1%"
"4","4","Michigan","6.1%","6.5%","4.8%","5.0%","7.1%","7.1%"
"5","5","Oregon","6.2%","6.2%","5.9%","5.4%","6.8%","7.9%"
"6","6","St Josephs","6.2%","4.8%","2.8%","6.5%","5.9%","9.2%"
"7","7","S Car State","6.2%","5.3%","9.4%","4.4%","6.9%","8.9%"
"8","8","Central Mich","6.3%","6.6%","7.2%","7.5%","5.1%","6.9%"
"9","9","Fresno St","6.3%","10.2%","16.2%","6.0%","6.6%","8.2%"
"10","10","Temple","6.4%","6.8%","8.3%","6.5%","6.3%","7.5%"
"11","11","Butler","6.4%","7.8%","4.7%","6.9%","5.9%","8.0%"
"12","12","Duke","6.4%","6.2%","4.2%","6.3%","6.5%","8.2%"
"13","13","GA Southern","6.4%","8.6%","12.8%","6.3%","6.6%","8.0%"
"14","14","Jacksonville","6.5%","6.6%","5.9%","6.7%","6.3%","8.8%"
"15","15","Texas","6.5%","4.1%","3.1%","7.3%","5.6%","9.6%"
"16","16","Old Dominion","6.5%","5.8%","13.7%","7.1%","6.2%","7.5%"
"17","17","Columbia","6.7%","8.5%","14.5%","6.9%","6.3%","8.8%"
"18","18","Richmond","6.7%","7.5%","9.4%","6.5%","6.9%","7.2%"
"19","19","Wichita St","6.7%","6.4%","15.4%","4.9%","7.9%","6.3%"
"20","20","Jksnville St","6.8%","5.2%","2.8%","6.6%","6.9%","8.8%"
"21","21","NC-Wilmgton","6.8%","4.3%","5.4%","8.0%","6.0%","8.8%"
"22","22","GA Tech","6.8%","7.6%","9.4%","6.7%","7.0%","9.8%"
"23","23","Dayton","6.9%","7.6%","10.9%","6.0%","7.8%","8.0%"
"24","24","San Fransco","6.9%","5.7%","5.3%","7.4%","6.3%","7.7%"
"25","25","Arkansas","6.9%","6.4%","5.5%","6.5%","7.4%","7.9%"
"26","26","Oakland","6.9%","6.6%","9.1%","7.8%","6.5%","11.0%"
"27","27","Illinois","6.9%","7.4%","4.5%","6.3%","7.5%","7.3%"
"28","28","South Dakota","7.0%","9.5%","9.3%","6.4%","7.2%","7.7%"
"29","29","TX El Paso","7.0%","7.6%","8.9%","6.9%","7.2%","9.2%"
"30","30","N Iowa","7.0%","5.2%","6.7%","7.3%","6.9%","8.0%"
"31","31","St Marys","7.1%","7.9%","8.1%","7.7%","6.2%","9.5%"
"32","32","Ohio State","7.1%","10.9%","10.0%","6.2%","8.4%","7.5%"
"33","33","California","7.1%","6.8%","4.0%","6.6%","7.7%","7.5%"
"34","34","Abilene Christian","7.2%","8.8%","7.9%","5.8%","8.2%","8.9%"
"35","35","Wright State","7.2%","5.9%","5.5%","6.5%","7.6%","8.7%"
"36","36","Cal Poly","7.2%","7.7%","9.4%","7.1%","7.3%","6.3%"
"37","37","Hartford","7.2%","6.6%","3.0%","8.3%","6.2%","8.8%"
"38","38","Florida St","7.2%","4.1%","5.4%","6.2%","8.0%","9.1%"
"39","39","Santa Clara","7.3%","6.1%","7.1%","7.7%","6.9%","8.2%"
"40","40","Cornell","7.3%","5.0%","5.8%","6.8%","7.7%","8.1%"
"41","41","Northwestern","7.3%","9.1%","4.4%","7.6%","6.9%","8.2%"
"42","42","NC-Grnsboro","7.3%","7.6%","7.1%","7.2%","7.3%","8.8%"
"43","43","BYU","7.3%","8.4%","10.8%","6.6%","8.0%","8.8%"
"44","44","Houston","7.3%","3.6%","3.0%","7.7%","6.8%","10.4%"
"45","45","N Hampshire","7.3%","6.7%","10.1%","7.8%","7.0%","8.3%"
"46","46","Oregon St","7.3%","7.1%","4.4%","6.9%","7.6%","9.8%"
"47","47","WI-Milwkee","7.3%","10.9%","16.3%","5.7%","8.3%","10.6%"
"48","48","Lg Beach St","7.3%","6.3%","6.5%","7.9%","7.0%","9.7%"
"49","49","Canisius","7.3%","4.6%","4.9%","6.2%","8.1%","9.1%"
"50","50","Southern","7.3%","7.2%","4.8%","5.8%","8.0%","9.1%"
"51","51","Coppin State","7.4%","4.4%","0.0%","8.0%","7.0%","8.2%"
"52","52","Boise State","7.4%","8.2%","4.3%","6.1%","8.5%","7.2%"
"53","53","Florida","7.4%","6.4%","8.4%","7.0%","7.7%","8.5%"
"54","54","Ste F Austin","7.4%","5.4%","3.3%","8.8%","6.7%","8.4%"
"55","55","Connecticut","7.4%","5.4%","4.3%","7.7%","7.1%","8.7%"
"56","56","Washington","7.4%","6.4%","2.5%","7.0%","7.9%","8.8%"
"57","57","UCSB","7.4%","12.0%","9.5%","5.2%","8.4%","7.2%"
"58","58","Cincinnati","7.4%","5.0%","6.3%","7.2%","7.7%","9.0%"
"59","59","Towson","7.4%","8.7%","6.3%","7.3%","7.6%","9.5%"
"60","60","Tulsa","7.4%","7.6%","7.5%","7.4%","7.5%","8.0%"
"61","61","St Bonavent","7.5%","5.9%","10.0%","7.4%","7.6%","8.8%"
"62","62","LA Tech","7.5%","7.6%","6.7%","8.0%","7.0%","8.5%"
"63","63","Iowa","7.5%","9.4%","12.7%","7.3%","7.7%","8.8%"
"64","64","Texas A&M","7.5%","11.0%","5.3%","6.1%","8.8%","9.3%"
"65","65","Iowa State","7.5%","7.1%","11.4%","8.0%","7.2%","8.0%"
"66","66","Arizona","7.5%","11.6%","13.3%","6.3%","8.8%","6.9%"
"67","67","Hofstra","7.6%","12.1%","16.5%","7.0%","7.9%","7.0%"
"68","68","WI-Grn Bay","7.6%","9.6%","16.1%","6.3%","8.2%","9.1%"
"69","69","Loyola Mymt","7.6%","7.6%","7.1%","6.7%","8.3%","11.2%"
