"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Denver","1.2","0.3","0.0","1.1","1.4","1.7"
"2","2","South Dakota","1.9","2.0","2.0","2.3","1.7","2.3"
"3","3","Santa Clara","2.0","1.3","1.0","0.8","2.8","2.7"
"4","4","Toledo","2.0","1.7","1.0","2.7","1.3","2.9"
"5","5","Michigan","2.0","2.0","1.0","1.8","2.3","2.0"
"6","6","Miami (OH)","2.0","2.7","2.0","2.2","1.9","2.7"
"7","7","W Illinois","2.1","2.3","4.0","1.8","2.3","3.0"
"8","8","Utah Val St","2.1","2.3","2.0","1.7","2.4","2.7"
"9","9","St Marys","2.2","3.0","5.0","1.9","2.7","2.9"
"10","10","VA Tech","2.2","1.7","2.0","1.9","2.5","3.0"
"11","11","E Kentucky","2.2","1.3","2.0","1.9","2.6","2.9"
"12","12","Abilene Christian","2.2","2.0","1.0","2.0","2.4","2.6"
"13","13","Kansas St","2.3","2.3","4.0","1.5","3.1","2.8"
"14","14","E Washingtn","2.3","1.3","3.0","2.5","2.1","3.4"
"15","15","Geo Wshgtn","2.3","2.7","0.0","2.0","2.5","2.9"
"16","16","IPFW","2.3","3.0","6.0","2.1","2.5","2.7"
"17","17","American","2.3","1.7","2.0","2.3","2.4","2.8"
"18","18","Louisville","2.3","4.0","6.0","1.8","2.9","2.7"
"19","19","Fla Atlantic","2.3","3.0","3.0","2.6","2.1","3.5"
"20","20","Wisconsin","2.4","1.3","0.0","2.7","2.1","2.8"
"21","21","Marist","2.4","2.3","3.0","2.0","2.6","2.9"
"22","22","Northeastrn","2.4","0.7","1.0","3.3","1.9","3.3"
"23","23","High Point","2.4","2.7","0.0","2.5","2.4","2.4"
"24","24","Citadel","2.4","1.7","0.0","3.0","2.0","2.7"
"25","25","Alcorn State","2.4","4.3","3.0","0.0","3.5","2.4"
"26","26","Boise State","2.4","1.0","1.0","2.3","2.5","2.7"
"27","27","Air Force","2.4","1.7","0.0","2.0","2.9","2.0"
"28","28","Princeton","2.4","3.3","5.0","2.3","2.6","2.7"
"29","29","Wm & Mary","2.5","2.7","1.0","2.6","2.4","2.5"
"30","30","Xavier","2.5","1.3","2.0","2.7","2.4","3.2"
"31","31","Belmont","2.5","1.7","1.0","2.8","2.4","2.7"
"32","32","IUPUI","2.5","3.7","3.0","2.2","2.8","2.5"
"33","33","Dartmouth","2.6","2.7","4.0","1.2","3.5","2.9"
"34","34","Rice","2.6","2.7","2.0","2.4","2.6","2.6"
"35","35","Youngs St","2.6","1.3","2.0","1.7","3.2","2.5"
"36","36","Wright State","2.6","4.7","6.0","2.5","2.6","2.1"
"37","37","Maryland BC","2.6","2.7","2.0","1.8","3.2","2.9"
"38","38","Duke","2.6","3.3","2.0","2.1","2.9","2.5"
"39","39","Seton Hall","2.6","1.0","1.0","2.7","2.5","2.6"
"40","40","N Iowa","2.6","4.3","2.0","2.2","2.9","3.0"
"41","41","N Dakota St","2.6","2.7","2.0","2.7","2.6","2.3"
"42","42","UC Riverside","2.6","3.7","5.0","2.2","3.0","3.1"
"43","43","Marquette","2.6","4.3","3.0","2.6","2.7","2.8"
"44","44","Bradley","2.6","2.3","2.0","2.5","2.7","2.3"
"45","45","Grambling St","2.6","0.7","2.0","2.8","2.6","2.4"
"46","46","Notre Dame","2.6","3.0","1.0","2.6","2.6","2.6"
"47","47","Illinois","2.6","1.7","1.0","2.4","2.8","2.9"
"48","48","S Alabama","2.6","2.7","3.0","2.8","2.5","3.0"
"49","49","Sacred Hrt","2.6","1.0","2.0","2.3","2.9","2.6"
"50","50","Gard-Webb","2.6","3.7","4.0","2.0","3.0","3.7"
"51","51","Texas Tech","2.7","2.0","2.0","3.0","2.2","2.7"
"52","52","Richmond","2.7","1.7","2.0","2.5","2.9","2.7"
"53","53","James Mad","2.7","4.0","5.0","2.2","3.3","3.2"
"54","54","Furman","2.7","3.7","2.0","2.8","2.6","2.7"
"55","55","Sam Hous St","2.7","2.7","1.0","2.1","3.1","2.9"
"56","56","F Dickinson","2.7","4.3","4.0","2.5","2.8","3.5"
"57","57","Boston Col","2.7","1.3","1.0","2.7","2.7","3.5"
"58","58","TN Martin","2.7","3.7","3.0","2.3","2.9","2.8"
"59","59","Wake Forest","2.7","3.7","4.0","2.6","2.9","3.0"
