"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Morgan St","29.1%","34.6%","47.1%","27.4%","30.5%","31.2%"
"2","2","Rhode Island","29.4%","22.7%","35.0%","29.6%","29.2%","33.3%"
"3","3","S Carolina","29.5%","28.6%","47.1%","26.4%","34.1%","35.8%"
"4","4","Rob Morris","29.7%","31.8%","28.6%","31.4%","28.7%","33.5%"
"5","5","NC Central","29.9%","27.7%","28.6%","30.8%","29.4%","34.0%"
"6","6","Gonzaga","30.0%","37.7%","47.1%","29.6%","30.2%","30.3%"
"7","7","Florida","30.2%","32.7%","22.7%","32.2%","29.3%","34.3%"
"8","8","St Marys","30.3%","33.3%","57.1%","30.5%","30.0%","32.7%"
"9","9","Nevada","30.4%","31.2%","40.0%","31.1%","29.8%","32.3%"
"10","10","Oregon","30.5%","33.3%","22.2%","29.5%","31.8%","36.2%"
"11","11","N Mex State","30.6%","31.3%","17.4%","35.4%","24.1%","33.5%"
"12","12","Duke","30.6%","31.6%","35.3%","27.7%","33.7%","34.0%"
"13","13","Louisville","30.6%","32.1%","28.0%","32.8%","27.6%","32.1%"
"14","14","Minnesota","30.8%","38.3%","55.6%","32.0%","28.5%","38.2%"
"15","15","Central FL","30.8%","32.8%","21.1%","30.2%","31.7%","32.3%"
"16","16","Alcorn State","30.8%","33.8%","26.1%","28.2%","32.3%","37.0%"
"17","17","Wichita St","30.9%","24.7%","21.4%","32.1%","29.8%","32.7%"
"18","18","Col Charlestn","31.0%","35.0%","40.0%","29.1%","32.6%","32.0%"
"19","19","California","31.0%","29.4%","41.2%","30.2%","32.2%","34.7%"
"20","20","Villanova","31.1%","37.3%","26.7%","31.9%","30.3%","33.9%"
"21","21","Kentucky","31.2%","34.2%","27.8%","32.2%","29.9%","32.6%"
"22","22","Virginia","31.2%","23.8%","20.0%","29.6%","32.7%","34.7%"
"23","23","Baylor","31.2%","33.3%","28.6%","27.8%","34.9%","36.9%"
"24","24","New Orleans","31.2%","28.8%","26.1%","27.3%","33.9%","37.0%"
"25","25","Richmond","31.2%","28.3%","36.4%","32.2%","30.1%","36.0%"
"26","26","Arizona","31.2%","34.4%","39.1%","28.7%","34.1%","31.6%"
"27","27","UC Irvine","31.3%","24.5%","20.0%","24.1%","34.9%","33.2%"
"28","28","Fla Gulf Cst","31.4%","30.8%","23.1%","29.3%","33.9%","31.1%"
"29","29","Harvard","31.5%","29.4%","42.1%","28.1%","34.7%","31.4%"
