"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Weber State","22.6%","22.6%","29.8%","24.7%","21.1%","23.4%"
"2","2","N Mex State","23.1%","31.3%","28.8%","23.1%","23.1%","29.6%"
"3","3","Mt St Marys","23.9%","23.3%","19.1%","23.1%","24.5%","24.1%"
"4","4","Duke","24.1%","26.5%","28.9%","23.2%","25.0%","26.9%"
"5","5","Santa Clara","24.2%","34.0%","24.4%","24.2%","24.2%","29.1%"
"6","6","Wisconsin","25.3%","18.4%","8.6%","25.4%","25.2%","24.9%"
"7","7","Saint Louis","25.6%","23.8%","34.7%","25.8%","25.3%","26.6%"
"8","8","St Marys","25.7%","35.1%","50.0%","25.3%","26.1%","28.7%"
"9","9","Davidson","25.8%","20.0%","16.0%","24.5%","26.5%","26.2%"
"10","10","North Dakota","25.8%","34.4%","26.7%","26.9%","25.2%","31.4%"
"11","11","Chattanooga","25.9%","21.0%","22.0%","29.4%","23.8%","43.2%"
"12","12","Ste F Austin","26.2%","32.1%","26.4%","24.9%","27.0%","26.9%"
"13","13","Miss Val St","26.2%","28.8%","13.0%","26.4%","26.1%","27.4%"
"14","14","Arizona","26.5%","27.8%","27.9%","28.7%","24.6%","30.9%"
"15","15","St Fran (NY)","26.5%","35.3%","40.7%","26.8%","26.3%","31.0%"
"16","16","Columbia","26.8%","27.5%","25.5%","27.7%","25.8%","29.0%"
"17","17","U Mass","27.0%","28.5%","25.0%","27.1%","26.9%","32.6%"
"18","18","Fairfield","27.0%","20.5%","16.7%","26.9%","27.0%","24.3%"
"19","19","Washington","27.1%","23.5%","28.6%","28.6%","25.0%","28.9%"
"20","20","Jksnville St","27.2%","19.2%","30.4%","29.6%","25.9%","26.5%"
"21","21","LA Tech","27.3%","24.0%","20.7%","26.8%","27.6%","27.8%"
"22","22","Arizona St","27.3%","25.6%","20.7%","29.4%","25.1%","32.1%"
"23","23","Col Charlestn","27.4%","28.6%","25.5%","26.0%","28.7%","29.2%"
"24","24","La Salle","27.4%","23.3%","12.5%","25.8%","28.9%","24.6%"
"25","25","N Florida","27.4%","19.0%","16.9%","27.7%","27.3%","24.4%"
"26","26","Boston Col","27.4%","27.3%","31.6%","26.9%","27.8%","32.3%"
"27","27","Central Ark","27.6%","27.7%","42.4%","29.7%","25.6%","27.3%"
"28","28","Tennessee","27.6%","31.5%","40.8%","29.0%","26.4%","27.8%"
"29","29","Fla Atlantic","27.7%","26.8%","31.7%","27.9%","27.5%","28.1%"
"30","30","Akron","27.7%","37.3%","40.0%","26.5%","28.6%","29.4%"
"31","31","VA Military","27.7%","32.1%","32.7%","25.9%","28.8%","29.6%"
"32","32","Manhattan","27.8%","27.7%","23.6%","29.4%","26.8%","32.8%"
"33","33","UNLV","27.9%","33.5%","25.5%","25.8%","30.7%","31.7%"
"34","34","Oral Roberts","28.0%","30.8%","33.3%","29.9%","26.8%","28.5%"
"35","35","Rhode Island","28.0%","34.1%","27.8%","29.5%","26.4%","33.0%"
"36","36","Alab A&M","28.0%","27.9%","17.3%","26.4%","28.9%","26.6%"
"37","37","Gard-Webb","28.1%","28.5%","30.8%","29.4%","27.4%","32.0%"
"38","38","Denver","28.2%","27.7%","25.0%","31.0%","25.8%","24.5%"
"39","39","Radford","28.2%","29.3%","30.4%","26.5%","29.1%","25.9%"
"40","40","Quinnipiac","28.2%","35.1%","35.8%","25.6%","29.9%","31.6%"
"41","41","S Utah","28.2%","36.4%","32.7%","30.3%","26.7%","26.7%"
"42","42","App State","28.2%","27.6%","26.3%","30.5%","26.8%","30.3%"
"43","43","Wofford","28.3%","31.9%","37.0%","26.6%","29.1%","32.1%"
"44","44","Providence","28.5%","38.0%","21.1%","28.2%","28.6%","29.6%"
"45","45","Elon","28.5%","33.5%","26.7%","27.9%","28.9%","30.1%"
"46","46","Savannah St","28.6%","23.1%","14.9%","26.5%","29.6%","27.0%"
"47","47","Portland St","28.7%","20.6%","28.1%","30.8%","26.5%","29.0%"
"48","48","Ball State","28.8%","34.6%","46.0%","27.0%","30.3%","35.4%"
"49","49","Nicholls St","28.8%","28.0%","26.9%","30.5%","28.0%","26.9%"
"50","50","IUPUI","28.8%","25.3%","27.9%","29.6%","28.3%","31.8%"
"51","51","Princeton","28.9%","30.5%","22.0%","28.1%","29.4%","27.0%"
"52","52","New Orleans","28.9%","27.7%","27.9%","30.7%","27.7%","29.5%"
"53","53","Incarnate Word","28.9%","31.7%","36.5%","26.0%","31.3%","--"
"54","54","Murray St","28.9%","26.4%","33.8%","27.9%","29.9%","32.1%"
"55","55","Florida A&M","28.9%","22.4%","21.0%","29.4%","28.7%","29.1%"
"56","56","CS Fullerton","29.0%","25.0%","31.8%","29.6%","28.5%","32.1%"
"57","57","Memphis","29.0%","26.7%","20.4%","28.1%","29.9%","30.4%"
"58","58","Grand Canyon","29.0%","30.1%","38.2%","30.6%","28.2%","--"
"59","59","Temple","29.0%","31.1%","35.1%","30.9%","27.6%","29.5%"
"60","60","Loyola Mymt","29.2%","24.4%","18.5%","30.4%","28.5%","35.2%"
"61","61","Kennesaw St","29.2%","24.4%","18.9%","28.8%","29.5%","31.3%"
