"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Fla Atlantic","11.4","13.0","15.0","12.8","10.3","15.5"
"2","2","N Mex State","12.3","10.3","13.0","12.3","12.3","13.8"
"3","3","TX Christian","12.6","9.3","8.0","12.5","12.9","19.1"
"4","4","Denver","13.2","12.7","11.0","13.2","13.1","13.0"
"5","5","Wisconsin","13.5","8.0","5.0","13.5","13.5","14.2"
"6","6","Rhode Island","13.5","16.3","13.0","14.5","12.6","15.5"
"7","7","Ste F Austin","13.8","16.0","13.0","12.7","14.6","12.3"
"8","8","San Diego","13.8","14.0","11.0","14.0","13.7","17.4"
"9","9","Manhattan","13.8","13.7","7.0","15.7","12.9","15.2"
"10","10","Savannah St","13.9","11.3","14.0","11.2","15.3","14.7"
"11","11","St Fran (NY)","13.9","14.7","13.0","14.0","13.8","14.4"
"12","12","Fairfield","13.9","11.0","12.0","13.9","13.9","13.9"
"13","13","California","14.2","10.7","11.0","14.8","13.4","17.5"
"14","14","Sam Hous St","14.8","17.0","11.0","15.1","14.5","15.5"
"15","15","Wichita St","14.9","20.7","19.0","14.8","14.9","19.0"
"16","16","Chattanooga","14.9","15.7","14.0","15.3","14.5","15.3"
"17","17","W Virginia","14.9","16.7","15.0","13.8","15.8","19.3"
"18","18","VA Military","15.1","19.7","21.0","15.6","14.8","18.4"
"19","19","Vermont","15.2","22.3","14.0","15.4","15.0","16.5"
"20","20","Columbia","15.2","12.7","16.0","14.7","15.8","13.6"
"21","21","Arizona St","15.3","15.7","17.0","16.5","13.9","16.2"
"22","22","IL-Chicago","15.3","16.0","13.0","13.4","16.8","16.6"
"23","23","Princeton","15.3","19.3","14.0","15.2","15.4","15.1"
"24","24","Tulane","15.3","16.3","23.0","14.2","16.8","19.4"
"25","25","American","15.3","17.0","15.0","17.3","14.4","15.3"
"26","26","Utah","15.4","20.0","9.0","15.7","15.1","16.7"
"27","27","Weber State","15.4","17.3","17.0","15.1","15.7","12.8"
"28","28","Richmond","15.5","16.7","16.0","16.1","14.7","16.8"
"29","29","Mt St Marys","15.5","17.3","12.0","15.8","15.2","14.1"
"30","30","UC Riverside","15.6","18.3","15.0","14.6","16.3","16.6"
"31","31","Montana St","15.6","21.3","20.0","15.1","16.0","18.4"
"32","32","WI-Grn Bay","15.6","15.3","16.0","15.2","15.8","18.6"
"33","33","Holy Cross","15.6","15.3","13.0","16.0","15.3","16.7"
"34","34","WI-Milwkee","15.7","20.3","26.0","16.3","15.2","18.4"
"35","35","Wofford","15.7","12.3","8.0","16.1","15.5","14.1"
"36","36","Morgan St","15.7","16.0","10.0","14.8","16.1","16.7"
"37","37","Florida","15.7","10.0","10.0","16.9","14.6","16.1"
"38","38","Morehead St","15.8","18.3","17.0","15.5","15.9","17.4"
"39","39","Kent State","15.8","15.3","12.0","15.7","15.8","16.8"
