"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Duke","3.9","4.0","5.0","3.5","4.3","4.4"
"2","2","Saint Louis","4.2","5.7","6.0","4.4","4.0","4.5"
"3","3","Ste F Austin","4.3","5.7","4.0","4.4","4.2","3.9"
"4","4","Weber State","4.3","3.7","7.0","5.2","3.7","3.7"
"5","5","Denver","4.4","5.3","8.0","5.2","3.8","3.7"
"6","6","Rhode Island","4.5","4.3","3.0","4.2","4.7","6.1"
"7","7","Savannah St","4.5","2.0","2.0","3.2","5.1","3.7"
"8","8","St Marys","4.5","6.3","8.0","3.9","5.2","5.5"
"9","9","Arizona","4.6","5.3","6.0","4.4","4.7","6.0"
"10","10","N Mex State","4.6","5.3","6.0","4.9","4.3","5.6"
"11","11","Santa Clara","4.6","5.0","2.0","5.0","4.2","5.5"
"12","12","Louisville","4.6","2.3","4.0","5.1","4.1","5.5"
"13","13","Alab A&M","4.6","3.3","1.0","4.2","4.8","5.3"
"14","14","Wofford","4.6","4.7","7.0","4.5","4.7","4.8"
"15","15","Mt St Marys","4.7","3.7","2.0","4.3","5.0","4.9"
"16","16","Columbia","4.8","5.3","6.0","4.7","4.8","5.2"
"17","17","Clemson","4.8","6.3","4.0","4.4","5.2","5.5"
"18","18","Fairfield","4.8","3.7","3.0","4.8","4.8","3.8"
"19","19","Wisconsin","4.8","3.0","2.0","5.4","4.4","3.9"
"20","20","VCU","4.9","5.7","6.0","4.5","5.2","5.5"
"21","21","Nicholls St","4.9","5.0","6.0","4.5","5.1","5.4"
"22","22","LA Tech","4.9","6.7","7.0","4.1","5.4","4.6"
"23","23","St Fran (NY)","4.9","4.0","5.0","5.2","4.6","5.7"
"24","24","Washington","4.9","5.0","4.0","5.2","4.5","5.6"
"25","25","American","4.9","5.7","10.0","3.9","5.6","7.6"
"26","26","Kansas St","4.9","5.7","4.0","4.2","5.7","4.9"
"27","27","San Diego St","4.9","4.0","5.0","4.4","5.2","5.8"
"28","28","Col Charlestn","4.9","5.3","6.0","4.9","5.0","5.0"
"29","29","Ohio State","4.9","7.0","3.0","5.2","4.7","6.2"
"30","30","Princeton","5.0","5.7","6.0","4.3","5.4","4.4"
"31","31","Manhattan","5.0","4.0","4.0","5.2","4.9","5.5"
"32","32","Davidson","5.0","3.3","2.0","3.5","5.8","4.5"
"33","33","U Mass","5.0","5.0","2.0","4.5","5.4","6.3"
"34","34","North Dakota","5.0","6.0","3.0","5.2","4.9","6.0"
"35","35","Drexel","5.0","4.0","4.0","5.8","4.5","5.2"
"36","36","Richmond","5.1","6.7","7.0","4.7","5.4","4.7"
"37","37","Akron","5.1","9.0","12.0","4.3","5.7","5.3"
"38","38","Tennessee","5.1","7.3","11.0","5.6","4.8","4.8"
"39","39","Southern","5.2","5.3","1.0","5.1","5.2","5.0"
"40","40","UNLV","5.2","7.0","5.0","4.9","5.5","5.9"
"41","41","Northwestern","5.2","6.0","8.0","4.2","6.2","5.7"
"42","42","W Carolina","5.2","6.7","7.0","5.7","5.0","5.5"
"43","43","La Salle","5.2","4.0","4.0","5.3","5.1","4.2"
"44","44","Chattanooga","5.2","2.7","4.0","5.0","5.3","9.1"
"45","45","Gard-Webb","5.2","6.7","7.0","6.1","4.8","5.5"
"46","46","Harvard","5.2","7.7","7.0","4.3","5.8","5.0"
"47","47","Fla Atlantic","5.2","4.3","5.0","4.7","5.6","5.0"
"48","48","Cal Poly","5.2","3.7","6.0","5.5","5.1","6.0"
"49","49","CS Fullerton","5.3","3.7","6.0","5.5","5.1","6.3"
"50","50","Butler","5.3","3.0","5.0","5.8","4.8","5.4"
"51","51","Florida A&M","5.3","4.7","5.0","4.6","5.6","5.8"
"52","52","Alabama St","5.3","6.0","9.0","5.4","5.2","6.8"
"53","53","Jksnville St","5.3","3.7","7.0","5.2","5.3","4.2"
"54","54","Alabama","5.3","8.3","11.0","5.9","4.7","5.1"
"55","55","Middle Tenn","5.3","3.7","3.0","5.1","5.4","4.8"
"56","56","Arizona St","5.3","6.3","5.0","5.2","5.4","6.5"
"57","57","Memphis","5.3","5.7","5.0","4.8","5.8","5.7"
"58","58","Florida","5.3","5.3","5.0","5.2","5.4","5.2"
"59","59","Montana","5.3","4.3","4.0","5.2","5.4","5.4"
"60","60","Ball State","5.3","6.0","9.0","4.0","6.3","6.6"
"61","61","Wright State","5.4","6.0","5.0","4.8","5.7","5.2"
"62","62","Cincinnati","5.4","5.7","6.0","5.2","5.5","5.0"
"63","63","Vermont","5.4","6.0","3.0","4.7","5.7","6.0"
"64","64","Providence","5.4","6.0","4.0","5.2","5.5","4.9"
"65","65","Elon","5.4","6.3","4.0","5.8","5.1","6.1"
"66","66","Ohio","5.4","6.3","9.0","5.7","5.1","5.1"
"67","67","Buffalo","5.4","6.7","8.0","4.8","6.0","5.8"
"68","68","Michigan","5.4","4.7","7.0","5.2","5.6","6.2"
"69","69","NC State","5.4","6.0","9.0","5.7","5.1","6.0"
"70","70","Kennesaw St","5.4","5.0","4.0","5.5","5.4","6.0"
"71","71","Utah","5.5","5.7","6.0","5.8","4.9","6.5"
"72","72","Sam Hous St","5.5","6.7","9.0","5.8","5.2","4.8"
"73","73","S Utah","5.5","7.0","8.0","5.9","5.1","5.0"
"74","74","UC Irvine","5.5","4.3","5.0","5.6","5.4","5.4"
"75","75","Dayton","5.5","3.3","5.0","5.8","5.2","6.2"
"76","76","Virginia","5.5","5.7","5.0","4.7","6.2","5.3"
"77","77","Murray St","5.5","6.0","8.0","5.2","5.8","6.1"
"78","78","Hartford","5.5","5.0","7.0","5.2","5.7","5.2"
"79","79","Kentucky","5.5","6.3","8.0","5.2","5.8","5.4"
"80","80","W Kentucky","5.5","5.7","3.0","6.2","4.9","5.5"
"81","81","N Hampshire","5.6","4.3","6.0","6.0","5.2","4.7"
"82","82","Miss Val St","5.6","6.0","3.0","4.8","5.9","5.5"
"83","83","W Illinois","5.6","7.0","6.0","5.7","5.5","5.4"
"84","84","Gonzaga","5.6","4.3","7.0","5.4","5.7","6.9"
"85","85","Brown","5.6","7.7","9.0","4.8","6.2","7.0"
"86","86","CS Bakersfld","5.6","6.0","5.0","5.7","5.5","5.7"
"87","87","NC Central","5.6","6.0","9.0","5.5","5.7","5.4"
"88","88","Portland St","5.6","3.7","9.0","5.9","5.3","6.0"
"89","89","App State","5.6","4.7","3.0","6.3","5.2","5.7"
"90","90","Texas A&M","5.6","5.3","4.0","6.0","5.1","6.2"
"91","91","Central Ark","5.6","6.3","8.0","6.2","5.1","6.0"
"92","92","Wagner","5.6","6.0","6.0","5.3","5.8","6.5"
"93","93","Wake Forest","5.7","6.0","7.0","5.0","6.5","5.9"
"94","94","Indiana","5.7","5.3","6.0","5.3","6.1","5.8"
"95","95","Pittsburgh","5.7","4.0","5.0","5.9","5.4","5.2"
"96","96","WI-Milwkee","5.7","4.0","4.0","6.5","5.3","5.9"
"97","97","Oral Roberts","5.7","7.7","9.0","6.5","5.3","5.9"
"98","98","Sac State","5.7","6.3","7.0","5.0","6.2","7.4"
"99","99","SE Louisiana","5.7","6.3","7.0","5.9","5.6","5.6"
"100","100","Delaware St","5.7","7.0","9.0","5.9","5.6","5.2"
"101","101","S Carolina","5.7","3.3","2.0","5.4","6.1","5.6"
"102","102","Siena","5.7","6.7","7.0","5.1","6.4","6.8"
"103","103","Boston Col","5.7","5.0","5.0","6.0","5.6","6.7"
"104","104","N Florida","5.8","3.0","1.0","6.4","5.3","4.9"
"105","105","Utah State","5.8","5.0","7.0","6.2","5.3","7.1"
"106","106","Wyoming","5.8","7.0","7.0","6.2","5.3","4.8"
"107","107","Alcorn State","5.8","6.0","1.0","4.9","6.2","5.4"
"108","108","Towson","5.8","7.3","10.0","4.8","6.5","5.8"
"109","109","TN Tech","5.8","4.3","2.0","6.3","5.5","6.2"
"110","110","Marshall","5.8","6.0","6.0","5.5","6.1","6.4"
"111","111","Kent State","5.8","5.3","3.0","6.5","5.0","5.7"
"112","112","Nebraska","5.8","5.0","2.0","5.9","5.7","5.4"
"113","113","Oregon","5.8","8.0","11.0","5.7","5.9","5.5"
"114","114","Fresno St","5.8","4.3","4.0","6.1","5.6","4.1"
"115","115","Vanderbilt","5.8","4.3","6.0","6.1","5.6","5.5"
"116","116","LA Lafayette","5.9","7.0","9.0","6.1","5.8","6.1"
"117","117","Grand Canyon","5.9","6.3","6.0","6.9","5.4","--"
"118","118","Utah Val St","5.9","7.0","7.0","5.2","6.4","6.5"
"119","119","N Illinois","5.9","2.7","3.0","5.9","5.9","6.6"
"120","120","Wichita St","5.9","7.0","8.0","5.5","6.3","6.1"
"121","121","Campbell","5.9","9.3","9.0","5.6","6.2","6.0"
"122","122","SIU Edward","5.9","5.7","6.0","5.9","5.9","5.4"
"123","123","Loyola-Chi","5.9","3.3","5.0","6.3","5.7","5.7"
"124","124","Morgan St","5.9","6.3","7.0","4.6","6.7","5.3"
"125","125","Old Dominion","5.9","6.7","4.0","6.1","5.8","7.4"
"126","126","Beth-Cook","6.0","5.3","8.0","5.9","6.0","5.3"
"127","127","GA Tech","6.0","5.3","4.0","6.1","5.9","5.9"
"128","128","TX A&M-CC","6.0","6.3","6.0","5.7","6.2","6.2"
"129","129","Abilene Christian","6.0","7.7","4.0","4.0","7.0","--"
"130","130","Houston Bap","6.0","4.3","5.0","5.4","6.4","4.5"
"131","131","Morehead St","6.0","8.3","8.0","6.5","5.8","6.2"
"132","132","St Peters","6.0","6.0","3.0","6.2","5.9","6.0"
"133","133","Loyola Mymt","6.0","4.3","0.0","6.5","5.8","7.0"
"134","134","Wash State","6.0","5.3","5.0","5.3","6.7","7.0"
"135","135","WI-Grn Bay","6.0","7.7","10.0","6.1","6.0","6.4"
"136","136","S Alabama","6.0","5.3","7.0","5.8","6.2","5.4"
"137","137","Connecticut","6.1","6.0","1.0","5.5","6.5","5.7"
"138","138","Indiana St","6.1","6.7","8.0","5.8","6.2","5.5"
"139","139","Maryland","6.1","5.3","4.0","6.2","5.9","6.1"
"140","140","Hampton","6.1","6.7","5.0","5.7","6.3","5.4"
"141","141","Geo Mason","6.1","7.0","3.0","6.7","5.5","6.3"
"142","142","Bucknell","6.1","7.7","11.0","6.4","5.8","5.2"
"143","143","Neb Omaha","6.1","7.7","7.0","6.7","5.6","8.2"
"144","144","TN State","6.1","5.3","9.0","6.2","6.0","6.5"
"145","145","Florida Intl","6.1","5.7","8.0","4.9","7.1","6.4"
"146","146","California","6.1","5.3","6.0","5.6","6.6","5.7"
"147","147","Georgia","6.1","8.0","9.0","5.8","6.4","6.6"
"148","148","Prairie View","6.1","3.0","6.0","5.9","6.2","6.2"
"149","149","San Diego","6.1","6.3","6.0","6.6","5.7","4.8"
"150","150","TX El Paso","6.1","7.7","8.0","6.9","5.2","5.2"
"151","151","E Kentucky","6.1","5.7","0.0","5.7","6.3","5.4"
"152","152","IUPUI","6.1","6.0","7.0","6.2","6.0","7.2"
"153","153","NC-Grnsboro","6.1","9.3","10.0","5.9","6.2","6.4"
"154","154","New Orleans","6.1","5.0","6.0","6.9","5.6","6.5"
"155","155","Valparaiso","6.1","5.3","7.0","6.0","6.3","4.7"
"156","156","Cleveland St","6.1","6.0","7.0","6.6","5.8","6.0"
"157","157","St Fran (PA)","6.1","7.0","3.0","5.5","6.6","6.7"
"158","158","Colgate","6.1","4.7","3.0","6.8","5.6","7.0"
"159","159","Central FL","6.1","6.7","4.0","6.1","6.1","6.2"
"160","160","S Dakota St","6.1","6.0","8.0","6.9","5.7","7.0"
"161","161","Massachusetts Lowell","6.1","6.0","4.0","6.2","6.1","--"
"162","162","Georgetown","6.2","7.3","11.0","6.4","5.9","5.4"
"163","163","Quinnipiac","6.2","9.0","10.0","5.3","6.7","6.7"
"164","164","Radford","6.2","7.0","6.0","5.9","6.3","5.2"
"165","165","Bowling Grn","6.2","6.7","2.0","6.1","6.2","5.6"
"166","166","North Texas","6.2","7.7","9.0","5.8","6.4","6.3"
"167","167","Rice","6.2","6.3","4.0","6.5","5.9","6.0"
"168","168","IPFW","6.2","6.3","9.0","7.5","5.4","5.7"
"169","169","Idaho","6.2","5.0","5.0","6.5","6.0","7.0"
"170","170","Winthrop","6.2","6.0","5.0","5.9","6.4","6.0"
"171","171","N Carolina","6.2","7.0","12.0","6.2","6.2","6.7"
"172","172","Oklahoma St","6.2","5.0","9.0","6.0","6.4","6.2"
"173","173","Troy","6.2","6.7","6.0","6.5","6.0","6.7"
"174","174","Temple","6.2","8.0","9.0","6.7","5.8","5.8"
"175","175","Dartmouth","6.2","5.7","3.0","6.4","6.1","5.9"
"176","176","Arkansas St","6.2","7.7","6.0","6.2","6.3","5.6"
"177","177","LSU","6.2","6.3","9.0","5.8","6.7","5.6"
"178","178","Seton Hall","6.2","5.0","9.0","6.7","5.8","5.8"
"179","179","Northeastrn","6.2","6.7","7.0","6.3","6.2","6.0"
"180","180","Delaware","6.3","8.0","10.0","5.8","6.5","6.4"
"181","181","Kansas","6.3","7.7","0.0","6.3","6.2","6.4"
"182","182","VA Military","6.3","6.3","6.0","6.2","6.3","6.8"
"183","183","Holy Cross","6.3","6.3","6.0","6.5","6.1","6.3"
"184","184","Arkansas","6.3","5.7","6.0","6.1","6.5","6.3"
"185","185","IL-Chicago","6.3","6.0","5.0","7.4","5.5","6.2"
"186","186","Seattle","6.3","3.7","3.0","7.1","5.7","6.5"
"187","187","St Bonavent","6.3","6.0","6.0","6.0","6.5","7.3"
"188","188","Illinois","6.3","7.7","2.0","6.6","6.1","6.4"
"189","189","Houston","6.3","9.0","10.0","5.6","7.1","6.5"
"190","190","Florida St","6.3","8.3","9.0","5.9","6.7","6.6"
"191","191","E Carolina","6.3","9.3","9.0","6.4","6.3","5.5"
"192","192","Purdue","6.3","5.0","1.0","6.6","6.0","5.6"
"193","193","S Florida","6.3","6.3","4.0","6.5","6.1","5.4"
