"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","St Marys","26.3","29.7","34.0","25.1","27.7","30.0"
"2","2","Albany","28.6","29.3","28.0","28.1","29.1","31.1"
"3","3","S Methodist","29.2","33.7","29.0","28.8","29.8","29.3"
"4","4","Virginia","29.6","35.0","29.0","27.9","31.5","28.3"
"5","5","Texas Tech","29.7","30.3","26.0","27.5","33.1","33.8"
"6","6","Villanova","29.7","30.7","32.0","29.3","30.1","33.0"
"7","7","Baylor","29.8","22.7","28.0","30.3","29.2","29.8"
"8","8","Arizona","30.0","29.7","27.0","29.8","30.2","31.0"
"9","9","Vermont","30.1","29.3","27.0","29.8","30.4","33.1"
"10","10","Middle Tenn","30.1","25.3","21.0","29.8","30.4","35.0"
"11","11","Navy","30.4","33.3","32.0","29.4","31.4","30.7"
"12","12","Utah","30.7","32.3","33.0","30.5","30.9","32.8"
"13","13","Purdue","30.9","31.0","34.0","30.2","31.8","30.7"
"14","14","Ste F Austin","31.0","36.3","26.0","31.1","30.9","31.9"
"15","15","N Carolina","31.1","31.3","31.0","29.6","32.7","32.0"
"16","16","Michigan","31.1","28.7","26.0","29.2","33.7","33.0"
"17","17","Denver","31.1","32.7","36.0","30.2","31.8","30.5"
"18","18","Wisconsin","31.2","39.0","38.0","28.8","34.0","32.0"
"19","19","Xavier","31.2","28.7","33.0","28.3","34.3","33.5"
"20","20","Missouri St","31.3","31.7","39.0","30.9","31.8","36.0"
"21","21","James Mad","31.3","35.7","38.0","30.1","32.3","35.9"
"22","22","Butler","31.4","33.0","35.0","27.5","35.8","32.8"
"23","23","Miami (FL)","31.5","34.7","34.0","32.3","30.6","32.3"
"24","24","Loyola-MD","31.5","26.7","28.0","30.2","32.5","34.9"
"25","25","Mercer","31.6","29.3","36.0","29.8","33.0","31.8"
"26","26","Jksnville St","31.7","29.7","35.0","32.2","31.5","37.8"
"27","27","Indiana","31.8","32.0","34.0","30.4","33.8","30.3"
"28","28","N Hampshire","31.9","35.3","33.0","29.6","33.5","34.1"
"29","29","Lehigh","31.9","41.3","50.0","30.0","33.4","32.3"
"30","30","Towson","31.9","30.3","33.0","31.2","32.5","31.9"
"31","31","Geo Wshgtn","32.1","30.3","35.0","32.7","31.5","32.8"
"32","32","Wichita St","32.2","36.0","41.0","30.5","33.7","33.0"
