"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","87.0%","95.8%","121.5%","88.2%","85.9%","99.9%"
"2","2","Virginia","91.1%","116.2%","107.8%","86.6%","95.0%","95.2%"
"3","3","Texas","92.1%","100.4%","91.4%","87.6%","96.9%","101.6%"
"4","4","San Diego St","93.4%","106.3%","121.5%","84.3%","100.7%","96.1%"
"5","5","Cincinnati","93.6%","90.8%","95.1%","92.0%","95.5%","97.2%"
"6","6","NC Central","93.8%","106.2%","134.2%","87.3%","97.1%","98.8%"
"7","7","Utah","94.1%","101.8%","109.9%","90.7%","97.1%","101.6%"
"8","8","Oklahoma","94.1%","100.3%","96.0%","88.7%","98.2%","107.3%"
"9","9","Louisville","94.9%","103.0%","109.4%","90.1%","100.1%","96.5%"
"10","10","Gonzaga","95.1%","97.0%","101.5%","84.8%","101.8%","98.5%"
"11","11","LSU","95.5%","98.9%","95.2%","93.9%","97.2%","101.8%"
"12","12","Temple","95.7%","98.9%","93.4%","92.9%","98.7%","110.9%"
"13","13","Kansas","96.5%","103.3%","125.0%","95.5%","97.2%","102.9%"
"14","14","Maryland","96.6%","100.0%","100.0%","92.5%","101.3%","102.5%"
"15","15","UNLV","96.7%","92.9%","109.3%","89.3%","104.1%","95.1%"
"16","16","Georgia","97.1%","98.1%","106.0%","93.8%","100.1%","101.5%"
"17","17","Tulsa","97.1%","105.0%","130.1%","96.2%","98.0%","102.5%"
"18","18","Vermont","97.1%","101.0%","103.8%","91.8%","101.7%","101.1%"
"19","19","LA Monroe","97.1%","115.8%","124.4%","97.0%","97.2%","104.6%"
"20","20","Rhode Island","97.2%","92.4%","97.0%","93.6%","100.4%","101.9%"
"21","21","Southern","97.3%","92.8%","90.6%","91.4%","100.0%","96.5%"
"22","22","Utah State","97.4%","111.0%","109.6%","95.3%","99.5%","103.1%"
"23","23","Baylor","97.5%","103.0%","94.7%","93.5%","101.7%","103.2%"
"24","24","Memphis","97.5%","107.7%","116.3%","95.1%","100.6%","102.4%"
"25","25","Connecticut","97.5%","94.9%","118.8%","94.9%","99.6%","96.5%"
"26","26","Villanova","97.6%","93.9%","107.9%","91.0%","102.4%","101.3%"
"27","27","Sam Hous St","97.6%","113.0%","122.7%","94.5%","100.2%","110.1%"
"28","28","UC Irvine","97.7%","89.2%","98.5%","102.7%","95.4%","94.9%"
"29","29","N Iowa","97.8%","108.1%","113.8%","96.1%","99.0%","109.6%"
"30","30","Iowa","97.8%","104.5%","140.4%","94.8%","101.2%","102.5%"
"31","31","Quinnipiac","97.8%","98.0%","129.3%","89.4%","109.0%","103.7%"
"32","32","Fla Gulf Cst","98.0%","110.0%","126.8%","99.5%","96.7%","101.6%"
"33","33","Pepperdine","98.0%","101.6%","117.5%","97.8%","98.2%","106.5%"
"34","34","Geo Wshgtn","98.0%","111.5%","122.6%","99.0%","97.4%","100.7%"
"35","35","S Methodist","98.0%","94.1%","111.8%","96.4%","99.7%","98.4%"
"36","36","Clemson","98.2%","122.2%","131.5%","94.7%","102.3%","94.0%"
"37","37","Valparaiso","98.3%","96.7%","126.5%","94.8%","100.6%","102.3%"
"38","38","TX Christian","98.5%","111.0%","105.3%","94.0%","104.6%","107.5%"
"39","39","Duke","98.5%","92.4%","97.4%","96.5%","100.0%","106.3%"
"40","40","St Johns","98.7%","116.4%","113.0%","92.5%","105.1%","101.6%"
"41","41","Arizona","98.8%","114.4%","142.3%","93.9%","102.7%","93.8%"
"42","42","NC State","99.0%","99.4%","112.2%","94.7%","104.4%","104.3%"
"43","43","La Salle","99.2%","97.0%","98.3%","101.3%","97.5%","103.8%"
"44","44","GA Southern","99.2%","91.1%","74.9%","95.9%","101.8%","109.5%"
"45","45","Stony Brook","99.3%","100.4%","108.8%","100.3%","98.7%","105.0%"
"46","46","Ohio State","99.4%","102.3%","98.1%","96.5%","102.4%","97.8%"
"47","47","N Carolina","99.4%","106.1%","118.0%","97.8%","100.4%","101.7%"
"48","48","Purdue","99.4%","99.9%","93.0%","92.7%","105.9%","103.8%"
"49","49","Akron","99.5%","81.3%","88.7%","96.2%","102.7%","104.0%"
"50","50","Michigan St","99.5%","100.5%","119.9%","97.0%","101.3%","101.6%"
"51","51","Harvard","99.6%","106.3%","121.4%","98.7%","100.3%","100.7%"
"52","52","Syracuse","99.7%","106.5%","102.6%","95.9%","104.6%","102.7%"
"53","53","Wichita St","99.7%","112.4%","132.5%","94.5%","103.1%","96.2%"
"54","54","WI-Grn Bay","99.7%","99.1%","100.5%","93.5%","103.8%","100.1%"
