"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","W Virginia","25.1%","22.1%","16.8%","26.3%","23.4%","22.3%"
"2","2","Fordham","22.9%","21.3%","19.7%","24.2%","21.3%","19.9%"
"3","3","Holy Cross","22.3%","21.2%","22.4%","23.5%","21.4%","17.1%"
"4","4","S Carolina","21.3%","22.6%","20.3%","21.2%","21.6%","17.7%"
"5","5","Navy","21.3%","21.6%","21.3%","21.8%","20.8%","17.5%"
"6","6","Ste F Austin","20.9%","15.6%","13.2%","22.8%","19.6%","22.7%"
"7","7","Grambling St","20.7%","18.8%","13.3%","23.9%","19.1%","17.4%"
"8","8","Rob Morris","20.5%","18.6%","21.2%","22.5%","19.2%","18.6%"
"9","9","Ark Pine Bl","20.2%","20.5%","20.3%","21.8%","19.4%","17.0%"
"10","10","CS Bakersfld","20.1%","18.3%","15.8%","19.1%","20.8%","18.6%"
"11","11","Sam Hous St","20.1%","21.5%","25.1%","21.1%","19.4%","16.7%"
"12","12","NC-Asheville","20.0%","18.1%","18.0%","20.6%","19.6%","19.3%"
"13","13","TX A&M-CC","19.7%","19.0%","27.1%","20.6%","19.0%","19.2%"
"14","14","Kansas St","19.6%","17.3%","24.5%","21.0%","18.1%","18.0%"
"15","15","S Alabama","19.6%","24.8%","20.9%","20.2%","18.9%","15.3%"
"16","16","E Tenn St","19.5%","11.0%","7.9%","22.1%","17.8%","15.3%"
"17","17","Liberty","19.5%","23.9%","22.7%","21.5%","17.8%","15.7%"
"18","18","Cleveland St","19.4%","19.6%","13.4%","19.3%","19.5%","17.3%"
"19","19","Portland St","19.4%","21.3%","22.3%","19.9%","19.0%","16.6%"
"20","20","SE Missouri","19.3%","21.1%","13.5%","19.0%","19.5%","16.2%"
"21","21","Virginia","19.1%","20.5%","21.4%","19.7%","18.6%","16.6%"
"22","22","New Orleans","19.1%","16.8%","16.4%","21.3%","17.5%","18.3%"
"23","23","Loyola-MD","19.0%","23.0%","24.4%","20.5%","17.8%","14.7%"
"24","24","VCU","18.9%","19.4%","20.3%","20.1%","17.7%","18.6%"
"25","25","Loyola Mymt","18.9%","18.8%","17.7%","19.1%","18.6%","17.5%"
"26","26","TN State","18.8%","18.4%","14.3%","21.2%","17.4%","19.0%"
"27","27","Loyola-Chi","18.7%","16.1%","18.5%","19.2%","18.4%","19.3%"
"28","28","Princeton","18.7%","24.0%","15.0%","18.0%","19.2%","16.0%"
"29","29","Brown","18.7%","16.2%","19.5%","19.0%","18.4%","13.5%"
"30","30","SE Louisiana","18.7%","18.5%","24.8%","18.5%","18.8%","16.2%"
"31","31","Chattanooga","18.6%","16.2%","13.9%","21.5%","16.7%","17.6%"
"32","32","Prairie View","18.6%","17.5%","10.9%","18.8%","18.5%","19.8%"
"33","33","Abilene Christian","18.6%","14.6%","12.1%","21.8%","16.5%","17.1%"
"34","34","Jacksonville","18.6%","16.2%","14.3%","19.2%","18.3%","15.4%"
"35","35","E Michigan","18.5%","14.3%","17.7%","20.1%","17.4%","17.6%"
"36","36","Mt St Marys","18.5%","19.4%","20.3%","20.0%","17.3%","21.3%"
"37","37","Florida","18.5%","14.3%","11.8%","19.4%","18.1%","16.1%"
"38","38","Stanford","18.4%","11.1%","15.0%","19.2%","17.6%","17.0%"
"39","39","Cincinnati","18.4%","19.4%","15.6%","19.0%","17.5%","17.4%"
"40","40","Dayton","18.4%","14.8%","13.3%","19.3%","17.5%","15.9%"
"41","41","N Iowa","18.4%","18.3%","21.2%","19.1%","17.9%","16.0%"
"42","42","Grand Canyon","18.3%","19.5%","20.2%","19.1%","17.5%","16.6%"
"43","43","St Peters","18.3%","16.4%","10.4%","18.2%","18.4%","15.6%"
"44","44","Fresno St","18.3%","18.2%","19.2%","18.7%","18.0%","18.3%"
"45","45","Texas Tech","18.3%","19.1%","17.3%","18.1%","18.6%","16.0%"
"46","46","Canisius","18.2%","15.9%","14.8%","17.7%","18.5%","16.9%"
"47","47","Boston U","18.1%","17.2%","16.7%","17.3%","18.9%","14.8%"
"48","48","Providence","18.1%","20.0%","13.6%","19.1%","16.6%","17.9%"
"49","49","Oklahoma St","18.1%","13.6%","16.3%","18.4%","17.6%","14.8%"
"50","50","Penn State","18.1%","15.5%","13.9%","19.1%","17.0%","15.3%"
"51","51","E Illinois","18.0%","10.1%","11.6%","20.5%","16.1%","16.6%"
"52","52","St Johns","18.0%","19.7%","15.7%","19.1%","17.2%","17.3%"
"53","53","Lamar","18.0%","16.5%","16.4%","18.1%","18.0%","16.8%"
"54","54","Middle Tenn","18.0%","15.5%","14.2%","18.9%","17.2%","17.2%"
"55","55","North Dakota","18.0%","22.6%","23.4%","18.7%","17.5%","17.4%"
"56","56","Houston","18.0%","17.5%","20.7%","17.8%","18.1%","15.5%"
"57","57","NC-Wilmgton","18.0%","15.2%","15.7%","19.8%","16.9%","17.3%"
"58","58","N Illinois","17.9%","16.2%","15.6%","17.9%","18.0%","17.3%"
"59","59","Miami (OH)","17.9%","17.9%","19.8%","18.8%","17.0%","17.9%"
"60","60","St Bonavent","17.9%","19.6%","21.7%","17.8%","18.0%","16.1%"
"61","61","LA Lafayette","17.9%","18.7%","16.8%","18.2%","17.7%","14.5%"
"62","62","American","17.9%","16.9%","19.7%","17.6%","18.2%","16.7%"
"63","63","Gard-Webb","17.8%","15.0%","15.1%","16.6%","18.5%","16.3%"
"64","64","Old Dominion","17.8%","14.6%","12.2%","20.7%","15.1%","14.9%"
"65","65","TN Tech","17.8%","12.2%","6.8%","19.7%","16.3%","13.5%"
"66","66","Wisconsin","17.8%","18.2%","15.9%","18.9%","16.4%","16.3%"
