"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","VCU","18.2","14.7","17.0","19.1","17.6","19.7"
"2","2","Louisville","17.2","15.0","12.0","18.3","16.2","18.2"
"3","3","Arkansas","17.0","14.3","16.0","18.4","15.3","17.5"
"4","4","LA Tech","16.4","15.3","15.0","18.1","15.4","17.3"
"5","5","E Kentucky","16.2","14.7","14.0","16.2","16.3","16.8"
"6","6","Ark Pine Bl","16.2","19.0","19.0","14.2","17.1","16.2"
"7","7","Hampton","16.1","15.3","15.0","17.4","15.2","15.6"
"8","8","Manhattan","15.6","12.0","12.0","16.5","15.1","14.6"
"9","9","Chicago St","15.6","20.0","17.0","16.1","15.3","16.2"
"10","10","NW State","15.6","11.0","10.0","17.4","14.4","15.9"
"11","11","Wright State","15.5","12.3","14.0","17.0","14.6","15.4"
"12","12","NC Central","15.5","11.3","9.0","17.2","14.4","14.7"
"13","13","Ste F Austin","15.4","8.7","3.0","16.9","14.4","14.0"
"14","14","Neb Omaha","15.3","14.3","14.0","17.5","13.8","12.5"
"15","15","Monmouth","15.0","16.3","14.0","16.5","13.8","18.0"
"16","16","Maryland BC","15.0","13.0","9.0","15.8","14.4","13.8"
"17","17","Niagara","14.9","11.3","13.0","17.3","13.4","15.8"
"18","18","S Mississippi","14.9","10.3","10.0","16.5","14.0","16.1"
"19","19","Florida A&M","14.8","16.3","19.0","14.5","15.0","16.1"
"20","20","E Michigan","14.8","11.7","12.0","15.7","13.9","13.9"
"21","21","St Bonavent","14.7","12.7","14.0","14.9","14.6","14.6"
"22","22","Morehead St","14.7","14.7","11.0","15.6","14.2","16.5"
"23","23","Alabama St","14.7","14.7","15.0","16.0","13.8","13.2"
"24","24","Miami (OH)","14.6","15.3","10.0","15.3","14.1","15.1"
"25","25","Ohio State","14.6","15.0","13.0","14.3","15.1","13.3"
"26","26","Howard","14.5","14.3","11.0","16.4","13.8","14.2"
"27","27","Austin Peay","14.5","12.7","12.0","14.7","14.3","12.9"
"28","28","Jackson St","14.5","10.3","17.0","16.0","13.3","14.7"
"29","29","Lipscomb","14.4","12.7","13.0","15.7","13.6","13.4"
"30","30","North Dakota","14.3","13.7","16.0","15.6","13.6","13.4"
"31","31","Saint Louis","14.3","14.0","19.0","15.2","13.5","15.3"
"32","32","Memphis","14.3","11.7","10.0","15.7","13.1","15.4"
"33","33","UCLA","14.3","12.0","12.0","14.8","13.8","14.0"
"34","34","TX-Pan Am","14.3","12.0","15.0","15.0","13.8","14.8"
"35","35","Belmont","14.3","15.7","11.0","14.8","14.0","17.1"
"36","36","New Orleans","14.2","13.3","12.0","14.8","13.9","15.5"
"37","37","Cincinnati","14.2","12.7","12.0","14.9","13.4","13.3"
