"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","VCU","27.9%","26.0%","18.2%","31.3%","24.7%","26.1%"
"2","2","Louisville","26.7%","17.4%","17.7%","26.9%","26.5%","21.9%"
"3","3","Denver","25.7%","20.8%","20.4%","26.1%","25.3%","22.4%"
"4","4","Savannah St","25.3%","23.8%","23.9%","26.0%","25.0%","23.1%"
"5","5","E Kentucky","25.1%","20.0%","16.3%","25.4%","24.9%","19.6%"
"6","6","Florida Intl","25.0%","25.5%","26.8%","26.8%","23.8%","20.2%"
"7","7","Ohio","24.9%","19.8%","16.5%","27.9%","21.5%","25.3%"
"8","8","Jksnville St","24.8%","20.1%","17.8%","23.7%","25.5%","21.9%"
"9","9","Monmouth","24.8%","25.0%","22.4%","24.7%","24.8%","23.7%"
"10","10","Belmont","24.5%","29.8%","24.2%","23.9%","24.9%","20.0%"
"11","11","Hartford","24.4%","29.4%","29.0%","23.0%","25.7%","22.6%"
"12","12","Wright State","24.3%","18.5%","9.1%","25.7%","22.9%","24.6%"
"13","13","Arkansas","24.1%","23.4%","16.9%","26.7%","21.1%","22.2%"
"14","14","LA Tech","24.0%","25.2%","20.5%","26.0%","22.4%","20.7%"
"15","15","Rob Morris","24.0%","22.9%","22.2%","25.2%","22.9%","22.9%"
"16","16","S Illinois","23.7%","24.4%","21.0%","25.3%","22.7%","21.3%"
"17","17","S Mississippi","23.6%","20.3%","14.5%","24.6%","23.0%","20.4%"
"18","18","Mt St Marys","23.5%","17.9%","17.9%","23.8%","23.3%","19.2%"
"19","19","Middle Tenn","23.2%","15.0%","11.9%","25.6%","21.3%","21.5%"
"20","20","Ark Pine Bl","23.1%","23.9%","22.1%","24.4%","22.6%","20.7%"
"21","21","Saint Louis","23.1%","23.4%","25.3%","23.7%","22.3%","22.4%"
"22","22","Chicago St","23.0%","24.8%","22.3%","27.6%","21.0%","19.3%"
"23","23","Gard-Webb","22.9%","20.4%","26.7%","23.7%","22.3%","18.6%"
"24","24","NC A&T","22.9%","19.7%","23.2%","23.5%","22.6%","21.1%"
"25","25","Syracuse","22.8%","22.7%","16.6%","24.9%","20.9%","23.1%"
"26","26","Coppin State","22.8%","17.4%","13.4%","24.0%","22.2%","17.3%"
"27","27","Morehead St","22.7%","19.8%","15.9%","25.6%","20.6%","23.2%"
"28","28","Arkansas St","22.7%","15.7%","17.4%","23.8%","21.6%","19.1%"
"29","29","AR Lit Rock","22.6%","20.5%","28.7%","24.0%","21.3%","21.0%"
"30","30","Manhattan","22.6%","23.5%","26.1%","20.1%","23.9%","22.0%"
"31","31","Miami (OH)","22.5%","18.2%","24.9%","25.5%","20.5%","18.3%"
"32","32","Detroit","22.5%","29.6%","34.0%","24.4%","21.0%","21.7%"
"33","33","NC Central","22.4%","22.0%","20.1%","25.3%","20.6%","22.9%"
"34","34","Richmond","22.4%","21.6%","25.0%","24.1%","20.6%","19.2%"
"35","35","CS Fullerton","22.3%","20.2%","23.4%","23.7%","21.6%","18.5%"
"36","36","Howard","22.3%","24.3%","16.0%","23.7%","21.6%","20.3%"
"37","37","TX-Arlington","22.3%","21.1%","20.0%","23.6%","21.1%","23.7%"
"38","38","Ste F Austin","22.1%","15.8%","21.2%","25.7%","19.9%","22.3%"
"39","39","Alabama","22.1%","24.7%","28.1%","24.2%","19.6%","20.2%"
"40","40","Florida A&M","22.1%","25.7%","26.4%","24.0%","21.4%","20.1%"
"41","41","Houston Bap","22.1%","22.3%","15.5%","23.5%","21.4%","21.3%"
"42","42","E Michigan","22.0%","20.8%","18.2%","22.6%","21.6%","22.5%"
"43","43","Niagara","22.0%","23.9%","23.5%","22.1%","21.9%","22.2%"
"44","44","UAB","22.0%","22.1%","21.4%","24.8%","19.8%","18.2%"
"45","45","Beth-Cook","22.0%","16.3%","13.4%","24.3%","20.8%","23.1%"
"46","46","N Illinois","21.9%","17.6%","18.6%","21.7%","22.1%","18.1%"
"47","47","Northeastrn","21.9%","24.9%","20.1%","22.1%","21.8%","21.2%"
"48","48","Georgetown","21.9%","21.3%","17.1%","23.9%","19.7%","18.9%"
"49","49","Florida","21.9%","22.6%","15.3%","23.8%","20.6%","18.4%"
"50","50","Geo Mason","21.9%","18.5%","14.9%","22.6%","21.2%","20.1%"
"51","51","Wofford","21.8%","19.3%","14.6%","20.8%","22.3%","16.5%"
"52","52","Miss State","21.8%","21.4%","24.5%","24.9%","19.4%","15.7%"
"53","53","Kansas St","21.7%","18.9%","13.4%","24.8%","18.9%","22.8%"
"54","54","Hampton","21.7%","20.3%","26.5%","21.2%","22.2%","21.1%"
"55","55","Fla Gulf Cst","21.7%","19.4%","15.5%","23.7%","20.4%","19.8%"
"56","56","Cal St Nrdge","21.7%","17.5%","18.0%","21.7%","21.7%","20.7%"
"57","57","Miss Val St","21.7%","21.6%","24.5%","21.0%","22.0%","22.7%"
"58","58","Pittsburgh","21.6%","16.6%","15.8%","22.1%","21.0%","16.9%"
"59","59","Coastal Car","21.6%","14.7%","13.2%","22.5%","20.6%","16.4%"
"60","60","St Peters","21.6%","17.5%","22.1%","22.0%","21.2%","22.0%"
"61","61","Oregon","21.5%","18.5%","18.8%","23.2%","19.9%","18.0%"
"62","62","TX-Pan Am","21.5%","20.0%","11.9%","24.5%","19.8%","19.3%"
"63","63","Wagner","21.5%","23.5%","30.7%","21.6%","21.4%","24.1%"
"64","64","Memphis","21.5%","21.1%","25.5%","23.1%","19.8%","20.0%"
"65","65","Norfolk St","21.5%","24.9%","24.0%","23.1%","20.6%","18.6%"
"66","66","Villanova","21.4%","24.0%","23.5%","22.0%","21.0%","16.2%"
"67","67","CS Bakersfld","21.4%","19.8%","17.8%","22.9%","20.7%","22.4%"
"68","68","W Virginia","21.4%","22.6%","24.5%","20.2%","22.3%","19.6%"
"69","69","Mercer","21.3%","12.6%","10.9%","23.9%","19.8%","20.0%"
"70","70","Cleveland St","21.3%","19.9%","20.3%","20.4%","21.9%","23.8%"
"71","71","Bradley","21.3%","15.1%","6.4%","23.7%","18.8%","18.4%"
"72","72","NW State","21.3%","16.0%","12.1%","22.9%","20.3%","21.9%"
"73","73","Texas A&M","21.3%","20.7%","27.9%","21.5%","21.0%","18.4%"
"74","74","Illinois","21.2%","18.3%","10.6%","21.8%","20.8%","19.6%"
"75","75","Oklahoma St","21.2%","19.5%","25.3%","23.0%","19.4%","18.2%"
"76","76","Morgan St","21.2%","17.1%","22.0%","23.7%","20.2%","20.2%"
"77","77","LSU","21.2%","18.7%","23.2%","21.5%","20.7%","21.0%"
"78","78","Fairfield","21.1%","21.2%","15.7%","22.3%","20.5%","23.6%"
"79","79","TN Tech","21.1%","20.0%","23.9%","22.8%","19.8%","20.6%"
"80","80","Evansville","21.1%","16.9%","11.9%","22.7%","19.3%","23.7%"
"81","81","St Bonavent","21.1%","22.3%","25.3%","22.9%","19.4%","18.5%"
"82","82","Sam Hous St","21.1%","16.1%","13.7%","22.5%","20.3%","21.0%"
"83","83","DePaul","21.1%","21.0%","23.1%","24.0%","17.8%","21.0%"
"84","84","Boston U","21.1%","21.2%","23.0%","23.2%","19.6%","19.2%"
"85","85","Navy","21.1%","17.2%","17.6%","22.9%","19.7%","21.4%"
"86","86","Radford","21.0%","18.3%","15.5%","21.7%","20.6%","21.1%"
"87","87","Wyoming","21.0%","17.7%","20.1%","20.8%","21.2%","21.7%"
"88","88","N Carolina","21.0%","21.6%","29.6%","22.1%","20.1%","17.8%"
"89","89","Mississippi","20.9%","17.7%","17.0%","24.3%","17.7%","19.2%"
"90","90","Texas Tech","20.9%","21.8%","23.6%","21.5%","19.8%","18.4%"
"91","91","La Salle","20.9%","15.3%","12.1%","22.2%","20.1%","22.1%"
"92","92","S Methodist","20.9%","20.7%","26.3%","22.0%","20.1%","22.0%"
"93","93","U Penn","20.9%","23.5%","12.4%","21.6%","20.3%","21.4%"
"94","94","E Illinois","20.8%","17.7%","12.6%","21.6%","20.2%","19.1%"
"95","95","E Tenn St","20.8%","22.4%","23.6%","20.4%","21.1%","24.9%"
"96","96","Toledo","20.8%","25.5%","21.5%","22.1%","19.9%","20.8%"
"97","97","Kennesaw St","20.8%","21.2%","17.5%","22.2%","19.9%","19.0%"
"98","98","Maryland ES","20.8%","20.4%","13.3%","24.4%","19.3%","18.7%"
"99","99","Santa Clara","20.8%","21.6%","21.6%","23.2%","18.2%","17.2%"
"100","100","NJIT","20.7%","22.0%","22.1%","23.6%","18.4%","19.6%"
"101","101","Geo Wshgtn","20.7%","20.1%","16.1%","21.5%","20.1%","20.5%"
"102","102","New Orleans","20.7%","18.8%","18.4%","23.6%","18.9%","22.2%"
"103","103","Montana St","20.7%","22.2%","23.9%","21.0%","20.5%","20.3%"
"104","104","Rice","20.7%","20.0%","21.5%","22.1%","19.3%","18.7%"
"105","105","Dartmouth","20.7%","20.1%","21.0%","22.0%","19.7%","18.8%"
"106","106","SIU Edward","20.7%","18.6%","11.9%","23.3%","18.6%","18.0%"
"107","107","Illinois St","20.7%","19.2%","21.5%","21.5%","19.9%","16.5%"
"108","108","S Carolina","20.7%","21.5%","21.4%","21.5%","19.5%","22.0%"
"109","109","N Kentucky","20.6%","24.9%","20.8%","21.3%","20.4%","--"
"110","110","Dayton","20.6%","16.0%","12.4%","22.8%","18.2%","18.8%"
"111","111","Jackson St","20.6%","19.1%","15.7%","22.7%","19.8%","20.0%"
"112","112","James Mad","20.6%","16.6%","14.2%","21.4%","20.1%","19.6%"
"113","113","Rider","20.6%","20.9%","18.0%","22.2%","19.4%","17.6%"
"114","114","Prairie View","20.5%","21.0%","22.2%","18.2%","21.7%","21.6%"
"115","115","Georgia St","20.5%","17.6%","14.1%","21.3%","19.8%","21.9%"
"116","116","Virginia","20.5%","23.1%","22.3%","22.4%","17.6%","20.3%"
"117","117","Harvard","20.5%","18.2%","18.5%","21.6%","19.5%","19.4%"
"118","118","Loyola-MD","20.5%","18.2%","17.9%","20.0%","20.8%","21.0%"
"119","119","W Kentucky","20.5%","23.8%","24.4%","20.4%","20.5%","20.4%"
"120","120","Loyola Mymt","20.4%","19.9%","20.2%","20.3%","20.5%","19.9%"
"121","121","Princeton","20.4%","22.0%","26.3%","20.0%","20.7%","18.2%"
"122","122","Nicholls St","20.4%","20.2%","15.8%","23.7%","18.6%","17.7%"
"123","123","Delaware St","20.4%","24.1%","26.2%","22.4%","19.6%","20.5%"
"124","124","NC-Asheville","20.4%","21.0%","22.3%","16.9%","22.3%","21.5%"
"125","125","Indiana","20.4%","17.6%","21.2%","22.1%","18.3%","19.0%"
"126","126","LA Monroe","20.4%","24.6%","30.0%","20.9%","20.0%","16.0%"
"127","127","LA Lafayette","20.4%","19.0%","14.2%","21.0%","19.8%","18.9%"
"128","128","Idaho State","20.4%","15.7%","14.9%","20.7%","20.2%","21.7%"
"129","129","Kent State","20.3%","18.4%","15.0%","21.5%","19.1%","22.5%"
"130","130","Gonzaga","20.3%","18.1%","23.0%","21.8%","19.1%","18.6%"
"131","131","Texas State","20.3%","15.3%","10.1%","20.2%","20.3%","22.2%"
"132","132","Cornell","20.3%","14.1%","13.7%","20.4%","20.1%","21.7%"
"133","133","S Alabama","20.2%","16.6%","14.0%","21.6%","19.2%","17.9%"
"134","134","Ohio State","20.2%","18.9%","16.2%","22.3%","18.2%","21.5%"
"135","135","Stony Brook","20.2%","19.3%","12.5%","21.7%","19.4%","20.8%"
"136","136","Wake Forest","20.2%","18.7%","18.0%","21.8%","18.5%","17.5%"
"137","137","Vermont","20.2%","20.1%","18.0%","21.3%","19.4%","19.3%"
"138","138","N Iowa","20.2%","21.0%","19.5%","19.4%","21.1%","18.7%"
"139","139","Tulane","20.2%","18.5%","15.1%","21.5%","18.7%","21.0%"
"140","140","Florida St","20.1%","14.8%","17.8%","21.7%","18.4%","21.5%"
"141","141","Oakland","20.1%","18.4%","12.5%","22.4%","19.0%","18.1%"
"142","142","Hofstra","20.1%","22.8%","23.2%","20.9%","19.4%","22.3%"
"143","143","Duke","20.1%","14.4%","11.4%","21.5%","18.9%","18.1%"
"144","144","GA Southern","20.1%","16.2%","16.5%","19.5%","20.4%","21.3%"
"145","145","Clemson","20.0%","17.8%","16.4%","20.2%","19.8%","21.9%"
"146","146","TX-San Ant","20.0%","13.8%","13.9%","19.7%","20.2%","22.1%"
"147","147","Old Dominion","20.0%","17.5%","20.6%","20.6%","19.1%","21.9%"
"148","148","Yale","19.9%","18.0%","18.7%","19.9%","20.0%","18.3%"
"149","149","Lafayette","19.9%","13.7%","8.3%","22.0%","18.0%","17.8%"
"150","150","W Carolina","19.9%","22.4%","22.5%","20.5%","19.6%","20.6%"
"151","151","Lehigh","19.9%","17.5%","20.9%","20.4%","19.4%","20.6%"
"152","152","San Diego","19.9%","19.8%","14.9%","20.2%","19.6%","19.9%"
"153","153","Jacksonville","19.8%","13.2%","16.5%","20.4%","19.5%","20.3%"
"154","154","Campbell","19.8%","18.7%","18.5%","20.9%","18.9%","16.9%"
"155","155","Maryland BC","19.8%","22.3%","15.0%","20.1%","19.6%","18.2%"
"156","156","N Arizona","19.8%","15.4%","19.1%","21.3%","18.9%","20.1%"
"157","157","Murray St","19.8%","17.1%","19.1%","20.7%","19.2%","23.5%"
"158","158","Charlotte","19.8%","9.0%","7.2%","21.7%","18.2%","20.0%"
"159","159","Cincinnati","19.8%","17.5%","24.8%","20.8%","18.4%","20.8%"
"160","160","SC Upstate","19.7%","18.8%","14.5%","20.3%","19.4%","22.7%"
"161","161","Pacific","19.7%","16.7%","17.3%","20.5%","19.3%","19.7%"
"162","162","St Johns","19.7%","20.9%","18.4%","20.4%","19.0%","20.7%"
"163","163","Akron","19.7%","15.3%","10.6%","20.9%","18.6%","19.8%"
"164","164","Columbia","19.7%","20.8%","26.3%","19.5%","19.8%","18.5%"
"165","165","Temple","19.7%","21.9%","18.9%","19.7%","19.7%","18.9%"
"166","166","TX Christian","19.7%","13.4%","13.8%","20.0%","19.3%","21.0%"
"167","167","Connecticut","19.7%","13.4%","19.6%","21.6%","17.1%","15.9%"
"168","168","Southern","19.7%","21.5%","15.7%","19.6%","19.7%","18.6%"
"169","169","Fresno St","19.6%","16.6%","11.6%","20.8%","18.8%","21.0%"
"170","170","Samford","19.6%","16.4%","15.1%","22.9%","17.6%","18.2%"
"171","171","Boise State","19.6%","18.9%","16.4%","19.7%","19.6%","19.1%"
"172","172","Bowling Grn","19.6%","19.6%","15.5%","21.1%","18.1%","22.2%"
"173","173","Minnesota","19.6%","18.3%","22.3%","21.2%","17.9%","19.0%"
"174","174","Valparaiso","19.5%","19.8%","27.2%","20.0%","19.1%","17.2%"
"175","175","IPFW","19.5%","15.8%","24.7%","20.2%","19.1%","18.8%"
"176","176","Canisius","19.5%","19.9%","13.9%","21.3%","17.9%","17.9%"
"177","177","Wichita St","19.5%","13.4%","14.5%","21.2%","18.3%","18.0%"
"178","178","Auburn","19.5%","15.9%","15.1%","19.6%","19.3%","20.9%"
"179","179","UCLA","19.4%","18.4%","15.1%","20.6%","18.2%","20.1%"
"180","180","TN State","19.4%","19.0%","19.1%","20.6%","18.7%","22.2%"
"181","181","Albany","19.4%","18.0%","17.5%","20.6%","18.5%","18.9%"
"182","182","Providence","19.4%","14.7%","7.5%","20.6%","17.9%","15.9%"
"183","183","Arizona","19.4%","12.2%","12.3%","20.9%","18.1%","17.4%"
"184","184","Seattle","19.4%","17.4%","19.0%","20.5%","18.0%","19.2%"
"185","185","Central Mich","19.4%","19.5%","21.3%","20.4%","18.8%","21.7%"
"186","186","IL-Chicago","19.4%","13.1%","13.6%","19.5%","19.2%","17.2%"
"187","187","St Fran (NY)","19.3%","14.7%","13.9%","19.2%","19.4%","20.5%"
"188","188","North Dakota","19.3%","15.5%","19.4%","21.1%","18.3%","19.2%"
"189","189","High Point","19.3%","18.3%","16.0%","20.2%","18.5%","17.0%"
"190","190","TX El Paso","19.3%","13.7%","11.4%","20.8%","17.7%","18.2%"
