"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","UC Irvine","39.2%","35.7%","31.9%","41.1%","37.8%","42.5%"
"2","2","Arizona","40.2%","41.8%","40.9%","39.8%","40.5%","43.4%"
"3","3","New Mexico","41.1%","37.5%","32.4%","39.1%","42.6%","42.0%"
"4","4","E Michigan","41.2%","46.7%","52.2%","39.7%","42.4%","48.0%"
"5","5","Southern","41.4%","40.7%","52.6%","38.2%","43.6%","40.5%"
"6","6","Hampton","41.8%","45.6%","48.0%","38.8%","43.8%","42.9%"
"7","7","Virginia","42.1%","44.5%","48.5%","42.4%","41.9%","42.7%"
"8","8","Connecticut","42.2%","46.8%","46.2%","40.4%","43.6%","44.4%"
"9","9","S Methodist","42.7%","55.1%","65.4%","41.3%","43.9%","44.3%"
"10","10","N Mex State","42.7%","44.6%","40.5%","40.7%","44.0%","43.2%"
"11","11","Texas","42.9%","41.6%","38.5%","41.3%","44.5%","42.8%"
"12","12","Villanova","43.0%","40.2%","43.8%","41.0%","44.5%","42.5%"
"13","13","Cincinnati","43.2%","44.4%","48.1%","42.3%","44.4%","42.3%"
"14","14","NC Central","43.2%","51.9%","68.4%","39.1%","45.6%","45.7%"
"15","15","Tulsa","43.2%","40.6%","51.1%","42.5%","43.7%","45.8%"
"16","16","Gonzaga","43.3%","46.2%","53.2%","44.5%","42.4%","42.1%"
"17","17","Col Charlestn","43.4%","48.2%","45.7%","42.9%","43.8%","45.0%"
"18","18","Florida St","43.5%","42.1%","35.3%","45.0%","42.1%","47.1%"
"19","19","Miami (FL)","43.5%","43.4%","46.3%","41.4%","45.6%","44.0%"
"20","20","Michigan St","43.5%","41.2%","44.4%","42.9%","44.0%","44.3%"
"21","21","UCSB","43.5%","38.3%","42.4%","42.2%","44.5%","45.3%"
"22","22","Florida","43.5%","50.5%","61.3%","41.4%","45.3%","41.8%"
"23","23","San Diego St","43.5%","43.0%","50.0%","40.1%","46.1%","43.3%"
"24","24","Arkansas","43.6%","43.6%","60.6%","40.9%","47.0%","46.9%"
"25","25","Wichita St","43.6%","41.4%","59.4%","44.1%","43.2%","43.6%"
"26","26","Wagner","43.6%","42.5%","59.5%","45.7%","42.2%","44.0%"
"27","27","Valparaiso","43.8%","43.0%","50.0%","44.0%","43.5%","44.5%"
"28","28","LSU","43.8%","54.5%","55.8%","40.3%","47.2%","46.9%"
"29","29","TX El Paso","43.9%","44.5%","42.4%","45.4%","42.3%","44.9%"
"30","30","St Johns","43.9%","45.0%","45.8%","43.6%","44.5%","43.6%"
"31","31","Vermont","44.0%","48.8%","62.5%","40.0%","46.3%","45.3%"
"32","32","Manhattan","44.0%","47.0%","38.1%","43.6%","44.2%","43.2%"
