"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Delaware","52.8%","57.5%","66.0%","54.0%","52.0%","62.5%"
"2","2","Air Force","53.3%","44.4%","45.5%","53.5%","53.0%","55.9%"
"3","3","Mercer","55.1%","56.7%","51.6%","51.1%","57.4%","59.9%"
"4","4","S Mississippi","55.8%","56.1%","58.1%","56.9%","54.8%","58.8%"
"5","5","TN Martin","55.9%","42.2%","50.7%","55.3%","56.2%","61.4%"
"6","6","Chicago St","56.5%","55.9%","68.5%","58.1%","55.7%","61.5%"
"7","7","Seattle","56.9%","63.3%","62.5%","56.2%","57.8%","59.9%"
"8","8","Longwood","56.9%","54.9%","56.9%","59.3%","55.8%","62.7%"
"9","9","Idaho","57.2%","57.4%","58.7%","60.7%","54.8%","56.9%"
"10","10","James Mad","57.5%","59.6%","61.2%","55.9%","59.5%","62.1%"
"11","11","Presbyterian","57.5%","54.6%","52.5%","55.9%","58.7%","56.6%"
"12","12","NJIT","57.6%","52.8%","51.8%","57.4%","57.8%","64.9%"
"13","13","Delaware St","57.6%","57.8%","53.2%","57.4%","57.8%","63.2%"
"14","14","Miami (OH)","57.8%","60.8%","58.3%","58.5%","57.0%","59.5%"
"15","15","Navy","58.2%","68.1%","74.5%","58.0%","58.3%","62.4%"
"16","16","Monmouth","58.2%","54.9%","64.8%","58.3%","58.1%","57.6%"
"17","17","NC A&T","58.4%","60.3%","56.5%","57.6%","58.9%","62.9%"
"18","18","TX-Arlington","58.5%","51.6%","54.5%","60.0%","57.3%","59.5%"
"19","19","St Josephs","58.5%","56.2%","54.7%","56.8%","60.0%","66.4%"
"20","20","TN State","58.6%","47.4%","45.0%","56.3%","60.1%","57.4%"
"21","21","W Michigan","58.8%","56.4%","54.7%","63.6%","54.8%","59.4%"
"22","22","S Carolina","58.8%","62.6%","62.7%","59.9%","57.3%","63.7%"
"23","23","Lipscomb","59.1%","61.6%","58.2%","61.1%","57.5%","59.3%"
"24","24","UCSB","59.1%","61.1%","53.4%","60.3%","58.6%","66.8%"
"25","25","Holy Cross","59.2%","61.6%","67.2%","60.1%","58.7%","68.4%"
"26","26","Georgia St","59.3%","62.2%","62.2%","61.5%","57.2%","58.0%"
"27","27","GA Southern","59.3%","60.3%","63.1%","60.3%","58.6%","62.8%"
"28","28","Jacksonville","59.4%","57.4%","69.4%","59.5%","59.3%","62.2%"
"29","29","Saint Louis","59.4%","61.3%","58.2%","59.7%","59.0%","66.7%"
"30","30","NC-Grnsboro","59.4%","62.5%","65.5%","58.9%","59.9%","64.1%"
"31","31","Wm & Mary","59.5%","47.6%","40.7%","62.5%","56.9%","62.0%"
"32","32","N Illinois","59.5%","60.9%","55.4%","60.7%","58.1%","56.6%"
"33","33","Xavier","59.5%","62.2%","54.2%","59.1%","59.8%","62.8%"
"34","34","Bryant","59.5%","53.2%","54.8%","59.0%","59.9%","64.4%"
"35","35","Dartmouth","59.6%","63.0%","53.7%","59.0%","60.1%","61.7%"
"36","36","Coastal Car","59.8%","59.8%","59.6%","58.1%","61.5%","60.4%"
"37","37","AR Lit Rock","59.8%","59.1%","60.4%","60.3%","59.6%","64.0%"
"38","38","Texas A&M","59.9%","54.3%","60.3%","62.5%","57.4%","57.2%"
"39","39","S Methodist","60.0%","58.8%","68.9%","58.5%","62.0%","54.3%"
"40","40","N Colorado","60.1%","55.3%","71.2%","62.5%","57.8%","62.1%"
"41","41","Idaho State","60.1%","60.6%","68.3%","59.0%","60.8%","57.3%"
"42","42","Syracuse","60.3%","65.9%","73.8%","59.2%","61.1%","62.6%"
"43","43","Loyola Mymt","60.3%","63.5%","59.1%","62.6%","58.3%","61.3%"
"44","44","New Mexico","60.3%","70.6%","76.7%","60.7%","60.0%","58.2%"
"45","45","Albany","60.4%","49.7%","60.9%","59.4%","61.1%","58.3%"
"46","46","Georgia","60.4%","52.0%","58.6%","58.8%","62.5%","64.7%"
"47","47","Lehigh","60.4%","58.5%","38.3%","60.3%","60.5%","59.7%"
"48","48","Charl South","60.5%","57.5%","51.9%","58.6%","61.8%","59.5%"
"49","49","DePaul","60.5%","51.0%","58.7%","59.1%","61.8%","69.0%"
"50","50","Austin Peay","60.5%","62.7%","77.1%","60.7%","60.5%","63.8%"
"51","51","TX El Paso","60.6%","53.1%","43.5%","60.8%","60.3%","68.0%"
"52","52","E Michigan","60.6%","55.6%","46.8%","60.6%","60.6%","61.4%"
"53","53","Fordham","60.6%","63.0%","52.8%","60.4%","60.9%","63.4%"
"54","54","E Carolina","60.6%","69.1%","71.9%","61.1%","60.2%","64.0%"
"55","55","Fresno St","60.7%","62.2%","64.0%","60.9%","60.6%","66.6%"
"56","56","San Fransco","60.8%","64.0%","68.4%","60.8%","60.7%","63.3%"
"57","57","Missouri","60.8%","53.8%","42.9%","60.8%","60.8%","65.0%"
"58","58","N Iowa","60.8%","57.5%","54.9%","62.8%","59.7%","62.0%"
"59","59","Santa Clara","60.8%","60.6%","58.0%","58.2%","62.9%","65.9%"
"60","60","SE Missouri","60.9%","66.7%","77.6%","57.7%","63.1%","68.0%"
"61","61","Sam Hous St","60.9%","59.7%","47.5%","60.2%","61.3%","72.0%"
"62","62","Colorado St","61.0%","64.0%","64.8%","59.8%","61.9%","64.6%"
"63","63","North Dakota","61.0%","54.9%","72.5%","60.9%","61.1%","70.3%"
"64","64","Oregon St","61.1%","59.9%","64.3%","61.3%","61.0%","59.1%"
"65","65","Rider","61.3%","56.3%","61.4%","58.3%","63.3%","61.6%"
"66","66","St Peters","61.4%","63.8%","67.2%","62.2%","60.7%","63.7%"
"67","67","Stanford","61.4%","55.4%","67.7%","61.1%","61.9%","67.7%"
"68","68","Mississippi","61.4%","57.1%","54.7%","60.6%","62.1%","59.9%"
"69","69","Columbia","61.5%","64.9%","69.0%","63.1%","58.9%","69.9%"
"70","70","Maryland ES","61.5%","62.7%","68.6%","56.3%","64.1%","61.1%"
"71","71","South Dakota","61.6%","57.5%","49.2%","66.0%","59.6%","64.7%"
"72","72","Illinois","61.6%","65.9%","55.0%","62.5%","60.9%","64.0%"
"73","73","High Point","61.6%","73.8%","67.7%","61.2%","62.0%","61.0%"
"74","74","Canisius","61.6%","61.3%","48.3%","59.4%","63.2%","63.0%"
"75","75","Miss Val St","61.7%","63.2%","56.7%","62.6%","61.4%","65.9%"
"76","76","Iowa","61.8%","66.3%","64.8%","64.0%","59.9%","63.4%"
"77","77","Florida Intl","61.9%","65.0%","64.7%","64.9%","59.2%","61.4%"
"78","78","CS Fullerton","62.0%","60.2%","60.9%","61.3%","62.3%","67.9%"
"79","79","LA Monroe","62.0%","61.8%","60.0%","61.8%","62.1%","64.0%"
"80","80","Duquesne","62.0%","59.7%","66.1%","62.0%","62.1%","59.9%"
"81","81","BYU","62.1%","60.7%","54.1%","61.5%","62.8%","67.7%"
"82","82","Norfolk St","62.2%","61.1%","52.9%","63.6%","61.6%","60.0%"
"83","83","UCLA","62.2%","61.0%","64.1%","62.7%","61.6%","61.5%"
"84","84","Texas Tech","62.2%","64.2%","66.7%","61.4%","63.1%","61.6%"
"85","85","SC Upstate","62.2%","61.1%","71.0%","61.5%","62.8%","60.2%"
"86","86","SE Louisiana","62.3%","51.7%","47.5%","62.5%","62.2%","63.8%"
"87","87","N Arizona","62.3%","64.7%","50.8%","61.4%","62.9%","66.9%"
"88","88","St Bonavent","62.3%","66.3%","71.0%","62.3%","62.3%","65.6%"
"89","89","NC Central","62.4%","65.2%","63.6%","60.3%","63.4%","65.5%"
"90","90","Villanova","62.6%","61.8%","73.0%","59.4%","64.8%","67.8%"
"91","91","Bowling Grn","62.7%","58.1%","54.7%","63.3%","62.3%","62.3%"
"92","92","S Car State","62.7%","64.2%","57.9%","61.6%","63.1%","64.4%"
"93","93","E Tenn St","62.7%","60.3%","54.1%","64.5%","61.6%","55.9%"
"94","94","Gard-Webb","62.7%","55.7%","55.6%","68.0%","60.1%","70.3%"
"95","95","Boise State","62.7%","63.5%","46.3%","64.5%","61.2%","64.3%"
"96","96","W Carolina","62.8%","62.0%","62.7%","61.2%","63.7%","59.6%"
"97","97","S Florida","62.8%","56.5%","59.4%","63.9%","61.5%","65.6%"
"98","98","Sac State","62.9%","58.0%","64.7%","61.1%","64.2%","63.5%"
"99","99","UC Davis","62.9%","62.4%","61.0%","64.6%","61.4%","65.0%"
"100","100","Ohio State","62.9%","57.6%","70.3%","62.7%","63.2%","62.4%"
"101","101","Toledo","62.9%","73.1%","69.6%","62.0%","63.7%","61.8%"
"102","102","VA Tech","62.9%","59.3%","70.2%","61.0%","65.4%","61.1%"
"103","103","Colgate","62.9%","58.6%","59.3%","63.3%","62.7%","67.8%"
"104","104","LSU","62.9%","60.8%","56.5%","61.0%","65.2%","70.8%"
"105","105","VA Military","62.9%","66.7%","77.6%","63.1%","62.8%","75.2%"
"106","106","UMKC","63.0%","60.7%","71.2%","59.4%","64.9%","64.4%"
"107","107","Florida St","63.0%","60.8%","70.9%","61.3%","64.4%","67.5%"
"108","108","TX-San Ant","63.0%","71.0%","67.9%","61.7%","64.0%","60.1%"
"109","109","Boston U","63.0%","55.9%","59.6%","64.3%","62.2%","59.9%"
"110","110","Grambling St","63.0%","66.7%","75.0%","62.1%","63.5%","65.3%"
"111","111","Tulsa","63.1%","63.7%","57.6%","62.8%","63.3%","61.6%"
"112","112","Wichita St","63.1%","64.7%","68.4%","64.6%","62.0%","69.6%"
"113","113","S Alabama","63.1%","68.8%","62.0%","60.8%","64.6%","70.3%"
"114","114","Arkansas St","63.1%","68.3%","67.7%","64.5%","61.9%","65.8%"
"115","115","Northwestern","63.1%","53.7%","50.0%","62.6%","63.7%","63.9%"
"116","116","UC Irvine","63.1%","58.3%","49.1%","65.6%","62.0%","70.9%"
"117","117","Howard","63.2%","71.3%","74.6%","62.5%","63.7%","61.3%"
"118","118","Dayton","63.2%","59.4%","58.5%","62.4%","64.0%","66.6%"
"119","119","Wyoming","63.2%","56.4%","60.9%","64.4%","62.1%","64.8%"
"120","120","Pacific","63.3%","58.4%","58.6%","62.8%","63.7%","63.8%"
"121","121","Samford","63.3%","64.0%","60.8%","63.6%","63.1%","68.9%"
"122","122","Maryland BC","63.3%","64.2%","71.1%","63.9%","62.9%","65.0%"
"123","123","Utah State","63.4%","62.4%","74.1%","64.6%","62.2%","64.1%"
"124","124","Illinois St","63.4%","60.9%","59.6%","64.5%","62.3%","66.4%"
"125","125","N Hampshire","63.4%","61.2%","65.1%","66.8%","61.3%","67.0%"
"126","126","Virginia","63.4%","68.7%","68.4%","57.7%","67.5%","63.5%"
"127","127","New Orleans","63.4%","59.1%","60.3%","63.8%","63.2%","68.7%"
"128","128","Detroit","63.4%","64.0%","67.3%","63.2%","63.6%","59.7%"
"129","129","Old Dominion","63.5%","51.3%","54.0%","65.2%","62.3%","61.0%"
"130","130","TX A&M-CC","63.5%","63.9%","63.1%","66.8%","61.5%","64.2%"
"131","131","E Kentucky","63.5%","51.2%","46.4%","66.3%","60.8%","59.4%"
"132","132","NC State","63.5%","59.9%","57.1%","63.7%","63.4%","68.7%"
"133","133","Montana","63.6%","61.0%","69.2%","62.3%","64.3%","61.6%"
"134","134","Michigan","63.6%","72.7%","65.1%","61.5%","65.3%","64.5%"
"135","135","F Dickinson","63.6%","59.5%","59.6%","66.3%","61.5%","65.8%"
"136","136","Lafayette","63.6%","54.6%","70.6%","63.0%","64.1%","62.9%"
"137","137","E Illinois","63.6%","68.0%","81.6%","64.5%","63.0%","64.3%"
"138","138","Butler","63.7%","69.8%","80.8%","62.5%","64.8%","65.8%"
"139","139","Liberty","63.7%","62.4%","66.7%","65.4%","62.6%","58.2%"
"140","140","W Virginia","63.7%","59.0%","58.2%","65.8%","62.0%","67.8%"
"141","141","Niagara","63.7%","57.9%","61.2%","64.7%","63.0%","64.9%"
"142","142","Fla Gulf Cst","63.7%","69.5%","70.8%","63.2%","64.2%","65.0%"
"143","143","Kansas St","63.7%","65.2%","64.3%","63.2%","64.3%","68.1%"
"144","144","Connecticut","63.8%","72.8%","66.7%","61.1%","66.1%","66.2%"
"145","145","Binghamton","63.8%","63.7%","52.5%","65.9%","62.0%","61.6%"
"146","146","Southern","63.8%","54.7%","37.5%","65.1%","63.3%","68.7%"
"147","147","Lg Beach St","63.8%","72.1%","76.4%","61.0%","65.1%","62.4%"
"148","148","Chattanooga","63.9%","66.5%","70.2%","64.4%","63.6%","72.4%"
"149","149","Fairfield","63.9%","69.1%","62.1%","60.6%","66.9%","73.5%"
"150","150","Iona","64.0%","65.2%","65.6%","63.7%","64.2%","68.1%"
"151","151","Furman","64.0%","70.3%","75.4%","63.0%","64.7%","64.8%"
"152","152","Youngs St","64.0%","67.0%","71.0%","63.0%","64.6%","63.9%"
"153","153","Montana St","64.1%","63.1%","63.5%","67.4%","62.2%","70.4%"
"154","154","Rob Morris","64.1%","73.9%","76.8%","63.0%","64.7%","63.6%"
