"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","0.026","0.333","1.000","0.000","0.050","0.275"
"2","2","Wisconsin","0.077","0.000","0.000","0.062","0.087","0.210"
"3","3","Gonzaga","0.081","0.333","1.000","0.067","0.091","0.200"
"4","4","Villanova","0.083","0.333","1.000","0.000","0.143","0.147"
"5","5","Duke","0.105","0.000","0.000","0.062","0.136","0.257"
"6","6","Arizona","0.105","0.333","1.000","0.000","0.191","0.132"
"7","7","N Iowa","0.114","0.333","1.000","0.000","0.200","0.500"
"8","8","Virginia","0.118","0.667","1.000","0.062","0.167","0.189"
"9","9","Wichita St","0.147","0.333","1.000","0.000","0.250","0.029"
"10","10","Notre Dame","0.158","0.333","1.000","0.105","0.210","0.531"
"11","11","Ste F Austin","0.161","0.333","1.000","0.077","0.222","0.091"
"12","12","Murray St","0.182","0.333","1.000","0.071","0.263","0.344"
"13","13","Valparaiso","0.194","0.333","1.000","0.083","0.263","0.516"
"14","14","Maryland","0.200","0.667","1.000","0.053","0.375","0.469"
"15","15","Wofford","0.212","0.333","1.000","0.083","0.286","0.433"
"16","16","Colorado St","0.212","0.667","1.000","0.125","0.294","0.533"
"17","17","S Methodist","0.212","0.333","1.000","0.118","0.312","0.270"
"18","18","Old Dominion","0.229","0.333","1.000","0.000","0.533","0.500"
"19","19","UC Davis","0.233","0.667","1.000","0.000","0.389","0.759"
"20","20","Kansas","0.250","0.667","1.000","0.000","0.429","0.286"
"21","21","Dayton","0.250","0.333","1.000","0.000","0.450","0.297"
"22","22","Louisville","0.250","0.333","1.000","0.210","0.294","0.162"
"23","23","Arkansas","0.250","0.667","1.000","0.105","0.412","0.353"
"24","24","San Diego St","0.257","0.667","1.000","0.062","0.421","0.147"
"25","25","Iona","0.257","0.667","1.000","0.000","0.409","0.333"
"26","26","LA Tech","0.257","0.333","1.000","0.000","0.474","0.222"
"27","27","Davidson","0.258","0.667","1.000","0.071","0.412","0.406"
"28","28","Utah","0.265","0.333","1.000","0.062","0.444","0.387"
"29","29","Iowa State","0.265","0.333","1.000","0.062","0.444","0.222"
"30","30","NC Central","0.267","0.667","1.000","0.000","0.400","0.188"
"31","31","Albany","0.273","0.333","1.000","0.200","0.333","0.441"
"32","32","VCU","0.278","0.333","1.000","0.250","0.300","0.257"
"33","33","Boise State","0.281","0.667","1.000","0.083","0.400","0.406"
"34","34","E Washingtn","0.281","0.333","1.000","0.167","0.350","0.552"
"35","35","Harvard","0.286","0.333","1.000","0.167","0.375","0.161"
"36","36","Oregon","0.286","0.667","1.000","0.111","0.471","0.294"
"37","37","W Virginia","0.286","0.333","1.000","0.200","0.350","0.485"
"38","38","WI-Grn Bay","0.290","0.667","1.000","0.083","0.421","0.250"
"39","39","Sam Hous St","0.290","0.667","1.000","0.143","0.412","0.333"
"40","40","Georgia St","0.294","0.333","1.000","0.083","0.409","0.281"
"41","41","Temple","0.297","0.333","1.000","0.105","0.500","0.710"
"42","42","BYU","0.303","0.667","1.000","0.200","0.389","0.353"
"43","43","Buffalo","0.303","0.333","1.000","0.154","0.400","0.357"
"44","44","Baylor","0.303","0.667","1.000","0.118","0.500","0.333"
"45","45","Tulsa","0.303","0.667","1.000","0.235","0.375","0.382"
