"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","Kentucky","0.000","0.000","--","0.000","0.000","0.571"
"2","2","NW State","0.000","--","--","0.000","0.000","0.714"
"3","3","Oregon","0.000","--","--","0.000","0.000","0.625"
"4","4","Charl South","0.000","0.000","--","0.000","0.000","0.800"
"5","5","UC Davis","0.000","0.000","--","0.000","0.000","0.429"
"6","6","Loyola-Chi","0.100","0.000","0.000","0.250","0.000","0.692"
"7","7","Maryland","0.100","0.500","--","0.000","0.167","0.700"
"8","8","Colorado St","0.111","--","--","0.000","0.143","0.600"
"9","9","Bryant","0.125","--","--","0.000","0.167","0.538"
"10","10","Hartford","0.182","0.500","1.000","0.250","0.143","0.750"
"11","11","Florida Intl","0.182","0.000","--","0.200","0.167","0.444"
"12","12","Old Dominion","0.200","0.000","--","0.000","1.000","0.250"
"13","13","Massachusetts Lowell","0.200","--","--","0.000","0.250","0.333"
"14","14","Illinois","0.200","1.000","--","0.000","0.250","0.300"
"15","15","Miss Val St","0.200","0.000","--","0.500","0.000","0.714"
"16","16","Fla Gulf Cst","0.200","1.000","--","0.333","0.000","0.300"
"17","17","Houston Bap","0.200","0.000","0.000","0.000","0.500","0.667"
"18","18","Army","0.222","1.000","1.000","0.250","0.200","0.615"
"19","19","S Alabama","0.222","0.000","--","0.400","0.000","0.750"
"20","20","N Dakota St","0.222","0.000","--","0.000","0.286","0.222"
"21","21","NC-Wilmgton","0.222","--","--","0.200","0.250","0.727"
"22","22","Dayton","0.231","0.000","--","0.000","0.333","0.333"
"23","23","Wofford","0.231","0.500","1.000","0.000","0.273","0.429"
"24","24","NC Central","0.250","1.000","1.000","0.000","0.333","0.333"
"25","25","N Iowa","0.250","--","--","0.000","0.333","0.500"
"26","26","Oral Roberts","0.250","0.500","--","0.200","0.286","0.625"
"27","27","James Mad","0.250","1.000","1.000","0.167","0.500","0.462"
"28","28","Central Mich","0.250","1.000","--","0.200","0.333","0.500"
"29","29","Youngs St","0.250","--","--","0.333","0.000","0.615"
"30","30","Harvard","0.250","0.500","1.000","0.000","0.333","0.250"
"31","31","U Mass","0.250","1.000","--","0.250","0.250","0.286"
"32","32","Tulsa","0.250","0.500","--","0.000","0.333","0.333"
"33","33","App State","0.250","0.000","--","0.250","0.250","1.000"
"34","34","Duke","0.250","--","--","0.000","0.333","0.333"
"35","35","Providence","0.250","1.000","--","0.250","0.250","0.357"
"36","36","Alabama St","0.250","1.000","1.000","0.500","0.167","0.333"
"37","37","Belmont","0.267","0.000","--","0.125","0.429","0.200"
"38","38","Iona","0.267","--","--","0.000","0.400","0.556"
"39","39","Rider","0.273","1.000","1.000","0.500","0.143","0.500"
"40","40","South Dakota","0.273","--","--","0.333","0.250","0.538"
"41","41","TN Martin","0.273","0.000","--","0.250","0.286","0.857"
"42","42","Wyoming","0.273","0.000","--","0.250","0.286","0.750"
"43","43","Wash State","0.273","0.000","--","0.250","0.286","0.625"
"44","44","W Virginia","0.286","--","--","0.400","0.000","0.500"
"45","45","Weber State","0.286","1.000","1.000","0.000","0.500","0.571"
"46","46","S Car State","0.286","--","--","0.000","0.400","0.200"
"47","47","Villanova","0.286","1.000","1.000","--","0.286","0.125"
"48","48","DePaul","0.286","--","--","0.000","0.667","0.375"
"49","49","Valparaiso","0.300","0.500","1.000","0.000","0.429","0.556"
"50","50","San Diego St","0.300","1.000","--","0.000","0.429","0.000"
"51","51","Loyola-MD","0.300","1.000","--","0.000","0.500","0.167"
"52","52","Rutgers","0.300","--","--","0.429","0.000","0.545"
"53","53","Fresno St","0.300","0.000","--","0.200","0.400","0.250"
"54","54","Notre Dame","0.308","0.500","1.000","0.250","0.333","0.538"
"55","55","Miami (FL)","0.312","0.333","1.000","0.000","0.417","0.615"
"56","56","Portland","0.333","--","--","0.000","0.429","0.875"
"57","57","Central FL","0.333","1.000","1.000","0.286","0.500","0.375"
"58","58","IUPUI","0.333","0.500","1.000","0.250","0.375","1.000"
"59","59","Ste F Austin","0.333","--","--","1.000","0.000","0.000"
"60","60","Santa Clara","0.333","0.500","1.000","0.000","1.000","0.625"
"61","61","Rob Morris","0.333","0.000","--","0.500","0.167","0.273"
"62","62","W Michigan","0.333","--","--","0.250","0.400","0.222"
"63","63","LA Tech","0.333","--","--","0.000","0.500","0.167"
"64","64","S Methodist","0.333","1.000","1.000","0.000","0.500","0.500"
"65","65","Coastal Car","0.333","0.000","--","0.000","0.400","0.385"
"66","66","TX Southern","0.333","0.000","--","0.500","0.300","0.417"
"67","67","UCLA","0.333","0.000","--","0.000","0.500","0.500"
"68","68","N Arizona","0.333","0.000","--","0.125","0.571","0.444"
"69","69","E Washingtn","0.333","0.000","--","0.500","0.250","0.600"
"70","70","Tulane","0.333","0.500","--","0.400","0.250","0.222"
"71","71","Louisville","0.333","--","--","0.000","0.500","0.667"
"72","72","Wisconsin","0.333","--","--","--","0.333","0.333"
"73","73","Virginia","0.333","1.000","--","0.000","0.500","0.444"
"74","74","Wichita St","0.333","0.000","--","0.000","0.400","0.250"
"75","75","Arkansas","0.333","0.000","--","0.333","0.333","0.556"
"76","76","Georgia","0.364","--","--","0.500","0.286","0.333"
"77","77","Albany","0.364","0.000","--","0.400","0.333","0.833"
"78","78","Bucknell","0.364","--","--","0.400","0.333","0.583"
"79","79","Syracuse","0.364","--","--","0.400","0.333","0.364"
"80","80","Lehigh","0.364","--","--","0.400","0.333","0.538"
"81","81","S Dakota St","0.364","1.000","--","0.000","0.444","0.400"
