"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Connecticut","3.6","2.7","8.0","3.5","3.7","0.8"
"2","2","Northeastrn","2.5","0.0","0.0","2.3","2.6","0.9"
"3","3","Campbell","2.4","4.7","0.0","2.2","2.6","0.3"
"4","4","TX-Pan Am","2.4","0.0","0.0","1.6","2.9","0.0"
"5","5","Central Ark","2.4","3.7","0.0","2.8","2.1","1.5"
"6","6","Towson","2.3","2.0","0.0","2.8","1.9","0.0"
"7","7","Utah Val St","2.2","6.3","19.0","2.4","2.2","1.0"
"8","8","NJIT","2.2","0.0","0.0","2.7","1.9","1.5"
"9","9","Arkansas St","2.2","3.7","0.0","2.1","2.2","0.5"
"10","10","Quinnipiac","2.2","0.0","0.0","0.0","3.9","0.7"
"11","11","Iona","2.1","0.0","0.0","1.7","2.4","0.8"
"12","12","Troy","2.1","5.7","6.0","1.9","2.2","0.5"
"13","13","Notre Dame","2.1","0.0","0.0","3.2","0.6","1.3"
"14","14","New Orleans","2.0","0.0","0.0","5.5","0.0","0.0"
"15","15","Youngs St","2.0","3.0","9.0","3.2","0.9","0.7"
"16","16","Richmond","1.9","0.0","0.0","3.2","0.6","0.6"
"17","17","Wagner","1.9","0.0","0.0","3.6","0.5","0.0"
"18","18","App State","1.9","0.0","0.0","2.2","1.6","0.3"
"19","19","Wm & Mary","1.9","0.0","0.0","0.0","3.2","0.3"
"20","20","Montana","1.8","0.0","0.0","2.0","1.7","0.3"
"21","21","Texas","1.8","0.0","0.0","2.2","1.4","0.8"
"22","22","Houston","1.8","2.3","7.0","0.9","2.8","0.8"
"23","23","CS Bakersfld","1.7","11.7","0.0","2.7","1.2","0.2"
"24","24","Villanova","1.7","0.0","0.0","1.9","1.6","1.5"
"25","25","McNeese St","1.7","7.3","0.0","0.0","2.8","0.5"
"26","26","Austin Peay","1.7","2.7","0.0","2.5","1.2","0.9"
"27","27","Brown","1.6","0.0","0.0","2.1","1.3","0.0"
"28","28","Delaware St","1.6","0.0","0.0","0.8","2.0","1.4"
"29","29","IPFW","1.6","0.0","0.0","1.2","1.8","0.5"
"30","30","S Florida","1.6","3.7","5.0","1.5","1.6","0.3"
"31","31","Murray St","1.6","2.0","6.0","1.0","1.9","0.7"
"32","32","Kent State","1.5","0.0","0.0","1.7","1.4","0.4"
"33","33","Yale","1.5","0.0","0.0","3.8","0.3","0.5"
"34","34","Lipscomb","1.5","0.0","0.0","1.4","1.6","2.0"
"35","35","Kansas","1.5","3.0","9.0","1.1","1.9","0.3"
"36","36","Drexel","1.5","0.0","0.0","1.5","1.4","0.0"
"37","37","Houston Bap","1.5","7.0","0.0","0.6","1.9","0.9"
"38","38","S Carolina","1.4","0.0","0.0","0.9","2.1","0.2"
"39","39","Kennesaw St","1.4","0.0","0.0","0.0","2.4","1.7"
"40","40","Hampton","1.4","0.0","0.0","2.2","0.8","0.4"
"41","41","Rhode Island","1.4","0.0","0.0","0.3","2.6","1.5"
"42","42","Harvard","1.4","0.0","0.0","3.1","0.0","0.5"
