"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Old Dominion","63.6%","61.8%","73.5%","62.1%","64.6%","55.3%"
"2","2","Portland St","61.8%","65.3%","78.4%","58.9%","64.0%","50.2%"
"3","3","S Florida","61.5%","58.9%","71.0%","60.2%","63.0%","61.7%"
"4","4","Fla Gulf Cst","61.1%","64.2%","68.7%","59.3%","63.2%","55.1%"
"5","5","N Carolina","61.1%","61.2%","43.2%","62.7%","59.9%","62.0%"
"6","6","Louisville","58.5%","59.9%","52.2%","60.1%","55.6%","54.8%"
"7","7","N Mex State","58.2%","50.0%","60.7%","59.2%","57.2%","55.6%"
"8","8","UCLA","57.7%","58.8%","56.3%","56.3%","59.3%","54.6%"
"9","9","South Dakota","57.5%","54.5%","42.9%","59.6%","56.5%","51.8%"
"10","10","Stony Brook","57.4%","55.3%","59.6%","55.3%","59.2%","56.4%"
"11","11","Cal St Nrdge","57.3%","61.6%","60.2%","58.3%","56.8%","58.8%"
"12","12","S Methodist","57.3%","65.4%","74.1%","55.8%","59.3%","58.5%"
"13","13","CS Bakersfld","57.2%","51.8%","61.8%","56.3%","57.9%","51.0%"
"14","14","Rutgers","57.2%","52.6%","47.2%","57.8%","56.4%","56.4%"
"15","15","Pepperdine","57.1%","53.5%","52.8%","58.8%","56.0%","55.5%"
"16","16","Florida Intl","57.0%","52.3%","41.6%","57.9%","56.3%","57.9%"
"17","17","GA Tech","57.0%","57.3%","71.4%","59.1%","54.6%","61.5%"
"18","18","Texas State","56.9%","60.8%","57.1%","56.4%","57.3%","52.2%"
"19","19","Presbyterian","56.9%","64.0%","64.2%","55.1%","58.3%","61.5%"
"20","20","Navy","56.7%","44.9%","41.3%","59.3%","54.9%","56.4%"
"21","21","Wash State","56.6%","59.2%","57.1%","56.9%","56.2%","48.3%"
"22","22","Prairie View","56.6%","51.5%","58.8%","54.7%","57.6%","58.7%"
"23","23","SE Missouri","56.5%","54.7%","61.3%","54.3%","58.1%","52.6%"
"24","24","Evansville","56.5%","52.1%","51.9%","55.4%","57.5%","57.4%"
