"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","NC A&T","32.3%","38.3%","44.7%","32.6%","32.1%","23.4%"
"2","2","N Illinois","28.8%","27.3%","31.2%","29.1%","28.5%","22.8%"
"3","3","Howard","28.5%","34.5%","47.8%","29.2%","28.2%","22.1%"
"4","4","Cal St Nrdge","28.3%","30.3%","30.5%","30.3%","26.9%","23.2%"
"5","5","Grand Canyon","28.2%","27.6%","20.9%","30.7%","26.8%","--"
"6","6","New Orleans","27.9%","31.4%","41.0%","29.2%","26.9%","22.1%"
"7","7","Morehead St","27.6%","28.6%","19.4%","28.0%","27.3%","22.1%"
"8","8","Missouri","27.5%","32.0%","34.9%","26.5%","28.9%","20.3%"
"9","9","Yale","27.5%","20.6%","15.8%","31.8%","24.8%","25.1%"
"10","10","Georgia","27.4%","30.7%","19.7%","28.5%","26.1%","25.0%"
"11","11","TX-San Ant","27.4%","16.2%","18.4%","25.9%","28.9%","20.8%"
"12","12","Colorado St","27.2%","26.6%","17.4%","27.3%","27.0%","24.2%"
"13","13","TX Christian","26.9%","25.4%","17.6%","26.3%","27.6%","22.1%"
"14","14","Quinnipiac","26.9%","22.7%","20.6%","25.3%","27.9%","22.9%"
"15","15","Towson","26.8%","17.8%","12.3%","27.7%","26.1%","21.5%"
"16","16","Manhattan","26.6%","18.9%","23.4%","24.4%","27.9%","24.5%"
"17","17","Tulane","26.6%","17.1%","16.4%","27.4%","25.7%","26.2%"
"18","18","NC Central","26.4%","26.2%","13.3%","22.6%","28.8%","25.4%"
"19","19","Hampton","26.4%","26.0%","32.3%","25.8%","26.8%","23.0%"
"20","20","Colorado","26.4%","21.3%","29.2%","29.4%","22.5%","22.5%"
"21","21","TX El Paso","26.3%","23.3%","30.4%","28.4%","23.6%","22.3%"
"22","22","James Mad","26.2%","30.3%","39.4%","27.5%","25.6%","21.3%"
"23","23","W Michigan","26.2%","23.7%","28.3%","31.3%","21.8%","25.0%"
"24","24","Kentucky","26.1%","18.8%","18.9%","27.4%","25.0%","20.3%"
"25","25","Evansville","26.0%","23.8%","15.5%","27.8%","24.3%","19.2%"
"26","26","Niagara","26.0%","22.2%","20.0%","24.7%","26.9%","21.4%"
"27","27","S Mississippi","25.9%","19.5%","16.4%","29.5%","23.6%","19.1%"
"28","28","Binghamton","25.9%","30.0%","19.0%","26.9%","25.1%","20.8%"
"29","29","N Mex State","25.8%","18.6%","17.4%","27.6%","24.4%","23.9%"
"30","30","S Carolina","25.7%","32.3%","18.2%","25.9%","25.6%","20.7%"
"31","31","Weber State","25.4%","20.7%","33.9%","25.8%","25.2%","20.5%"
