"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Michigan","16.9%","15.3%","15.9%","14.4%","18.8%","22.1%"
"2","2","St Josephs","17.3%","20.5%","13.8%","15.7%","18.5%","19.2%"
"3","3","UCLA","17.9%","17.9%","22.9%","17.1%","18.8%","22.7%"
"4","4","N Carolina","18.0%","20.3%","21.5%","16.4%","19.3%","17.2%"
"5","5","Central FL","18.0%","23.9%","31.0%","17.1%","19.4%","22.9%"
"6","6","South Dakota","18.9%","20.4%","25.4%","18.2%","19.4%","20.1%"
"7","7","Central Conn","18.9%","16.7%","20.5%","18.5%","19.2%","22.7%"
"8","8","Notre Dame","19.0%","21.7%","15.6%","17.0%","21.7%","18.8%"
"9","9","Austin Peay","19.1%","18.2%","22.9%","19.4%","18.9%","22.3%"
"10","10","NC State","19.2%","26.5%","34.2%","16.7%","21.8%","21.3%"
"11","11","W Illinois","19.3%","22.2%","17.0%","17.5%","20.7%","22.2%"
"12","12","S Dakota St","19.3%","16.6%","14.5%","17.7%","20.3%","21.4%"
"13","13","Lamar","19.3%","22.0%","29.7%","19.4%","19.3%","22.0%"
"14","14","Florida","19.4%","17.9%","13.7%","17.7%","20.5%","20.4%"
"15","15","San Diego St","19.5%","16.8%","14.0%","17.0%","21.1%","21.0%"
"16","16","Lehigh","19.5%","22.2%","24.5%","18.6%","20.2%","22.7%"
"17","17","Oregon St","19.5%","19.1%","22.8%","19.4%","19.7%","22.6%"
"18","18","Utah Val St","19.6%","17.1%","18.3%","16.7%","21.2%","20.6%"
"19","19","La Salle","19.6%","18.9%","16.1%","15.9%","22.0%","21.4%"
"20","20","Miami (FL)","19.6%","18.1%","21.2%","17.6%","21.1%","21.0%"
"21","21","Wisconsin","19.7%","19.2%","21.7%","17.7%","21.8%","20.9%"
"22","22","Col Charlestn","19.7%","20.5%","15.6%","18.6%","20.7%","19.4%"
"23","23","Arizona St","19.8%","25.8%","30.5%","17.9%","22.2%","24.1%"
"24","24","N Mex State","19.8%","21.0%","17.0%","18.2%","21.0%","21.9%"
"25","25","Miss State","19.9%","17.7%","17.0%","17.5%","21.8%","17.9%"
"26","26","Charl South","20.0%","22.8%","22.9%","18.2%","21.3%","22.5%"
"27","27","Northeastrn","20.0%","22.1%","22.3%","20.1%","19.9%","24.7%"
"28","28","VA Military","20.0%","19.7%","16.7%","19.5%","20.4%","22.0%"
"29","29","NC-Asheville","20.1%","23.1%","25.7%","19.0%","20.7%","22.0%"
"30","30","N Iowa","20.1%","16.7%","16.1%","19.2%","21.2%","22.2%"
"31","31","Citadel","20.1%","20.0%","22.8%","19.0%","20.9%","21.4%"
"32","32","Connecticut","20.1%","17.8%","17.2%","18.1%","22.8%","18.6%"
"33","33","Mississippi","20.2%","19.7%","23.1%","20.2%","20.3%","22.5%"
"34","34","Iona","20.2%","20.7%","19.1%","18.4%","21.2%","20.3%"
"35","35","Lafayette","20.3%","21.9%","22.4%","19.5%","21.1%","25.0%"
"36","36","Neb Omaha","20.3%","21.8%","21.2%","21.8%","19.4%","20.5%"
"37","37","Syracuse","20.3%","21.2%","25.9%","17.5%","23.0%","19.5%"
"38","38","Siena","20.3%","19.5%","26.3%","20.5%","20.2%","17.9%"
"39","39","St Johns","20.4%","25.4%","31.0%","19.0%","21.6%","20.5%"
"40","40","Wm & Mary","20.4%","18.4%","22.4%","18.8%","21.5%","23.2%"
"41","41","Colorado","20.4%","24.0%","27.1%","18.6%","21.9%","22.5%"
"42","42","Harvard","20.4%","20.8%","20.6%","20.5%","20.4%","22.0%"
"43","43","New Mexico","20.5%","19.8%","25.6%","20.0%","20.9%","22.8%"
"44","44","Hawaii","20.5%","21.3%","13.1%","19.0%","23.3%","23.3%"
"45","45","WI-Milwkee","20.5%","17.4%","23.0%","18.6%","21.8%","22.7%"
"46","46","IUPUI","20.5%","25.7%","24.6%","22.0%","19.6%","22.6%"
"47","47","Stetson","20.7%","23.1%","24.9%","19.5%","21.7%","22.7%"
"48","48","Utah","20.8%","17.1%","18.6%","20.5%","21.0%","22.7%"
"49","49","Iowa State","20.8%","21.6%","28.7%","18.6%","22.9%","20.9%"
"50","50","Furman","20.8%","19.2%","16.5%","21.0%","20.7%","25.9%"
"51","51","Delaware St","20.8%","24.1%","25.5%","18.9%","21.5%","21.3%"
"52","52","E Tenn St","20.8%","18.5%","19.2%","22.6%","19.7%","21.7%"
"53","53","Kansas","20.8%","17.0%","19.2%","21.1%","20.6%","22.2%"
"54","54","American","20.8%","24.1%","21.9%","20.8%","20.9%","23.3%"
"55","55","Bucknell","20.9%","23.9%","26.6%","20.4%","21.4%","24.0%"
"56","56","Troy","20.9%","20.7%","24.3%","19.3%","22.3%","21.4%"
"57","57","TX Southern","20.9%","16.9%","16.9%","20.8%","21.1%","22.7%"
"58","58","Temple","21.0%","23.8%","26.6%","20.3%","21.6%","22.2%"
"59","59","Missouri","21.0%","25.9%","30.2%","18.8%","23.2%","18.4%"
"60","60","Indiana","21.0%","15.5%","25.0%","20.2%","22.0%","22.7%"
"61","61","Presbyterian","21.1%","22.7%","25.9%","21.6%","20.8%","22.2%"
"62","62","California","21.1%","26.3%","29.4%","18.6%","23.5%","19.1%"
"63","63","Gonzaga","21.1%","20.7%","22.9%","20.6%","21.6%","20.3%"
"64","64","Duquesne","21.1%","20.2%","16.1%","21.7%","20.6%","21.3%"
"65","65","Delaware","21.1%","20.8%","17.0%","20.8%","21.3%","21.6%"
"66","66","Coppin State","21.1%","21.4%","28.1%","20.4%","21.5%","20.3%"
"67","67","Boston Col","21.2%","17.6%","24.6%","21.3%","21.0%","20.7%"
"68","68","Wash State","21.2%","17.1%","19.2%","19.8%","22.9%","23.5%"
"69","69","Oral Roberts","21.2%","22.2%","28.2%","20.0%","22.0%","22.9%"
"70","70","Maryland","21.3%","21.8%","23.2%","18.8%","24.3%","22.1%"
"71","71","Stony Brook","21.3%","22.5%","27.0%","21.0%","21.4%","21.3%"
"72","72","McNeese St","21.3%","23.6%","24.5%","22.0%","20.9%","23.5%"
"73","73","Bryant","21.3%","20.6%","23.4%","20.9%","21.8%","23.6%"
"74","74","S Florida","21.3%","22.2%","21.8%","20.6%","22.2%","22.0%"
"75","75","Longwood","21.3%","18.7%","25.8%","20.3%","21.9%","19.4%"
