"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Michigan","12.7","12.0","11.0","10.6","14.2","15.7"
"2","2","W Illinois","12.8","14.3","12.0","11.5","13.8","15.2"
"3","3","St Josephs","13.1","14.7","10.0","11.8","14.1","15.2"
"4","4","Florida","14.0","13.3","11.0","12.7","14.9","15.5"
"5","5","Wisconsin","14.0","13.7","16.0","12.6","15.5","14.2"
"6","6","Notre Dame","14.1","16.3","11.0","12.8","15.9","13.8"
"7","7","S Dakota St","14.2","11.0","10.0","12.9","14.9","16.2"
"8","8","Central FL","14.2","19.0","23.0","13.3","15.5","17.0"
"9","9","American","14.4","16.0","15.0","14.0","14.6","17.0"
"10","10","Col Charlestn","14.5","14.3","11.0","13.7","15.2","16.0"
"11","11","Miami (FL)","14.6","13.0","15.0","13.3","15.5","16.4"
"12","12","N Iowa","14.7","12.3","12.0","13.7","15.9","15.7"
"13","13","South Dakota","14.7","14.0","17.0","14.1","15.1","16.0"
"14","14","Bucknell","14.8","17.0","20.0","14.3","15.3","17.1"
"15","15","Utah Val St","14.9","13.7","16.0","13.0","15.9","16.1"
"16","16","San Diego St","14.9","12.3","11.0","13.1","16.2","16.2"
"17","17","UCLA","15.0","14.3","19.0","14.6","15.4","16.8"
"18","18","N Carolina","15.0","17.0","19.0","13.9","15.9","14.5"
"19","19","N Mex State","15.1","15.3","12.0","13.7","16.2","17.8"
"20","20","Harvard","15.2","14.7","14.0","15.5","15.1","15.4"
"21","21","Wash State","15.2","12.0","13.0","14.3","16.4","17.4"
"22","22","La Salle","15.3","15.0","13.0","12.8","16.9","17.4"
"23","23","Northeastrn","15.3","16.0","16.0","15.5","15.1","18.6"
"24","24","Lehigh","15.3","15.7","16.0","14.1","16.3","17.9"
"25","25","New Mexico","15.4","14.0","17.0","15.1","15.6","17.4"
"26","26","Wyoming","15.4","18.0","15.0","14.8","16.2","16.9"
"27","27","Citadel","15.5","15.0","18.0","14.4","16.4","16.5"
"28","28","Lafayette","15.5","15.7","16.0","14.8","16.3","19.4"
"29","29","Utah","15.5","13.3","14.0","14.9","16.2","16.6"
"30","30","Furman","15.6","13.0","12.0","15.6","15.5","19.2"
"31","31","NC State","15.6","19.7","24.0","13.9","17.1","16.8"
"32","32","Troy","15.6","16.0","20.0","14.3","16.6","17.4"
"33","33","S Florida","15.6","15.3","14.0","15.4","15.8","15.4"
"34","34","Delaware St","15.6","19.0","21.0","13.7","16.4","16.2"
"35","35","Wm & Mary","15.7","13.7","17.0","14.0","16.8","17.1"
"36","36","Presbyterian","15.7","16.3","22.0","15.8","15.6","15.8"
"37","37","Siena","15.7","15.3","20.0","15.9","15.4","13.9"
"38","38","Virginia","15.7","16.0","15.0","14.7","17.2","15.8"
"39","39","Charl South","15.7","18.3","17.0","13.8","17.2","18.3"
"40","40","Boston Col","15.7","13.7","17.0","15.6","15.9","15.8"
"41","41","Loyola-Chi","15.7","13.7","15.0","14.9","16.4","16.7"
"42","42","Sac State","15.7","16.3","19.0","14.4","16.8","19.1"
"43","43","Arizona St","15.7","21.7","27.0","14.2","17.8","17.6"
"44","44","Oregon St","15.8","15.0","19.0","16.0","15.5","18.9"
"45","45","Stony Brook","15.8","17.0","20.0","15.9","15.7","15.0"
"46","46","N Kentucky","15.8","16.7","17.0","14.7","16.4","--"
"47","47","UC Riverside","15.8","16.7","17.0","15.5","16.1","17.5"
"48","48","Idaho State","15.9","16.7","15.0","17.4","15.0","19.8"
"49","49","IUPUI","15.9","17.7","15.0","17.2","15.0","17.5"
"50","50","Colorado","15.9","18.3","20.0","14.6","17.0","17.1"
"51","51","Gonzaga","15.9","14.3","17.0","16.1","15.7","15.6"
