"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","UCLA","21.1%","21.4%","16.6%","20.1%","22.4%","25.2%"
"2","2","W Kentucky","21.4%","20.8%","22.1%","20.7%","22.1%","25.3%"
"3","3","Notre Dame","21.5%","17.7%","20.3%","20.5%","22.9%","22.7%"
"4","4","Iowa State","21.7%","20.9%","26.9%","18.9%","24.4%","21.1%"
"5","5","Purdue","21.7%","24.3%","20.0%","19.7%","24.1%","24.7%"
"6","6","Villanova","21.7%","22.6%","28.6%","20.1%","23.3%","24.8%"
"7","7","Clemson","21.9%","17.4%","23.9%","20.5%","23.4%","25.1%"
"8","8","USC","21.9%","21.1%","26.8%","21.4%","22.5%","23.0%"
"9","9","Creighton","21.9%","24.6%","27.1%","19.5%","24.6%","25.8%"
"10","10","LA Tech","22.0%","22.3%","18.3%","18.4%","25.8%","24.3%"
"11","11","S Methodist","22.1%","23.8%","21.0%","20.6%","24.3%","23.3%"
"12","12","St Fran (PA)","22.3%","23.4%","26.1%","22.2%","22.4%","24.8%"
"13","13","Minnesota","22.5%","22.2%","29.1%","22.0%","23.3%","25.6%"
"14","14","Central FL","22.5%","18.0%","23.2%","22.4%","22.6%","22.0%"
"15","15","Youngs St","22.5%","22.9%","20.5%","21.4%","23.1%","23.9%"
"16","16","Gonzaga","22.6%","21.1%","17.5%","21.3%","23.9%","24.9%"
"17","17","Wash State","22.7%","19.9%","20.8%","23.0%","22.3%","27.4%"
"18","18","UAB","22.7%","17.5%","16.1%","22.6%","22.8%","24.7%"
"19","19","Oregon","22.8%","22.8%","16.0%","21.3%","24.6%","25.2%"
"20","20","Arizona St","22.8%","22.2%","33.2%","22.5%","23.1%","28.1%"
"21","21","VA Tech","22.8%","23.2%","31.5%","22.2%","23.7%","26.5%"
"22","22","Yale","22.9%","21.5%","19.9%","21.8%","23.8%","26.0%"
"23","23","Cincinnati","22.9%","26.5%","25.3%","21.1%","25.6%","22.6%"
"24","24","Miami (FL)","23.0%","22.9%","22.0%","20.7%","25.6%","24.5%"
"25","25","NC-Asheville","23.0%","23.1%","20.5%","21.4%","24.0%","23.9%"
"26","26","Geo Wshgtn","23.0%","20.7%","28.8%","21.3%","24.8%","23.5%"
"27","27","Syracuse","23.0%","20.8%","16.9%","21.7%","25.2%","24.0%"
"28","28","UNLV","23.0%","18.8%","21.3%","22.0%","24.6%","27.7%"
"29","29","Marshall","23.1%","20.3%","19.9%","19.9%","26.2%","24.2%"
"30","30","Elon","23.2%","21.7%","20.6%","22.5%","23.6%","26.5%"
"31","31","Memphis","23.2%","25.0%","29.4%","21.1%","26.1%","26.4%"
"32","32","Nevada","23.2%","24.6%","19.0%","22.3%","23.9%","27.7%"
"33","33","Geo Mason","23.2%","20.0%","21.2%","22.9%","23.5%","25.5%"
"34","34","Oakland","23.2%","20.5%","13.1%","22.4%","24.3%","25.0%"
"35","35","Michigan","23.3%","21.1%","24.4%","21.6%","25.6%","23.3%"
"36","36","GA Tech","23.4%","20.6%","24.0%","22.0%","25.2%","26.0%"
"37","37","Utah","23.4%","26.4%","18.7%","21.7%","25.3%","22.2%"
"38","38","Savannah St","23.4%","19.0%","16.3%","22.5%","23.9%","28.5%"
"39","39","N Iowa","23.4%","25.8%","32.7%","23.9%","23.1%","24.0%"
"40","40","N Hampshire","23.5%","25.0%","27.3%","25.6%","22.1%","26.1%"
"41","41","Iowa","23.5%","22.6%","23.5%","23.0%","24.4%","22.9%"
"42","42","Toledo","23.7%","20.9%","28.3%","21.3%","25.9%","24.1%"
"43","43","St Marys","23.8%","22.7%","26.3%","23.6%","24.0%","24.2%"
"44","44","Pittsburgh","23.8%","20.2%","27.0%","23.1%","24.6%","25.6%"
"45","45","Lehigh","23.8%","21.8%","21.1%","22.3%","25.0%","25.2%"
"46","46","Lafayette","23.8%","23.4%","23.9%","24.4%","23.3%","26.8%"
"47","47","S Dakota St","23.9%","25.0%","23.9%","24.1%","23.7%","28.4%"
"48","48","IPFW","23.9%","25.8%","23.9%","22.2%","25.3%","23.9%"
"49","49","N Carolina","23.9%","28.3%","29.8%","22.3%","25.6%","25.0%"
"50","50","Wisconsin","23.9%","24.5%","21.4%","22.6%","25.5%","25.5%"
"51","51","SC Upstate","24.0%","26.8%","32.5%","22.8%","24.7%","28.2%"
"52","52","N Dakota St","24.0%","22.5%","21.6%","23.3%","24.5%","23.8%"
"53","53","S Mississippi","24.0%","23.2%","25.3%","23.1%","24.7%","28.1%"
"54","54","Texas A&M","24.1%","25.9%","27.4%","22.9%","25.4%","25.3%"
"55","55","Vermont","24.1%","19.6%","23.9%","21.9%","25.9%","27.7%"
"56","56","Grand Canyon","24.2%","20.6%","21.0%","23.6%","24.8%","25.6%"
"57","57","Hofstra","24.2%","23.9%","29.4%","22.4%","25.5%","21.9%"
"58","58","Arizona","24.2%","26.2%","30.3%","21.9%","26.7%","25.0%"
"59","59","Northeastrn","24.2%","24.9%","32.1%","22.8%","25.0%","23.8%"
"60","60","E Carolina","24.3%","24.5%","19.9%","24.9%","23.5%","24.0%"
"61","61","Pepperdine","24.3%","24.6%","28.4%","22.7%","25.5%","26.1%"
"62","62","TX Southern","24.3%","21.9%","24.0%","20.8%","25.9%","22.0%"
"63","63","St Josephs","24.4%","25.0%","27.4%","24.6%","24.1%","22.4%"
"64","64","Penn State","24.4%","24.1%","26.3%","23.6%","25.3%","29.4%"
"65","65","Providence","24.5%","27.7%","30.8%","23.1%","26.4%","23.3%"
"66","66","NC State","24.5%","26.1%","28.1%","23.8%","25.5%","24.0%"
"67","67","Niagara","24.5%","22.3%","22.8%","23.5%","25.2%","28.0%"
"68","68","Ohio","24.6%","25.5%","27.6%","23.1%","26.3%","25.1%"
