"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","NC State","45.8","41.3","50.0","48.5","43.2","42.1"
"2","2","UCLA","45.1","38.7","32.0","49.0","41.1","40.9"
"3","3","Campbell","43.5","43.3","36.0","47.7","40.4","41.8"
"4","4","BYU","43.3","38.0","40.0","44.8","41.5","42.1"
"5","5","DePaul","43.2","31.3","38.0","45.8","40.4","40.8"
"6","6","Geo Wshgtn","43.2","55.3","52.0","44.7","41.9","39.0"
"7","7","NW State","42.9","36.0","30.0","46.4","41.0","36.0"
"8","8","High Point","42.9","36.7","38.0","44.9","41.1","29.9"
"9","9","St Johns","42.7","42.0","38.0","42.9","42.6","39.2"
"10","10","Houston","42.5","51.3","56.0","40.5","44.8","41.7"
"11","11","California","42.4","38.0","36.0","43.9","40.9","43.4"
"12","12","Lamar","42.1","36.7","30.0","46.4","39.8","41.9"
"13","13","Quinnipiac","42.1","44.7","44.0","39.7","44.0","42.9"
"14","14","Morgan St","42.1","42.7","34.0","44.0","41.3","36.6"
"15","15","Memphis","42.0","35.3","28.0","44.9","39.1","42.7"
"16","16","Missouri","41.7","33.3","34.0","43.5","39.9","39.3"
"17","17","Kansas","41.6","46.0","60.0","42.6","40.7","41.1"
"18","18","Central Ark","41.4","40.7","36.0","44.5","38.8","42.1"
"19","19","Oral Roberts","41.4","46.0","46.0","44.6","39.4","40.1"
"20","20","Gonzaga","41.4","34.0","26.0","45.7","37.9","36.8"
"21","21","Arkansas","41.2","34.7","40.0","43.6","38.5","37.7"
"22","22","N Carolina","41.2","28.7","32.0","44.8","38.2","49.5"
"23","23","Charlotte","41.2","38.0","40.0","41.7","40.7","33.4"
"24","24","Kentucky","41.2","34.0","38.0","45.9","35.5","43.5"
"25","25","NC-Asheville","41.1","43.3","48.0","39.8","41.9","38.3"
"26","26","Mississippi","41.1","45.3","52.0","42.2","40.0","39.5"
"27","27","Louisville","40.9","42.7","26.0","41.9","40.3","36.5"
"28","28","Pittsburgh","40.8","38.0","36.0","43.6","37.6","37.6"
"29","29","Neb Omaha","40.8","44.7","36.0","45.1","38.2","37.0"
"30","30","Purdue","40.8","49.3","58.0","44.4","36.1","34.6"
"31","31","Michigan","40.8","40.0","26.0","40.0","41.3","31.5"
"32","32","Oregon","40.6","38.0","44.0","42.2","39.0","37.5"
"33","33","Detroit","40.6","41.3","36.0","40.8","40.6","39.5"
"34","34","Cal St Nrdge","40.6","28.7","32.0","38.0","42.5","32.0"
"35","35","VCU","40.5","42.0","40.0","42.4","38.8","31.7"
"36","36","Maryland","40.4","35.3","36.0","43.4","36.6","35.6"
"37","37","New Orleans","40.3","31.3","34.0","47.2","36.3","28.5"
"38","38","Wagner","40.3","44.0","52.0","42.4","38.5","37.1"
"39","39","Oklahoma","40.2","42.0","36.0","38.9","41.3","42.1"
"40","40","Oregon St","40.2","32.7","32.0","40.8","39.5","43.0"
"41","41","Baylor","39.7","45.3","44.0","43.2","35.9","38.7"
"42","42","Marquette","39.7","34.0","18.0","42.9","37.1","41.0"
"43","43","Longwood","39.7","44.0","44.0","41.3","38.8","34.7"
"44","44","Iona","39.6","36.7","34.0","39.0","39.9","46.5"
"45","45","Hawaii","39.5","40.0","34.0","39.7","39.3","41.4"
"46","46","Bradley","39.5","41.3","34.0","42.7","36.1","33.6"
"47","47","N Mex State","39.4","34.0","30.0","40.1","38.8","43.9"
"48","48","LIU-Brooklyn","39.4","47.3","36.0","35.2","41.9","40.9"
"49","49","Middle Tenn","39.2","36.7","36.0","41.9","37.2","42.0"
"50","50","Portland St","39.2","39.3","40.0","44.3","34.9","39.6"
"51","51","Colorado St","39.2","35.3","28.0","40.9","37.7","35.9"
"52","52","Fla Gulf Cst","39.1","38.0","32.0","42.0","37.1","35.5"
"53","53","Dayton","39.0","44.7","50.0","38.9","39.0","33.8"
"54","54","Michigan St","38.9","39.3","34.0","39.8","38.0","41.1"
"55","55","S Mississippi","38.9","40.0","34.0","39.0","38.8","34.9"
"56","56","Ste F Austin","38.9","38.7","38.0","38.4","39.2","37.4"
"57","57","Bucknell","38.8","39.3","36.0","40.1","37.8","36.3"
"58","58","Washington","38.8","38.0","40.0","37.6","40.2","42.8"
"59","59","Loyola-MD","38.8","33.3","44.0","39.0","38.6","35.8"
"60","60","North Texas","38.8","38.0","28.0","39.4","38.2","39.8"
"61","61","Syracuse","38.7","34.0","40.0","42.4","35.3","41.8"
"62","62","Indiana","38.6","32.0","26.0","41.4","35.4","40.0"
"63","63","Rutgers","38.5","42.0","44.0","39.8","37.2","37.2"
"64","64","Bryant","38.4","41.3","34.0","42.2","34.3","29.8"
"65","65","McNeese St","38.4","41.3","38.0","38.2","38.5","36.7"
"66","66","Duke","38.3","26.7","30.0","39.5","37.4","35.3"
"67","67","Delaware","38.3","33.3","34.0","41.8","36.0","36.1"
"68","68","USC","38.2","38.7","50.0","39.2","37.2","32.2"
"69","69","UAB","38.2","33.3","34.0","41.0","36.1","30.6"
"70","70","Oklahoma St","38.2","30.7","32.0","39.1","37.4","32.2"
"71","71","Central Conn","38.2","35.3","20.0","36.0","39.7","37.0"
"72","72","Prairie View","38.2","36.7","28.0","43.4","35.7","34.7"
"73","73","Belmont","38.2","37.3","24.0","40.0","37.1","37.7"
"74","74","Illinois St","38.1","31.3","22.0","42.6","33.9","29.0"
"75","75","S Methodist","38.1","41.3","20.0","36.8","39.0","24.3"
"76","76","VA Tech","38.1","40.0","42.0","39.2","36.8","33.3"
"77","77","Weber State","37.9","36.0","44.0","40.7","35.3","33.4"
"78","78","Notre Dame","37.9","31.3","36.0","40.8","34.1","32.9"
"79","79","N Arizona","37.9","32.7","32.0","40.5","36.4","33.1"
"80","80","Old Dominion","37.9","44.0","60.0","39.1","36.5","35.4"
"81","81","Coastal Car","37.9","42.0","42.0","40.8","35.1","43.0"
"82","82","Ohio State","37.9","30.0","28.0","39.7","36.2","44.0"
"83","83","Geo Mason","37.8","40.0","44.0","38.2","37.5","40.7"
"84","84","SC Upstate","37.7","38.0","28.0","36.5","38.4","38.9"
"85","85","Jacksonville","37.7","36.0","34.0","38.9","37.1","37.0"
"86","86","Evansville","37.7","43.3","40.0","38.6","36.8","38.5"
"87","87","Towson","37.7","34.7","30.0","38.2","37.4","29.5"
"88","88","Maine","37.6","36.7","30.0","38.2","37.2","39.4"
"89","89","Xavier","37.5","33.3","28.0","38.5","36.6","40.2"
"90","90","Bowling Grn","37.5","42.7","26.0","35.5","39.6","40.7"
"91","91","Akron","37.4","34.0","28.0","40.1","34.9","38.7"
"92","92","Morehead St","37.4","38.0","36.0","36.8","37.8","28.8"
