"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Iona","80.4","69.7","70.0","86.3","77.1","82.9"
"2","2","Iowa State","79.4","74.7","75.0","84.4","74.7","73.2"
"3","3","LIU-Brooklyn","78.7","80.0","55.0","78.8","78.7","81.4"
"4","4","Indiana","78.6","63.7","50.0","83.8","72.8","77.3"
"5","5","NC State","77.4","72.7","72.0","84.4","70.7","72.9"
"6","6","Houston","77.3","75.3","84.0","80.0","74.2","71.1"
"7","7","Mississippi","77.2","65.7","74.0","82.6","72.4","66.9"
"8","8","Duke","77.2","66.7","63.0","81.6","73.6","77.3"
"9","9","VCU","76.9","65.7","53.0","79.4","74.7","68.0"
"10","10","NW State","76.9","56.7","47.0","82.3","73.8","68.9"
"11","11","Detroit","76.7","67.0","68.0","82.3","72.7","70.3"
"12","12","BYU","76.6","79.7","70.0","81.6","70.7","78.0"
"13","13","Belmont","76.5","72.0","64.0","83.1","72.3","80.7"
"14","14","Gonzaga","76.2","66.3","70.0","83.0","70.9","73.8"
"15","15","Missouri","76.1","65.3","72.0","81.5","70.7","80.4"
"16","16","N Carolina","75.7","71.0","58.0","79.1","72.9","81.3"
"17","17","CS Fullerton","75.3","58.7","66.0","71.8","77.3","76.3"
"18","18","Kansas","75.2","73.0","85.0","78.9","72.0","73.5"
"19","19","Baylor","75.1","76.3","74.0","77.6","72.4","74.2"
"20","20","VA Military","74.8","83.0","65.0","76.5","73.7","76.6"
"21","21","E Carolina","74.8","76.0","77.0","77.0","72.1","66.8"
"22","22","Illinois St","74.5","65.3","51.0","78.2","71.1","69.7"
"23","23","Michigan","74.5","75.7","61.0","76.2","73.2","66.5"
"24","24","Memphis","74.5","64.3","48.0","78.3","70.6","74.7"
"25","25","Creighton","74.4","61.7","50.0","80.1","69.4","79.2"
"26","26","UCLA","74.4","66.0","63.0","79.7","68.8","67.8"
"27","27","Louisville","74.3","78.0","72.0","75.2","73.6","68.2"
"28","28","Central Ark","74.2","72.3","63.0","79.4","69.8","69.0"
"29","29","Bryant","74.0","75.0","71.0","78.9","68.7","61.7"
"30","30","St Marys","74.0","56.7","52.0","79.2","69.3","73.6"
"31","31","Niagara","73.8","72.3","70.0","78.7","69.7","70.4"
"32","32","Weber State","73.7","72.0","74.0","76.2","71.3","75.3"
"33","33","Arkansas","73.7","69.3","72.0","80.2","66.3","71.8"
"34","34","Canisius","73.5","78.7","83.0","73.5","73.5","65.5"
"35","35","Santa Clara","73.4","75.7","80.0","73.5","73.4","68.6"
"36","36","Arizona","73.4","75.0","70.0","75.9","71.3","69.0"
"37","37","Cal St Nrdge","73.1","74.3","88.0","75.1","71.7","65.9"
"38","38","U Mass","73.0","66.3","58.0","74.6","71.6","76.9"
"39","39","SE Missouri","72.9","77.0","69.0","75.0","71.6","69.5"
"40","40","Oakland","72.9","77.0","87.0","78.4","70.3","79.9"
"41","41","Central Conn","72.9","65.0","50.0","72.6","73.1","70.0"
"42","42","Lehigh","72.8","68.7","66.0","73.2","72.5","75.1"
"43","43","E Kentucky","72.7","71.3","72.0","76.7","69.4","65.2"
"44","44","St Bonavent","72.7","79.7","72.0","75.6","70.1","70.4"
"45","45","Davidson","72.6","65.7","58.0","76.8","70.3","76.9"
"46","46","Kentucky","72.6","55.3","57.0","80.2","63.5","77.4"
"47","47","Ohio","72.5","59.0","57.0","76.4","68.1","69.7"
"48","48","Temple","72.2","67.3","52.0","75.6","68.9","75.0"
"49","49","Murray St","72.2","72.3","68.0","71.2","72.8","73.0"
"50","50","S Dakota St","72.1","67.0","56.0","75.2","70.2","75.9"
"51","51","Colorado St","72.1","68.3","56.0","75.3","69.4","70.1"
"52","52","Fla Gulf Cst","72.1","69.7","50.0","71.0","72.9","71.8"
"53","53","La Salle","72.1","65.7","58.0","77.9","68.4","72.9"
"54","54","Hawaii","72.0","66.7","65.0","73.8","68.7","73.2"
"55","55","Oregon St","72.0","64.3","68.0","74.3","69.4","78.5"
"56","56","Oklahoma St","71.8","62.0","55.0","73.9","69.6","66.5"
"57","57","Army","71.8","70.0","70.0","72.8","71.2","66.6"
"58","58","Dayton","71.8","74.0","67.0","73.4","69.8","71.8"
"59","59","Quinnipiac","71.8","83.7","83.0","67.6","75.2","71.0"
"60","60","Arizona St","71.8","81.3","86.0","71.5","72.1","61.0"
"61","61","S Mississippi","71.7","67.7","62.0","73.1","70.8","70.5"
"62","62","Oregon","71.6","70.3","69.0","73.1","70.1","74.3"
"63","63","Florida","71.4","66.3","59.0","75.0","69.0","75.9"
"64","64","DePaul","71.4","60.0","57.0","72.4","70.3","74.1"
"65","65","UC Davis","71.3","67.3","41.0","76.5","67.6","61.3"
"66","66","LA Tech","71.3","63.3","52.0","75.9","67.9","68.7"
"67","67","Boise State","71.1","69.0","71.0","75.6","67.6","67.4"
"68","68","Akron","71.0","56.3","42.0","74.0","68.4","71.5"
"69","69","Drake","71.0","65.7","53.0","73.4","68.9","66.5"
"70","70","Valparaiso","70.9","62.0","54.0","72.8","68.9","67.4"
"71","71","Neb Omaha","70.9","74.0","57.0","78.0","66.5","68.9"
"72","72","NC-Grnsboro","70.9","71.3","61.0","72.1","69.9","69.7"
"73","73","Rob Morris","70.9","62.3","68.0","74.8","67.6","68.4"
"74","74","App State","70.8","74.0","62.0","73.0","69.3","67.2"
"75","75","Kent State","70.8","63.7","59.0","73.2","68.4","69.8"
"76","76","UNLV","70.8","64.0","61.0","73.1","67.9","75.6"
"77","77","LSU","70.8","64.3","58.0","73.8","67.1","65.4"
"78","78","Maryland","70.7","60.0","60.0","75.0","65.4","68.7"
"79","79","Middle Tenn","70.7","64.0","54.0","78.8","64.4","71.8"
"80","80","NC-Asheville","70.7","69.0","72.0","69.4","71.5","78.1"
"81","81","Charl South","70.7","72.7","71.0","75.4","66.9","75.4"
"82","82","LA Lafayette","70.7","70.3","66.0","77.6","65.2","67.3"
"83","83","Oklahoma","70.6","62.7","55.0","74.4","67.7","69.1"
"84","84","TN State","70.6","77.7","72.0","78.4","65.7","67.0"
"85","85","Stanford","70.5","66.7","54.0","70.8","70.2","71.8"
"86","86","Oral Roberts","70.4","78.0","74.0","72.8","68.9","72.6"
"87","87","Syracuse","70.4","57.3","56.0","75.9","65.4","74.1"
"88","88","UAB","70.4","63.3","66.0","76.0","66.0","60.5"
"89","89","Morehead St","70.4","71.3","75.0","70.6","70.2","60.9"
"90","90","Central FL","70.3","67.7","62.0","70.3","70.3","64.8"
"91","91","TX Southern","70.3","75.7","78.0","79.1","63.9","61.2"
"92","92","St Fran (NY)","70.3","72.0","57.0","69.6","70.7","69.5"
"93","93","VA Tech","70.2","66.3","63.0","72.2","68.1","65.1"
"94","94","Ohio State","70.2","72.3","66.0","73.6","67.1","74.7"
"95","95","Sacred Hrt","70.2","72.0","80.0","72.7","68.5","71.2"
"96","96","Iowa","70.1","66.7","54.0","73.3","66.6","73.0"
"97","97","Texas State","70.1","68.3","65.0","69.9","70.2","73.9"
"98","98","Richmond","70.0","63.3","51.0","75.4","64.6","69.0"
"99","99","Notre Dame","70.0","62.7","58.0","74.0","64.7","66.4"
"100","100","Youngs St","70.0","80.0","82.0","75.3","65.6","67.1"
"101","101","Stetson","70.0","63.3","58.0","75.4","65.8","72.0"
"102","102","High Point","70.0","64.7","71.0","72.0","68.1","69.6"
"103","103","Connecticut","69.9","56.7","63.0","70.6","68.8","68.7"
"104","104","Mt St Marys","69.8","71.3","70.0","73.6","67.5","60.3"
"105","105","Wichita St","69.7","70.0","68.0","72.9","67.5","76.3"
"106","106","Austin Peay","69.7","81.7","91.0","73.2","67.6","69.2"
"107","107","Miami (FL)","69.7","67.3","61.0","72.8","67.5","70.7"
"108","108","Tulane","69.6","74.7","72.0","71.3","67.7","63.5"
