"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Savannah St","85.6","84.1","92.0","87.1","84.9","69.4"
"2","2","Citadel","83.5","74.3","69.9","82.1","84.6","83.0"
"3","3","Marshall","80.8","85.6","85.4","80.9","80.8","79.8"
"4","4","Central Mich","79.7","83.5","87.0","79.5","79.9","69.1"
"5","5","WI-Grn Bay","79.0","79.5","81.9","79.5","78.6","79.6"
"6","6","TX-Pan Am","78.8","77.9","80.3","78.6","78.9","69.8"
"7","7","Neb Omaha","78.4","76.5","71.1","78.8","78.2","79.0"
"8","8","Portland St","78.4","75.7","72.2","78.1","78.6","74.6"
"9","9","Wyoming","77.7","70.3","69.8","78.3","77.2","68.6"
"10","10","Auburn","77.6","72.5","75.3","78.3","77.0","74.4"
"11","11","Quinnipiac","77.6","77.9","79.0","79.2","76.3","72.9"
"12","12","Utah Val St","77.5","72.3","65.7","77.7","77.3","76.4"
"13","13","Lipscomb","77.2","76.1","79.2","77.0","77.4","76.7"
"14","14","Kentucky","77.2","69.7","65.7","77.2","77.2","70.5"
"15","15","IPFW","77.1","78.8","75.3","78.6","75.8","72.4"
"16","16","BYU","77.1","71.1","62.5","79.5","74.5","76.2"
"17","17","Monmouth","76.6","76.6","75.5","78.2","75.5","76.3"
"18","18","IL-Chicago","76.3","72.3","63.8","75.3","77.1","76.2"
"19","19","Mississippi","76.3","72.9","74.8","76.3","76.2","72.4"
"20","20","S Utah","76.2","80.4","98.3","74.7","77.0","71.6"
"21","21","UCLA","76.2","73.3","72.2","77.0","75.1","73.9"
"22","22","Iowa","76.1","69.4","72.4","77.4","74.2","71.2"
"23","23","Stetson","76.0","67.1","69.0","77.2","75.3","75.6"
"24","24","St Johns","76.0","79.8","77.9","74.1","77.6","75.0"
"25","25","Rider","75.8","76.9","78.9","77.8","74.7","68.5"
"26","26","Rice","75.8","76.5","67.7","76.7","74.9","72.6"
"27","27","Ball State","75.8","71.7","75.0","74.8","76.8","68.7"
"28","28","Charlotte","75.8","77.1","73.6","76.2","75.3","74.6"
"29","29","Buffalo","75.6","73.1","74.2","73.9","76.6","74.7"
"30","30","Cal St Nrdge","75.5","73.5","77.4","74.4","76.3","74.8"
