"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","UCLA","52.6%","47.5%","44.3%","53.6%","51.4%","45.4%"
"2","2","Gonzaga","51.8%","53.5%","50.0%","50.8%","52.9%","48.5%"
"3","3","Creighton","51.2%","45.0%","48.5%","51.3%","51.1%","47.0%"
"4","4","Utah","50.6%","49.4%","42.9%","51.0%","50.1%","48.4%"
"5","5","Vermont","50.1%","55.5%","56.2%","50.2%","50.0%","48.0%"
"6","6","St Marys","49.6%","49.7%","36.8%","50.1%","49.0%","50.4%"
"7","7","Villanova","49.6%","47.6%","46.3%","50.4%","48.9%","48.3%"
"8","8","E Tenn St","49.4%","47.2%","52.8%","52.5%","47.2%","45.9%"
"9","9","VA Tech","49.2%","56.7%","51.7%","50.2%","47.8%","44.9%"
"10","10","Marquette","49.0%","54.2%","53.2%","50.4%","47.4%","46.8%"
"11","11","Kansas","48.8%","50.6%","55.7%","51.1%","46.7%","49.0%"
"12","12","Fla Gulf Cst","48.7%","50.3%","46.7%","48.1%","49.3%","47.2%"
"13","13","Florida St","48.5%","43.4%","43.9%","51.2%","44.5%","46.4%"
"14","14","Oregon","48.5%","49.7%","51.8%","50.7%","45.9%","46.4%"
"15","15","IPFW","48.4%","48.9%","44.3%","50.6%","46.4%","45.3%"
"16","16","Wm & Mary","48.4%","49.4%","55.9%","54.4%","44.3%","48.0%"
"17","17","Middle Tenn","48.4%","49.1%","57.9%","47.5%","49.3%","44.7%"
"18","18","Denver","48.2%","48.0%","44.1%","48.0%","48.3%","47.5%"
"19","19","Bucknell","48.1%","47.3%","48.9%","49.1%","47.3%","45.7%"
"20","20","Lehigh","48.1%","44.3%","41.4%","49.8%","46.8%","45.4%"
"21","21","Purdue","48.0%","47.3%","44.4%","49.5%","46.3%","47.0%"
"22","22","Indiana","48.0%","47.7%","58.6%","51.5%","43.2%","50.2%"
"23","23","Loyola-Chi","48.0%","42.8%","27.3%","49.2%","47.0%","42.2%"
"24","24","Michigan","48.0%","54.4%","63.0%","49.5%","45.8%","46.1%"
"25","25","Butler","47.9%","49.1%","40.4%","50.9%","44.5%","46.6%"
"26","26","Massachusetts Lowell","47.9%","50.9%","46.8%","50.0%","46.3%","46.5%"
"27","27","Toledo","47.9%","42.9%","43.1%","48.5%","47.3%","45.8%"
"28","28","Kentucky","47.8%","44.3%","44.1%","49.0%","46.5%","47.8%"
"29","29","NC-Wilmgton","47.7%","54.2%","52.8%","50.2%","46.2%","45.5%"
"30","30","Weber State","47.6%","44.9%","43.8%","49.1%","46.6%","47.0%"
"31","31","North Dakota","47.4%","45.1%","51.9%","48.9%","46.5%","45.1%"
"32","32","Texas Tech","47.4%","41.0%","35.6%","50.5%","42.8%","44.8%"
"33","33","Duke","47.3%","40.2%","44.4%","49.4%","45.1%","46.0%"
"34","34","Belmont","47.3%","45.4%","36.7%","51.5%","44.2%","49.4%"
"35","35","Wake Forest","47.2%","50.6%","53.2%","48.8%","45.9%","44.0%"
"36","36","Wichita St","47.2%","39.8%","38.0%","50.2%","44.4%","42.7%"
"37","37","Michigan St","47.2%","43.6%","36.7%","49.7%","44.6%","48.6%"
"38","38","E Washingtn","47.2%","46.3%","34.5%","49.3%","45.1%","47.5%"
"39","39","NC-Asheville","47.1%","48.2%","47.4%","50.6%","44.8%","44.8%"
"40","40","Georgia St","47.1%","41.7%","47.1%","48.5%","46.0%","43.8%"
"41","41","S Methodist","47.0%","55.6%","60.7%","49.9%","43.3%","49.7%"
"42","42","Portland St","47.0%","50.6%","54.4%","48.3%","46.3%","47.0%"
