"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","W Virginia","13.6%","11.8%","5.3%","14.5%","13.0%","7.8%"
"2","2","E Kentucky","12.2%","13.8%","14.6%","12.8%","11.6%","10.4%"
"3","3","VCU","12.1%","6.3%","5.1%","15.5%","9.5%","13.7%"
"4","4","Georgia St","11.8%","14.5%","13.1%","13.3%","11.0%","9.9%"
"5","5","Hawaii","11.6%","9.1%","6.9%","12.5%","10.6%","7.8%"
"6","6","Minnesota","11.6%","7.8%","7.4%","13.4%","9.5%","9.9%"
"7","7","Savannah St","11.4%","11.9%","8.8%","11.6%","11.4%","8.6%"
"8","8","Ark Pine Bl","11.4%","11.2%","8.3%","10.4%","11.7%","12.1%"
"9","9","Oregon St","10.9%","11.3%","14.4%","11.9%","9.7%","6.0%"
"10","10","Tennessee","10.8%","10.0%","8.6%","11.3%","10.2%","7.1%"
"11","11","Rob Morris","10.7%","12.6%","8.1%","10.7%","10.6%","9.1%"
"12","12","Syracuse","10.6%","10.9%","5.0%","11.2%","9.9%","11.2%"
"13","13","Baylor","10.6%","10.4%","3.0%","11.5%","9.7%","6.6%"
"14","14","Dartmouth","10.5%","12.6%","12.5%","11.9%","9.6%","7.8%"
"15","15","F Dickinson","10.5%","9.3%","7.8%","10.6%","10.4%","8.2%"
"16","16","Chicago St","10.4%","16.5%","21.2%","10.7%","10.3%","10.2%"
"17","17","Prairie View","10.4%","8.3%","4.7%","10.7%","10.3%","8.5%"
"18","18","E Michigan","10.4%","10.7%","13.4%","11.1%","9.7%","10.2%"
"19","19","Oklahoma St","10.3%","8.0%","10.9%","10.8%","9.7%","9.2%"
"20","20","Villanova","10.2%","8.7%","6.5%","10.7%","9.8%","8.8%"
"21","21","Cleveland St","10.2%","10.8%","9.4%","9.6%","10.6%","7.8%"
"22","22","Morehead St","10.2%","8.7%","4.7%","11.5%","9.5%","9.4%"
"23","23","Wichita St","10.2%","10.5%","8.2%","10.9%","9.7%","9.2%"
"24","24","LA Tech","10.2%","7.5%","5.6%","12.0%","8.7%","11.0%"
"25","25","Holy Cross","10.2%","9.3%","5.8%","9.9%","10.4%","8.3%"
"26","26","N Illinois","10.2%","10.1%","11.0%","11.1%","9.2%","8.6%"
"27","27","Louisville","10.1%","5.9%","7.3%","11.8%","8.3%","12.4%"
"28","28","WI-Grn Bay","10.0%","7.9%","8.7%","10.2%","9.9%","9.1%"
"29","29","Georgetown","10.0%","8.5%","9.4%","10.5%","9.5%","7.9%"
"30","30","Miami (OH)","10.0%","8.2%","6.5%","10.5%","9.5%","11.1%"
"31","31","W Carolina","10.0%","10.2%","7.4%","8.6%","10.6%","9.1%"
"32","32","Maryland ES","9.9%","7.2%","8.9%","11.9%","9.1%","8.2%"
"33","33","Manhattan","9.9%","8.4%","5.8%","12.0%","8.9%","9.8%"
"34","34","Fresno St","9.9%","6.4%","8.0%","10.7%","9.3%","8.0%"
"35","35","Ohio State","9.9%","6.1%","4.8%","10.8%","8.9%","10.2%"
"36","36","Arizona","9.8%","11.0%","7.4%","10.4%","9.3%","7.9%"
"37","37","Marquette","9.7%","6.9%","9.4%","10.0%","9.3%","8.0%"
"38","38","UMKC","9.7%","9.1%","11.9%","10.5%","9.2%","8.5%"
"39","39","E Tenn St","9.7%","11.1%","14.1%","9.3%","9.9%","9.2%"
"40","40","S Illinois","9.6%","11.5%","7.7%","10.9%","8.5%","9.9%"
"41","41","Florida","9.5%","2.9%","4.0%","10.6%","8.6%","9.7%"
"42","42","Neb Omaha","9.5%","9.9%","11.2%","8.6%","10.2%","9.0%"
"43","43","Harvard","9.5%","9.7%","12.4%","9.6%","9.5%","9.6%"
"44","44","Illinois St","9.5%","7.2%","2.8%","10.1%","9.0%","9.5%"
"45","45","SC Upstate","9.5%","7.7%","4.9%","9.4%","9.6%","8.1%"
"46","46","Siena","9.5%","10.2%","7.7%","9.6%","9.4%","7.2%"
"47","47","Howard","9.5%","7.4%","1.4%","6.6%","10.7%","7.7%"
"48","48","Detroit","9.5%","8.5%","10.2%","10.0%","9.1%","9.0%"
"49","49","Longwood","9.5%","11.1%","13.8%","8.8%","9.8%","8.1%"
"50","50","Rider","9.5%","11.1%","10.3%","9.6%","9.4%","7.6%"
"51","51","S Methodist","9.4%","8.1%","15.5%","10.6%","8.1%","9.9%"
"52","52","Hofstra","9.4%","10.2%","7.5%","10.1%","8.9%","6.3%"
"53","53","Buffalo","9.4%","8.0%","5.4%","11.4%","8.1%","8.5%"
"54","54","IUPUI","9.4%","6.4%","9.3%","10.9%","8.2%","6.4%"
"55","55","Dayton","9.4%","9.1%","10.5%","8.6%","10.0%","7.9%"
"56","56","Sac State","9.4%","6.8%","4.4%","9.4%","9.4%","7.0%"
"57","57","Samford","9.4%","7.9%","5.1%","9.5%","9.2%","7.1%"
"58","58","Ste F Austin","9.3%","6.5%","10.8%","9.3%","9.4%","9.2%"
"59","59","Providence","9.3%","8.0%","5.7%","10.9%","7.7%","7.1%"
"60","60","Arkansas","9.3%","7.0%","9.6%","10.4%","8.1%","9.7%"
"61","61","Incarnate Word","9.3%","9.6%","10.0%","9.2%","9.4%","8.1%"
"62","62","Richmond","9.3%","6.2%","3.7%","8.9%","9.9%","7.5%"
"63","63","NC-Wilmgton","9.3%","6.1%","6.9%","9.7%","9.1%","7.7%"
"64","64","Duke","9.3%","10.2%","11.8%","10.3%","8.6%","9.2%"
"65","65","Bradley","9.3%","11.7%","9.3%","10.6%","8.2%","9.5%"
"66","66","San Diego St","9.3%","6.7%","9.1%","11.0%","7.8%","9.8%"
"67","67","Massachusetts Lowell","9.3%","7.1%","6.6%","9.7%","9.1%","7.7%"
"68","68","American","9.3%","13.5%","14.8%","8.8%","9.5%","8.6%"
"69","69","St Johns","9.2%","4.4%","8.8%","9.1%","9.3%","8.5%"
"70","70","Campbell","9.2%","10.5%","9.1%","9.2%","9.3%","7.2%"
"71","71","Cincinnati","9.2%","6.2%","5.4%","9.6%","8.6%","10.6%"
"72","72","Texas State","9.2%","9.7%","9.6%","9.3%","9.0%","8.1%"
"73","73","Monmouth","9.1%","11.2%","7.3%","9.4%","8.9%","8.5%"
"74","74","Memphis","9.1%","5.8%","3.7%","8.9%","9.3%","10.4%"
"75","75","Denver","9.1%","9.1%","10.1%","8.9%","9.2%","10.1%"
"76","76","Old Dominion","9.0%","8.4%","13.1%","8.7%","9.4%","8.4%"
"77","77","Temple","9.0%","6.8%","6.6%","9.3%","8.8%","7.1%"
"78","78","GA Southern","9.0%","4.6%","6.7%","10.0%","8.2%","8.0%"
"79","79","Wofford","9.0%","6.9%","7.5%","9.6%","8.6%","8.3%"
"80","80","Mt St Marys","9.0%","8.0%","14.4%","9.6%","8.5%","8.6%"
"81","81","TX-San Ant","9.0%","9.4%","10.0%","7.6%","10.2%","7.4%"
"82","82","McNeese St","9.0%","6.4%","6.8%","8.3%","9.5%","8.5%"
"83","83","Bowling Grn","9.0%","5.7%","5.2%","8.2%","9.7%","9.3%"
"84","84","Canisius","8.9%","9.5%","8.5%","9.4%","8.6%","8.4%"
"85","85","St Fran (PA)","8.9%","6.8%","5.4%","9.7%","8.5%","7.8%"
"86","86","TX A&M-CC","8.9%","6.2%","11.5%","8.7%","9.1%","8.7%"
"87","87","Idaho State","8.9%","8.1%","6.1%","7.8%","9.6%","8.8%"
"88","88","Loyola-Chi","8.9%","11.2%","7.1%","9.9%","7.9%","7.3%"
"89","89","Notre Dame","8.9%","5.7%","7.4%","9.5%","8.2%","7.8%"
"90","90","N Iowa","8.9%","8.8%","3.1%","9.4%","8.5%","7.4%"
"91","91","Fordham","8.9%","10.2%","8.6%","9.1%","8.7%","8.2%"
"92","92","Marist","8.9%","9.6%","14.5%","8.2%","9.2%","8.1%"
"93","93","Air Force","8.9%","9.1%","7.1%","8.3%","9.3%","7.0%"
"94","94","SE Missouri","8.8%","8.4%","2.5%","9.7%","8.2%","8.3%"
"95","95","Central Mich","8.8%","7.9%","10.8%","8.1%","9.5%","9.0%"
"96","96","Radford","8.8%","11.5%","15.1%","9.0%","8.6%","8.1%"
"97","97","Miss Val St","8.8%","6.9%","7.2%","7.2%","9.5%","8.7%"
"98","98","Maryland BC","8.8%","8.3%","12.1%","9.0%","8.6%","9.6%"
"99","99","N Mex State","8.8%","10.5%","13.9%","7.8%","9.6%","5.8%"
"100","100","UC Riverside","8.8%","6.4%","6.9%","9.5%","8.2%","7.6%"
"101","101","St Josephs","8.7%","10.4%","10.1%","9.6%","8.1%","5.9%"
"102","102","St Bonavent","8.7%","7.4%","7.1%","7.6%","9.6%","8.9%"
"103","103","Mercer","8.7%","10.1%","8.4%","8.9%","8.6%","7.6%"
"104","104","St Peters","8.7%","8.7%","8.1%","8.5%","8.8%","8.6%"
"105","105","San Diego","8.7%","5.6%","11.2%","10.5%","7.4%","7.4%"
"106","106","New Orleans","8.7%","7.8%","2.7%","9.4%","8.2%","7.2%"
"107","107","Murray St","8.7%","6.1%","11.9%","9.7%","8.0%","7.0%"
"108","108","St Fran (NY)","8.7%","7.6%","6.4%","8.5%","8.8%","7.3%"
"109","109","Butler","8.6%","9.3%","10.6%","10.0%","7.5%","7.9%"
"110","110","VA Military","8.6%","6.0%","1.2%","10.6%","7.3%","7.0%"
"111","111","LSU","8.6%","6.7%","6.3%","8.9%","8.2%","9.2%"
"112","112","Vermont","8.6%","4.7%","3.7%","8.9%","8.3%","9.7%"
"113","113","NC-Asheville","8.6%","10.5%","9.8%","7.2%","9.4%","7.8%"
"114","114","Southern","8.6%","8.7%","3.9%","7.7%","9.0%","7.0%"
"115","115","Kentucky","8.5%","7.5%","7.3%","9.8%","7.3%","6.1%"
"116","116","Jackson St","8.5%","9.7%","5.6%","9.0%","8.2%","7.8%"
"117","117","Winthrop","8.5%","6.4%","3.8%","9.2%","8.0%","7.9%"
"118","118","Coastal Car","8.5%","6.5%","10.7%","8.7%","8.4%","7.7%"
"119","119","Nicholls St","8.5%","7.6%","6.4%","9.0%","8.2%","7.4%"
"120","120","North Texas","8.5%","6.5%","8.6%","8.2%","8.8%","8.0%"
"121","121","Charl South","8.5%","9.0%","3.8%","8.8%","8.3%","7.7%"
