"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","W Virginia","10.7","8.7","4.0","11.3","10.3","6.2"
"2","2","VCU","9.5","5.0","4.0","12.0","7.5","11.2"
"3","3","Hawaii","9.4","7.0","5.0","10.4","8.4","6.2"
"4","4","Minnesota","9.2","6.3","6.0","10.7","7.5","7.5"
"5","5","E Kentucky","9.2","10.0","11.0","9.7","8.8","8.0"
"6","6","Georgia St","9.0","9.3","8.0","10.2","8.4","7.8"
"7","7","Ark Pine Bl","8.8","8.7","7.0","8.2","9.1","9.5"
"8","8","Savannah St","8.7","8.0","6.0","8.6","8.8","6.7"
"9","9","Prairie View","8.7","7.0","4.0","9.1","8.5","7.1"
"10","10","Rob Morris","8.6","10.3","6.0","8.6","8.6","7.1"
"11","11","F Dickinson","8.6","8.0","7.0","8.6","8.6","6.6"
"12","12","Syracuse","8.3","8.7","4.0","8.5","7.9","8.0"
"13","13","E Michigan","8.3","8.3","11.0","9.1","7.4","8.1"
"14","14","LA Tech","8.2","6.0","4.0","9.6","7.0","9.1"
"15","15","Manhattan","8.0","6.7","5.0","9.6","7.2","8.3"
"16","16","Neb Omaha","8.0","8.7","10.0","7.2","8.5","7.7"
"17","17","W Carolina","7.9","7.7","5.0","6.8","8.5","7.2"
"18","18","Oregon St","7.9","8.3","11.0","8.6","7.1","4.8"
"19","19","Baylor","7.8","7.7","2.0","8.5","7.2","5.1"
"20","20","Louisville","7.8","4.3","6.0","9.1","6.4","10.0"
"21","21","Oklahoma St","7.8","6.0","8.0","8.2","7.4","7.6"
"22","22","VA Military","7.8","5.3","1.0","9.6","6.5","6.3"
"23","23","Villanova","7.7","6.3","5.0","8.3","7.3","6.9"
"24","24","Tennessee","7.7","7.0","7.0","7.9","7.5","5.1"
"25","25","Morehead St","7.7","7.0","4.0","8.6","7.2","7.6"
"26","26","E Tenn St","7.7","9.0","13.0","7.4","7.9","7.7"
"27","27","Arkansas","7.7","5.7","9.0","8.7","6.6","8.4"
"28","28","Chicago St","7.7","12.0","14.0","8.0","7.5","8.4"
"29","29","Ohio State","7.7","5.0","4.0","8.3","7.0","7.7"
"30","30","Miami (OH)","7.6","6.3","5.0","7.9","7.3","8.5"
"31","31","Incarnate Word","7.6","8.0","8.0","7.2","7.9","6.7"
"32","32","Longwood","7.6","8.7","11.0","6.9","8.0","6.5"
"33","33","Dartmouth","7.6","9.7","10.0","8.5","6.9","5.6"
"34","34","Georgetown","7.6","6.0","6.0","8.0","7.2","6.1"
"35","35","Marquette","7.5","5.0","7.0","7.9","7.1","6.3"
"36","36","Miss Val St","7.5","6.0","7.0","6.0","8.2","7.3"
