"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","W Virginia","13.5%","14.0%","7.0%","14.3%","12.9%","15.2%"
"2","2","TX A&M-CC","12.9%","5.7%","4.1%","15.4%","11.3%","10.2%"
"3","3","NC-Asheville","12.4%","10.7%","7.3%","13.2%","12.0%","9.8%"
"4","4","E Michigan","12.1%","14.6%","4.5%","14.5%","10.1%","11.9%"
"5","5","Ste F Austin","12.1%","15.8%","8.1%","12.3%","11.9%","10.4%"
"6","6","Syracuse","12.1%","14.2%","12.1%","12.5%","11.7%","12.2%"
"7","7","VCU","11.9%","6.9%","9.3%","14.8%","9.5%","13.6%"
"8","8","Fordham","11.9%","12.3%","15.6%","13.0%","10.3%","9.9%"
"9","9","WI-Grn Bay","11.8%","11.3%","17.4%","11.8%","11.9%","11.2%"
"10","10","Neb Omaha","11.7%","11.4%","6.7%","11.2%","12.0%","10.6%"
"11","11","Rob Morris","11.6%","12.4%","11.5%","13.5%","10.5%","12.4%"
"12","12","Fresno St","11.5%","15.6%","22.0%","11.0%","12.0%","11.3%"
"13","13","Cincinnati","11.3%","8.6%","4.8%","12.8%","9.7%","10.5%"
"14","14","TN State","11.3%","16.2%","22.0%","12.1%","10.7%","8.2%"
"15","15","Morehead St","11.3%","10.3%","7.5%","12.2%","10.7%","11.3%"
"16","16","Baylor","11.2%","9.9%","13.3%","12.0%","10.1%","12.3%"
"17","17","Portland St","11.2%","12.3%","15.1%","12.3%","10.4%","8.5%"
"18","18","CS Bakersfld","10.9%","12.2%","8.7%","11.0%","10.9%","8.6%"
"19","19","Prairie View","10.9%","9.9%","9.9%","11.4%","10.7%","12.2%"
"20","20","High Point","10.8%","10.8%","7.4%","12.4%","9.7%","8.8%"
"21","21","Manhattan","10.8%","9.8%","12.0%","11.4%","10.3%","11.2%"
"22","22","Monmouth","10.8%","7.4%","7.7%","9.6%","11.5%","10.5%"
"23","23","Kansas St","10.8%","11.7%","10.1%","9.8%","11.8%","9.4%"
"24","24","Wichita St","10.7%","11.9%","15.4%","11.5%","10.1%","11.2%"
"25","25","LSU","10.7%","10.1%","8.6%","12.1%","9.0%","10.0%"
"26","26","Jackson St","10.7%","10.7%","11.6%","10.9%","10.6%","9.4%"
"27","27","Nebraska","10.6%","11.8%","8.1%","11.0%","10.3%","9.3%"
"28","28","W Carolina","10.6%","10.8%","12.5%","11.3%","10.2%","11.4%"
"29","29","Ark Pine Bl","10.6%","9.9%","10.7%","10.7%","10.6%","13.1%"
"30","30","Louisville","10.6%","10.5%","13.5%","11.7%","8.7%","11.7%"
"31","31","Chattanooga","10.6%","10.9%","9.6%","10.0%","10.8%","8.5%"
"32","32","Marquette","10.5%","9.6%","8.4%","10.8%","10.1%","11.3%"
"33","33","Col Charlestn","10.5%","12.4%","9.1%","10.1%","10.9%","8.7%"
"34","34","Mt St Marys","10.5%","8.8%","8.5%","10.9%","10.2%","10.2%"
"35","35","Mississippi","10.4%","10.2%","0.0%","10.9%","10.0%","9.5%"
"36","36","Oregon St","10.3%","10.9%","7.3%","11.6%","9.2%","12.0%"
"37","37","Maine","10.3%","6.6%","9.8%","9.9%","10.6%","8.7%"
"38","38","Villanova","10.3%","14.4%","7.7%","10.4%","10.1%","11.4%"
"39","39","LIU-Brooklyn","10.2%","9.6%","4.2%","11.6%","9.1%","8.0%"
"40","40","New Orleans","10.2%","12.0%","4.3%","10.8%","9.9%","9.8%"
"41","41","Hawaii","10.2%","4.7%","2.8%","11.4%","8.7%","13.2%"
"42","42","Southern","10.2%","9.6%","6.4%","11.9%","9.4%","9.9%"
"43","43","Seton Hall","10.1%","13.4%","14.9%","10.1%","10.2%","8.8%"
"44","44","Oregon","10.1%","7.2%","14.7%","10.0%","10.3%","8.0%"
"45","45","Memphis","10.1%","10.0%","4.6%","10.7%","9.3%","10.3%"
"46","46","Iona","10.1%","11.2%","7.6%","10.1%","10.1%","8.9%"
"47","47","Cornell","10.1%","10.5%","13.1%","11.5%","9.0%","8.9%"
"48","48","North Dakota","10.1%","11.1%","7.4%","10.3%","9.9%","8.4%"
"49","49","S Illinois","10.1%","10.0%","7.5%","11.3%","8.8%","10.5%"
"50","50","Denver","10.1%","11.8%","15.8%","10.5%","9.7%","10.0%"
"51","51","Princeton","10.0%","12.2%","8.7%","9.8%","10.1%","8.3%"
"52","52","F Dickinson","9.9%","8.8%","11.1%","11.4%","8.8%","12.3%"
"53","53","Wagner","9.9%","10.1%","12.6%","9.8%","10.0%","8.8%"
"54","54","Gard-Webb","9.9%","5.4%","6.9%","10.6%","9.6%","9.0%"
"55","55","UNLV","9.9%","6.6%","3.8%","10.2%","9.6%","8.2%"
"56","56","Texas A&M","9.8%","10.2%","8.0%","10.4%","9.3%","8.5%"
"57","57","Idaho State","9.8%","15.0%","21.0%","8.8%","10.5%","10.1%"
"58","58","SE Missouri","9.8%","12.7%","12.9%","9.3%","10.2%","10.0%"
"59","59","Citadel","9.8%","6.5%","4.6%","9.2%","10.2%","6.9%"
"60","60","Arkansas","9.8%","7.4%","5.5%","10.9%","8.4%","10.6%"
"61","61","N Illinois","9.8%","12.0%","12.8%","10.3%","9.2%","11.4%"
"62","62","Xavier","9.8%","11.7%","11.5%","9.9%","9.6%","8.9%"
"63","63","Florida St","9.7%","9.0%","10.7%","9.1%","10.2%","8.0%"
"64","64","La Salle","9.7%","9.3%","5.8%","9.0%","10.5%","9.6%"
"65","65","Georgia St","9.7%","11.1%","16.2%","8.2%","10.9%","13.6%"
"66","66","Miami (OH)","9.7%","10.1%","7.9%","10.8%","8.4%","11.2%"
"67","67","Indiana","9.7%","7.8%","2.7%","10.7%","8.7%","7.3%"
"68","68","Lehigh","9.6%","7.3%","7.1%","10.1%","9.3%","7.8%"
"69","69","Stanford","9.6%","8.0%","8.9%","9.9%","9.4%","8.1%"
"70","70","Maryland BC","9.6%","8.7%","4.6%","10.9%","8.6%","10.0%"
"71","71","Austin Peay","9.6%","9.4%","10.0%","9.8%","9.4%","9.1%"
"72","72","AR Lit Rock","9.5%","10.5%","1.6%","8.0%","10.4%","8.3%"
"73","73","Butler","9.5%","10.3%","10.9%","8.3%","10.8%","9.5%"
"74","74","TX-Arlington","9.5%","13.2%","17.0%","9.3%","9.7%","9.1%"
"75","75","Tulsa","9.5%","6.2%","7.5%","10.7%","8.5%","8.8%"
"76","76","Dartmouth","9.5%","10.8%","12.6%","9.7%","9.3%","11.8%"
"77","77","Iowa","9.5%","9.0%","8.5%","9.9%","9.1%","9.7%"
"78","78","Kennesaw St","9.5%","10.6%","10.7%","10.4%","8.8%","7.6%"
"79","79","Loyola Mymt","9.5%","10.9%","7.1%","9.7%","9.3%","9.3%"
"80","80","Abilene Christian","9.5%","9.2%","9.2%","9.3%","9.6%","9.0%"
"81","81","Illinois St","9.4%","8.0%","10.4%","9.5%","9.3%","10.7%"
"82","82","Samford","9.4%","8.8%","10.8%","10.6%","8.7%","10.6%"
"83","83","N Carolina","9.4%","7.9%","7.7%","10.5%","8.6%","9.2%"
"84","84","NC-Wilmgton","9.4%","5.7%","6.7%","9.5%","9.3%","10.6%"
"85","85","LA Tech","9.4%","9.3%","10.1%","10.0%","8.8%","11.7%"
"86","86","Washington","9.3%","7.6%","8.6%","10.2%","8.3%","7.2%"
"87","87","Holy Cross","9.3%","5.9%","4.5%","8.8%","9.7%","11.3%"
"88","88","Richmond","9.3%","9.9%","8.1%","9.9%","8.7%","10.7%"
"89","89","IUPUI","9.3%","8.4%","7.8%","10.0%","8.9%","10.5%"
"90","90","Miss Val St","9.3%","6.2%","6.8%","8.1%","9.6%","10.2%"
"91","91","Campbell","9.2%","8.9%","6.1%","9.7%","8.8%","10.3%"
"92","92","GA Southern","9.2%","6.8%","8.9%","9.8%","8.8%","10.3%"
"93","93","Kansas","9.2%","6.3%","7.6%","9.4%","9.1%","9.6%"
"94","94","Albany","9.2%","7.0%","4.8%","10.6%","8.1%","9.0%"
"95","95","Chicago St","9.1%","6.9%","4.1%","9.5%","8.9%","11.8%"
"96","96","Oklahoma","9.1%","6.8%","9.4%","9.8%","8.7%","9.7%"
"97","97","Columbia","9.1%","9.0%","10.6%","8.7%","9.7%","7.5%"
"98","98","E Kentucky","9.1%","6.6%","5.4%","8.9%","9.4%","13.9%"
"99","99","Valparaiso","9.1%","7.5%","3.0%","9.3%","8.9%","8.6%"
"100","100","S Alabama","9.1%","11.9%","13.0%","8.0%","9.7%","6.4%"
"101","101","Massachusetts Lowell","9.1%","7.2%","8.2%","9.8%","8.6%","10.4%"
"102","102","Grambling St","9.1%","13.0%","16.2%","8.2%","9.5%","7.8%"
"103","103","Lamar","9.1%","10.6%","12.6%","9.9%","8.4%","9.2%"
"104","104","Miami (FL)","9.1%","10.6%","10.2%","9.4%","8.8%","8.4%"
