"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","App State","4.8","3.3","4.0","5.3","4.5","3.1"
"2","2","Citadel","4.8","5.0","5.0","4.9","4.7","3.0"
"3","3","Alcorn State","4.6","7.7","9.0","5.6","4.1","3.1"
"4","4","Hampton","4.5","4.3","5.0","4.0","4.8","2.9"
"5","5","GA Southern","4.5","2.3","5.0","4.4","4.5","3.8"
"6","6","Maryland ES","4.4","3.3","3.0","4.1","4.6","3.3"
"7","7","NC A&T","4.4","3.3","6.0","4.2","4.6","4.0"
"8","8","Alabama St","4.4","3.3","2.0","3.9","4.6","4.2"
"9","9","IL-Chicago","4.4","2.3","3.0","5.6","3.3","4.3"
"10","10","Delaware St","4.3","3.3","1.0","4.8","3.9","3.9"
"11","11","Morgan St","4.2","1.7","0.0","6.1","3.2","4.8"
"12","12","Quinnipiac","4.2","1.7","2.0","5.3","3.3","3.9"
"13","13","NC Central","4.2","5.0","8.0","3.4","4.6","2.8"
"14","14","Maine","4.2","4.7","3.0","3.8","4.5","4.0"
"15","15","Central Ark","4.2","6.0","7.0","5.2","3.6","3.3"
"16","16","St Josephs","4.1","2.0","2.0","3.8","4.4","3.3"
"17","17","Northwestern","4.1","4.3","5.0","4.3","3.9","3.3"
"18","18","SC Upstate","4.1","2.3","3.0","5.4","3.0","3.5"
"19","19","N Illinois","4.1","3.3","3.0","4.3","3.9","3.2"
"20","20","Fla Gulf Cst","4.1","3.3","7.0","3.8","4.5","3.8"
"21","21","Incarnate Word","4.1","4.3","6.0","5.1","3.5","2.8"
"22","22","Central FL","4.1","5.3","3.0","4.5","3.6","3.4"
"23","23","Southern","4.1","3.7","2.0","4.7","3.8","4.4"
"24","24","St Johns","4.0","2.0","4.0","4.3","3.7","3.3"
"25","25","NC-Asheville","4.0","3.0","6.0","5.0","3.5","3.1"
"26","26","SIU Edward","4.0","2.7","2.0","4.8","3.2","3.3"
"27","27","Arkansas","4.0","4.3","5.0","3.9","4.1","2.8"
"28","28","San Fransco","4.0","2.3","2.0","3.1","5.2","3.2"
"29","29","Wichita St","4.0","2.3","3.0","4.4","3.6","3.5"
"30","30","Miss Val St","3.9","2.3","2.0","4.0","3.9","3.8"
"31","31","Colorado","3.9","3.3","1.0","3.2","4.6","2.8"
"32","32","Beth-Cook","3.9","3.7","5.0","5.2","3.4","3.5"
"33","33","Siena","3.9","4.3","4.0","3.9","3.9","3.8"
"34","34","Ark Pine Bl","3.9","3.7","5.0","4.2","3.8","4.4"
"35","35","Coppin State","3.9","4.3","4.0","3.7","4.0","3.2"
"36","36","Florida A&M","3.9","4.3","5.0","4.5","3.5","4.4"
"37","37","Georgia","3.9","3.3","5.0","4.0","3.7","3.2"
"38","38","Boston U","3.9","4.0","2.0","3.6","4.1","3.1"
"39","39","Maryland BC","3.9","4.3","4.0","3.2","4.3","3.3"
"40","40","Portland","3.9","5.0","4.0","4.2","3.6","3.1"
"41","41","Howard","3.9","3.3","4.0","4.2","3.6","3.5"
"42","42","Col Charlestn","3.9","2.0","1.0","4.7","3.1","2.9"
"43","43","Troy","3.9","1.7","1.0","2.8","4.7","2.7"
"44","44","Monmouth","3.8","4.3","4.0","3.7","3.9","3.6"
"45","45","Morehead St","3.8","4.0","4.0","3.1","4.3","3.5"
