"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","UC Davis","44.1%","40.0%","37.5%","42.4%","45.3%","34.9%"
"2","2","Idaho","41.0%","38.2%","55.6%","42.4%","40.1%","35.6%"
"3","3","Lafayette","40.8%","38.8%","22.2%","41.3%","40.5%","39.7%"
"4","4","Sac State","40.8%","40.7%","33.3%","44.3%","38.7%","37.0%"
"5","5","Indiana","40.6%","37.2%","50.0%","42.7%","38.4%","34.4%"
"6","6","Drake","40.6%","42.0%","23.1%","45.7%","36.3%","39.7%"
"7","7","Citadel","40.2%","32.8%","22.2%","40.3%","40.1%","35.7%"
"8","8","Utah","40.1%","39.5%","25.0%","44.4%","36.5%","34.5%"
"9","9","Gonzaga","40.0%","33.3%","20.0%","39.3%","40.6%","39.0%"
"10","10","N Iowa","39.8%","37.3%","31.6%","39.2%","40.3%","35.9%"
"11","11","S Utah","39.7%","40.4%","31.6%","39.0%","40.1%","32.6%"
"12","12","Vanderbilt","39.6%","44.4%","48.0%","40.7%","38.3%","31.9%"
"13","13","Iona","39.6%","37.5%","26.1%","42.9%","37.5%","39.6%"
"14","14","Colgate","39.5%","37.9%","22.7%","41.6%","38.0%","40.1%"
"15","15","Utah State","39.4%","36.2%","41.7%","41.4%","37.5%","40.9%"
"16","16","TN Martin","39.4%","40.8%","48.1%","40.2%","39.0%","34.9%"
"17","17","E Washingtn","39.3%","39.4%","32.1%","42.5%","37.3%","37.2%"
"18","18","Loyola-Chi","39.3%","37.5%","37.5%","38.6%","39.9%","35.0%"
"19","19","BYU","39.0%","47.7%","51.7%","37.8%","40.0%","36.9%"
"20","20","Notre Dame","39.0%","35.8%","28.6%","38.6%","39.4%","35.8%"
"21","21","Villanova","38.9%","39.7%","32.1%","41.4%","36.9%","35.6%"
"22","22","VA Tech","38.9%","34.7%","20.0%","40.1%","37.7%","36.1%"
"23","23","Wm & Mary","38.9%","38.8%","34.4%","39.1%","38.8%","40.1%"
"24","24","Boise State","38.9%","37.3%","30.0%","41.4%","37.2%","36.4%"
"25","25","Duke","38.7%","34.2%","20.0%","40.9%","36.8%","39.5%"
"26","26","Davidson","38.7%","30.3%","21.4%","44.6%","34.3%","37.8%"
"27","27","High Point","38.6%","34.7%","35.3%","38.3%","38.8%","38.6%"
"28","28","Northeastrn","38.6%","48.9%","27.3%","38.9%","38.5%","32.4%"
"29","29","Michigan St","38.5%","35.7%","35.0%","37.9%","39.0%","39.2%"
"30","30","Valparaiso","38.4%","35.5%","44.4%","34.7%","40.5%","35.0%"
"31","31","Murray St","38.3%","40.3%","23.8%","41.5%","35.7%","37.6%"
"32","32","Maryland ES","38.2%","40.4%","30.0%","45.0%","34.8%","32.1%"
"33","33","UC Irvine","38.2%","30.6%","35.7%","37.0%","38.9%","35.5%"
"34","34","Baylor","38.2%","27.3%","36.8%","41.8%","35.0%","38.0%"
"35","35","N Dakota St","38.2%","37.5%","47.6%","41.1%","36.8%","34.7%"
"36","36","S Dakota St","38.1%","39.1%","45.5%","39.8%","37.4%","33.9%"
"37","37","N Florida","38.1%","29.9%","40.9%","39.6%","37.2%","35.4%"
"38","38","Bucknell","38.1%","34.5%","33.3%","41.1%","35.9%","39.0%"
"39","39","Denver","38.0%","31.5%","6.7%","40.3%","35.2%","38.4%"
"40","40","Cleveland St","37.9%","42.2%","41.7%","42.3%","35.0%","40.2%"
"41","41","Detroit","37.9%","33.3%","21.7%","38.3%","37.6%","30.8%"
"42","42","Kansas","37.9%","43.5%","28.6%","36.8%","38.7%","34.0%"
"43","43","Abilene Christian","37.8%","24.5%","10.0%","41.8%","35.8%","37.3%"
"44","44","Portland","37.8%","25.0%","23.8%","36.1%","39.4%","39.3%"
"45","45","Seattle","37.8%","38.3%","23.5%","41.7%","32.5%","34.2%"
"46","46","Stanford","37.7%","34.6%","23.8%","35.6%","39.8%","36.4%"
"47","47","Belmont","37.7%","34.1%","32.0%","40.9%","35.6%","39.0%"
"48","48","Charlotte","37.6%","33.3%","28.6%","37.1%","38.1%","35.6%"
"49","49","Maryland","37.6%","41.7%","42.1%","38.2%","36.8%","34.2%"
"50","50","N Colorado","37.5%","29.6%","22.7%","42.6%","33.5%","37.9%"
"51","51","Rob Morris","37.5%","35.3%","31.6%","40.0%","34.9%","38.5%"
"52","52","E Illinois","37.4%","44.7%","47.8%","36.3%","38.1%","32.0%"
"53","53","N Hampshire","37.4%","42.6%","44.0%","41.5%","34.6%","32.8%"
"54","54","James Mad","37.4%","43.9%","51.9%","38.2%","36.3%","27.3%"
"55","55","American","37.4%","48.1%","55.6%","36.0%","38.1%","37.9%"
"56","56","Ste F Austin","37.3%","31.8%","19.2%","37.3%","37.3%","34.9%"
"57","57","Portland St","37.3%","35.6%","30.0%","39.0%","36.0%","36.1%"
"58","58","Princeton","37.3%","41.8%","50.0%","36.7%","37.7%","35.7%"
"59","59","Minnesota","37.2%","36.7%","35.0%","39.1%","35.2%","35.5%"
"60","60","Rice","37.2%","39.1%","35.0%","38.4%","36.4%","32.4%"
"61","61","NJIT","37.1%","33.3%","18.2%","39.4%","35.2%","35.7%"
"62","62","St Marys","37.1%","29.0%","16.7%","38.5%","35.1%","38.1%"
"63","63","Ohio State","37.0%","35.3%","29.4%","40.8%","32.8%","32.4%"
