"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","VA Military","51.7%","43.1%","46.6%","53.8%","50.3%","38.9%"
"2","2","Rice","49.3%","42.3%","39.2%","50.3%","48.7%","45.9%"
"3","3","Central Mich","48.1%","36.2%","31.5%","53.2%","43.6%","45.0%"
"4","4","E Kentucky","48.0%","56.5%","67.2%","49.4%","46.7%","44.3%"
"5","5","Belmont","47.8%","51.4%","43.9%","47.5%","48.0%","41.9%"
"6","6","Akron","47.8%","58.0%","58.8%","50.5%","45.2%","37.2%"
"7","7","Charl South","46.8%","56.7%","62.0%","46.6%","46.9%","41.7%"
"8","8","Columbia","45.9%","46.2%","39.7%","46.8%","44.7%","42.4%"
"9","9","Davidson","45.6%","48.9%","44.4%","44.0%","46.9%","39.0%"
"10","10","Princeton","45.4%","44.0%","48.9%","44.9%","45.8%","47.8%"
"11","11","Hartford","45.4%","41.1%","38.9%","46.6%","44.3%","44.2%"
"12","12","Houston","45.0%","50.3%","47.4%","48.1%","41.5%","31.5%"
"13","13","E Tenn St","44.8%","47.3%","50.0%","44.5%","45.0%","36.8%"
"14","14","Campbell","44.2%","48.1%","40.0%","42.0%","45.7%","45.7%"
"15","15","Marist","43.9%","39.7%","30.8%","42.8%","44.6%","33.4%"
"16","16","Ball State","43.7%","44.3%","42.3%","45.0%","42.5%","38.9%"
"17","17","San Jose St","43.6%","49.4%","48.3%","44.3%","43.0%","47.5%"
"18","18","E Washingtn","43.2%","41.0%","43.8%","45.4%","42.0%","37.9%"
"19","19","Lipscomb","43.2%","37.3%","32.3%","41.0%","44.4%","46.3%"
"20","20","Coppin State","43.1%","39.3%","40.0%","42.2%","43.6%","39.9%"
"21","21","Denver","43.0%","43.2%","33.3%","43.7%","42.2%","42.9%"
"22","22","Villanova","42.9%","44.0%","45.9%","45.9%","40.7%","44.8%"
"23","23","Wm & Mary","42.8%","46.7%","49.2%","39.1%","45.2%","41.5%"
"24","24","Creighton","42.7%","36.1%","40.4%","42.7%","42.7%","44.6%"
"25","25","Boston U","42.4%","39.9%","40.0%","43.0%","42.0%","39.2%"
"26","26","Iona","42.4%","41.5%","32.4%","46.9%","39.9%","43.9%"
"27","27","Marshall","42.3%","32.0%","32.2%","44.2%","40.4%","34.0%"
"28","28","NJIT","42.2%","44.3%","32.8%","43.7%","41.1%","35.4%"
"29","29","N Florida","42.1%","42.4%","42.3%","43.3%","41.5%","35.3%"
"30","30","Massachusetts Lowell","42.0%","50.7%","50.0%","44.5%","40.7%","40.1%"
"31","31","Mt St Marys","42.0%","43.3%","41.1%","41.4%","42.4%","43.4%"
"32","32","Gard-Webb","41.8%","42.4%","54.7%","39.3%","43.0%","26.9%"
"33","33","Hofstra","41.6%","44.9%","50.0%","39.7%","43.1%","38.3%"
"34","34","Boise State","41.5%","46.3%","36.4%","41.9%","41.3%","36.1%"
"35","35","GA Southern","41.5%","52.1%","54.2%","42.6%","40.6%","36.9%"
"36","36","Montana","41.4%","43.7%","61.4%","39.8%","42.5%","40.0%"
"37","37","St Fran (PA)","41.1%","33.1%","41.9%","42.6%","40.1%","41.7%"
"38","38","Montana St","41.0%","41.3%","39.6%","44.0%","38.6%","31.5%"
"39","39","Alabama","40.6%","37.3%","44.3%","39.7%","41.8%","33.3%"
"40","40","Michigan","40.6%","36.3%","28.8%","43.7%","36.8%","40.1%"
"41","41","DePaul","40.5%","34.5%","40.0%","40.0%","41.1%","31.4%"
"42","42","Sam Hous St","40.5%","35.7%","45.0%","41.0%","40.0%","33.4%"
"43","43","Weber State","40.4%","38.4%","39.2%","39.4%","41.2%","37.1%"
"44","44","SC Upstate","40.0%","44.3%","61.1%","40.4%","39.7%","34.5%"
"45","45","Wyoming","40.0%","43.4%","47.8%","38.6%","41.4%","35.0%"
"46","46","VCU","39.9%","43.8%","41.3%","39.1%","40.6%","33.9%"
"47","47","Indiana St","39.9%","38.7%","54.9%","39.4%","40.5%","35.2%"
"48","48","Air Force","39.9%","33.5%","25.5%","43.0%","36.9%","41.9%"
"49","49","N Iowa","39.9%","39.3%","41.3%","39.9%","39.8%","43.6%"
"50","50","Miami (FL)","39.7%","30.3%","29.3%","42.2%","37.6%","34.1%"
"51","51","Furman","39.7%","32.1%","32.6%","42.2%","38.3%","31.1%"
"52","52","Indiana","39.5%","41.9%","37.3%","38.7%","40.4%","29.4%"
