"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Wyoming","52.9%","52.6%","54.9%","53.4%","52.4%","40.0%"
"2","2","Akron","50.9%","54.4%","60.0%","52.4%","49.9%","47.8%"
"3","3","Citadel","50.5%","45.4%","33.9%","51.0%","50.2%","35.8%"
"4","4","Belmont","50.4%","58.2%","67.3%","49.1%","51.1%","47.8%"
"5","5","S Mississippi","48.5%","54.3%","52.6%","51.7%","45.6%","38.6%"
"6","6","N Florida","48.4%","43.8%","45.5%","49.9%","47.1%","42.1%"
"7","7","Liberty","48.3%","51.6%","50.0%","53.0%","45.4%","28.4%"
"8","8","Central Mich","46.8%","51.6%","70.5%","45.2%","48.2%","48.1%"
"9","9","Hartford","46.6%","58.8%","62.1%","44.6%","48.4%","45.4%"
"10","10","E Washingtn","46.5%","51.1%","49.2%","46.4%","46.6%","43.2%"
"11","11","Lipscomb","45.5%","39.7%","37.5%","47.0%","44.3%","43.2%"
"12","12","Elon","45.2%","47.7%","26.4%","45.8%","44.6%","35.8%"
"13","13","Charl South","45.1%","39.8%","42.4%","43.0%","46.8%","46.7%"
"14","14","Marshall","45.1%","46.5%","41.9%","45.5%","44.8%","42.2%"
"15","15","WI-Milwkee","45.1%","50.9%","52.5%","45.3%","45.0%","39.4%"
"16","16","La Salle","45.1%","43.2%","40.0%","44.8%","45.4%","29.4%"
"17","17","Columbia","44.9%","48.8%","50.9%","44.5%","45.4%","45.9%"
"18","18","VA Military","44.3%","38.9%","35.4%","46.4%","43.0%","51.7%"
"19","19","Michigan","44.3%","42.1%","42.9%","45.5%","43.3%","40.6%"
"20","20","Davidson","44.2%","46.3%","53.2%","45.3%","43.3%","45.6%"
"21","21","Iona","44.0%","40.9%","37.5%","46.2%","42.5%","42.4%"
"22","22","Auburn","43.9%","40.9%","42.1%","45.8%","42.1%","38.8%"
"23","23","GA Southern","43.9%","43.6%","40.4%","43.4%","44.2%","41.5%"
"24","24","Alabama","43.6%","50.3%","51.7%","42.2%","44.6%","40.6%"
"25","25","IPFW","43.4%","49.5%","41.0%","38.2%","46.2%","38.2%"
"26","26","Duquesne","43.3%","49.1%","54.7%","44.5%","42.3%","37.0%"
"27","27","Colorado St","43.3%","49.4%","54.4%","44.3%","42.4%","36.6%"
"28","28","Northeastrn","43.0%","39.4%","32.6%","42.3%","43.5%","30.5%"
"29","29","St Fran (NY)","43.0%","35.2%","35.4%","45.5%","41.1%","32.5%"
"30","30","Ball State","42.8%","45.9%","30.8%","44.5%","40.8%","43.7%"
"31","31","Villanova","42.7%","33.6%","29.2%","46.2%","40.2%","42.9%"
"32","32","N Iowa","42.7%","45.3%","49.3%","42.2%","42.9%","39.9%"
"33","33","TN Tech","42.6%","47.9%","42.9%","41.8%","43.3%","30.7%"
"34","34","Army","42.5%","49.7%","51.6%","42.3%","42.8%","38.9%"
"35","35","Boise State","42.5%","37.4%","40.0%","43.1%","42.0%","41.5%"
"36","36","Colgate","42.5%","46.2%","41.2%","41.7%","43.0%","38.5%"
"37","37","Marist","42.4%","35.8%","35.2%","45.1%","40.2%","44.0%"
"38","38","Denver","42.3%","36.6%","34.0%","43.2%","41.5%","43.0%"
"39","39","Princeton","42.2%","42.9%","54.2%","40.8%","43.2%","45.4%"
"40","40","NJIT","42.1%","42.9%","43.1%","40.2%","44.1%","42.2%"
"41","41","Syracuse","42.1%","31.5%","37.9%","44.9%","39.8%","29.0%"
"42","42","Furman","42.1%","41.1%","51.7%","41.2%","42.6%","39.7%"
"43","43","TX-Arlington","42.0%","38.7%","40.3%","43.3%","41.1%","36.6%"
"44","44","James Mad","42.0%","44.8%","51.6%","42.7%","41.0%","36.9%"
"45","45","Weber State","41.9%","47.0%","36.8%","39.4%","43.3%","40.4%"
"46","46","Northwestern","41.7%","34.7%","39.7%","41.8%","41.6%","38.0%"
"47","47","Montana St","41.7%","44.3%","42.4%","43.9%","40.5%","41.0%"
"48","48","Fairfield","41.5%","41.5%","43.9%","40.6%","42.4%","38.9%"
"49","49","San Diego","41.5%","52.6%","54.3%","44.4%","39.5%","34.7%"
"50","50","Canisius","41.5%","44.6%","42.0%","39.6%","43.0%","36.3%"
"51","51","Georgetown","41.4%","40.9%","37.3%","41.2%","41.7%","32.5%"
"52","52","Winthrop","41.4%","46.2%","46.5%","42.0%","41.0%","39.1%"
"53","53","Beth-Cook","41.1%","44.0%","48.0%","39.6%","41.8%","34.2%"
"54","54","NC-Grnsboro","41.0%","40.7%","43.8%","43.2%","39.6%","31.5%"
"55","55","Holy Cross","40.9%","54.2%","41.8%","39.5%","41.9%","33.7%"
