"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","VA Military","26.5","19.7","18.0","28.1","25.4","27.3"
"2","2","Lipscomb","25.9","33.7","47.0","27.1","25.1","16.4"
"3","3","Iona","25.8","23.0","19.0","26.5","25.4","22.7"
"4","4","San Jose St","25.7","25.7","27.0","24.5","26.5","16.9"
"5","5","Mt St Marys","25.3","24.7","37.0","23.7","26.3","25.3"
"6","6","Princeton","25.2","24.3","30.0","25.1","25.3","16.6"
"7","7","Villanova","25.1","24.3","31.0","24.9","25.4","18.2"
"8","8","Central Mich","25.1","25.7","32.0","25.1","25.1","24.3"
"9","9","Charl South","24.9","23.3","20.0","24.0","25.5","25.8"
"10","10","Campbell","24.9","24.3","25.0","25.2","24.6","13.3"
"11","11","Creighton","24.5","25.7","24.0","23.6","25.3","20.6"
"12","12","Rice","24.0","17.3","23.0","22.4","25.2","22.5"
"13","13","S Alabama","23.8","23.3","30.0","22.8","24.7","17.6"
"14","14","N Iowa","23.7","24.0","22.0","24.1","23.4","21.2"
"15","15","E Kentucky","23.4","24.3","31.0","21.2","24.6","24.4"
"16","16","Iowa State","23.3","19.7","16.0","24.2","22.6","26.4"
"17","17","LA Tech","23.3","24.3","25.0","21.4","24.5","22.6"
"18","18","Oakland","23.3","26.7","24.0","24.5","22.3","20.7"
"19","19","E Carolina","23.2","25.3","23.0","23.6","22.9","21.7"
"20","20","Fordham","23.2","24.7","30.0","20.9","25.4","17.4"
"21","21","Arkansas St","23.1","23.0","24.0","22.0","23.9","20.4"
"22","22","Illinois St","23.1","19.7","21.0","22.5","23.7","21.1"
"23","23","Mississippi","23.1","25.7","25.0","22.6","23.5","20.4"
"24","24","TX-Arlington","23.0","23.7","22.0","22.0","23.6","16.7"
"25","25","Coppin State","22.9","21.0","24.0","24.5","22.1","24.0"
"26","26","Duke","22.9","22.7","37.0","23.2","22.6","18.8"
"27","27","Belmont","22.8","28.3","32.0","21.2","23.8","22.3"
"28","28","Oklahoma","22.8","31.7","30.0","22.6","22.9","15.4"
"29","29","Wash State","22.6","27.3","18.0","24.0","21.3","20.9"
"30","30","Seattle","22.5","23.3","21.0","23.9","21.4","18.6"
"31","31","Army","22.3","21.3","23.0","20.9","23.3","21.8"
"32","32","St Fran (PA)","22.2","22.3","27.0","22.2","22.2","20.5"
"33","33","Boston U","22.2","20.0","25.0","21.5","22.8","21.6"
"34","34","Davidson","22.1","25.0","29.0","20.9","22.7","20.4"
"35","35","UC Davis","22.0","18.0","19.0","22.0","21.9","20.5"
"36","36","Boston Col","21.9","19.7","19.0","22.1","21.8","20.1"
"37","37","McNeese St","21.9","20.0","23.0","20.9","22.4","15.6"
"38","38","Cornell","21.9","21.0","24.0","21.7","22.1","19.6"
"39","39","W Kentucky","21.9","18.3","15.0","22.4","21.3","19.7"
"40","40","Youngs St","21.9","22.3","25.0","20.4","22.9","20.3"
"41","41","N Kentucky","21.8","18.7","16.0","20.9","22.6","22.9"
"42","42","LIU-Brooklyn","21.8","23.0","21.0","21.3","22.0","19.0"
"43","43","E Washingtn","21.8","19.3","15.0","21.7","21.8","25.0"
"44","44","Air Force","21.7","20.7","15.0","22.6","20.7","22.0"
"45","45","WI-Milwkee","21.7","21.7","24.0","23.0","21.0","21.8"
"46","46","Wm & Mary","21.5","19.3","24.0","23.5","20.1","19.6"
"47","47","Michigan","21.5","22.0","18.0","21.5","21.5","19.7"
"48","48","E Tenn St","21.4","21.3","26.0","20.9","22.1","19.7"
"49","49","N Hampshire","21.4","21.0","22.0","22.2","20.8","20.1"
"50","50","Northwestern","21.4","20.0","19.0","20.5","22.4","22.2"
"51","51","Hartford","21.3","23.0","28.0","21.3","21.3","22.7"
"52","52","VCU","21.3","21.0","21.0","21.1","21.4","22.2"
"53","53","Elon","21.2","14.7","19.0","20.0","22.0","22.0"
"54","54","Troy","21.2","23.0","22.0","20.7","21.5","20.6"
"55","55","Louisville","21.2","15.0","15.0","22.6","19.8","17.3"
"56","56","Denver","21.1","22.3","13.0","20.3","21.7","21.0"
"57","57","Kent State","21.0","18.7","17.0","21.1","20.9","18.9"
"58","58","Canisius","21.0","24.0","24.0","22.1","20.2","23.9"
"59","59","Ohio","20.9","18.3","24.0","21.8","19.9","22.5"
"60","60","Mercer","20.9","18.3","22.0","21.3","20.7","20.6"
"61","61","Chicago St","20.9","19.7","25.0","19.2","22.1","21.1"
"62","62","Colgate","20.9","16.0","15.0","19.2","22.3","20.2"
"63","63","Fresno St","20.9","18.0","23.0","19.5","22.0","17.5"
"64","64","Arizona St","20.8","21.0","15.0","20.0","21.8","20.6"
"65","65","TN Martin","20.8","23.7","28.0","21.1","20.6","16.7"
"66","66","Wisconsin","20.8","17.7","20.0","20.8","20.8","22.4"
"67","67","Delaware","20.8","18.0","20.0","22.8","19.7","14.1"
"68","68","Hofstra","20.8","19.0","21.0","19.2","22.1","15.4"
"69","69","Seton Hall","20.7","20.7","23.0","20.9","20.5","21.5"
"70","70","Massachusetts Lowell","20.7","20.3","23.0","23.4","18.9","--"
"71","71","GA Southern","20.6","14.3","16.0","20.5","20.7","16.5"
"72","72","Fairfield","20.6","18.3","17.0","19.9","21.2","18.0"
"73","73","Maryland","20.6","24.0","23.0","21.4","19.8","17.0"
"74","74","Michigan St","20.6","21.3","29.0","20.0","21.0","14.4"
"75","75","Boise State","20.6","21.3","25.0","21.1","20.2","19.4"
"76","76","Neb Omaha","20.6","21.7","27.0","18.8","21.8","16.8"
"77","77","W Virginia","20.5","19.0","21.0","21.5","19.5","16.9"
"78","78","Arkansas","20.5","18.3","24.0","20.8","20.2","20.0"
"79","79","Central FL","20.5","24.7","18.0","21.9","19.1","19.5"
"80","80","Winthrop","20.4","16.7","26.0","20.6","20.3","18.4"
"81","81","Ball State","20.4","15.3","21.0","21.2","19.8","18.1"
"82","82","Ste F Austin","20.4","21.0","27.0","20.4","20.4","12.0"
"83","83","Columbia","20.4","23.0","28.0","22.5","18.2","18.4"
"84","84","Miss Val St","20.3","26.7","28.0","19.8","20.6","19.9"
"85","85","Akron","20.3","17.7","17.0","20.1","20.5","20.6"
"86","86","Minnesota","20.2","23.3","23.0","20.8","19.4","16.1"
"87","87","Navy","20.2","20.3","27.0","18.0","21.8","17.0"
"88","88","Nicholls St","20.2","26.0","39.0","19.7","20.4","17.4"
"89","89","F Dickinson","20.2","21.3","17.0","21.2","19.6","17.5"
"90","90","Santa Clara","20.1","20.7","19.0","20.4","19.8","21.8"
"91","91","Grand Canyon","20.1","21.0","22.0","20.2","20.0","--"
"92","92","W Carolina","20.1","16.7","18.0","20.8","19.7","18.3"
"93","93","Duquesne","20.0","21.7","24.0","19.1","20.8","24.1"
"94","94","Montana","19.9","15.7","10.0","20.0","19.9","18.3"
"95","95","Notre Dame","19.9","20.7","20.0","20.6","18.9","17.6"
"96","96","Florida A&M","19.9","20.7","19.0","19.9","19.9","18.0"
"97","97","IPFW","19.9","20.0","21.0","21.9","18.7","19.0"
"98","98","LSU","19.9","21.3","23.0","19.3","20.3","21.2"
"99","99","Murray St","19.8","23.3","22.0","20.1","19.6","22.9"
"100","100","Chattanooga","19.8","22.0","31.0","17.5","21.1","17.5"
