"","Rank","Team","2014","Last 3","Last 1","Home","Away","2013"
"1","1","VA Military","10.9","6.7","7.0","11.8","10.4","8.4"
"2","2","Davidson","10.6","9.0","6.0","11.5","9.8","8.3"
"3","3","E Washingtn","9.9","9.3","9.0","11.1","9.2","8.1"
"4","4","Iona","9.8","10.0","6.0","11.3","9.0","10.2"
"5","5","Central Mich","9.8","7.3","6.0","12.1","7.7","7.9"
"6","6","Belmont","9.8","10.3","8.0","10.3","9.5","8.9"
"7","7","Akron","9.4","8.0","7.0","9.9","8.9","7.0"
"8","8","Indiana","9.4","9.7","11.0","9.3","9.5","5.5"
"9","9","Coppin State","9.3","8.7","7.0","9.9","9.1","7.4"
"10","10","Charl South","9.2","12.7","11.0","11.5","7.6","9.2"
"11","11","Rice","9.2","9.0","7.0","9.2","9.2","7.8"
"12","12","E Tenn St","9.1","9.3","8.0","9.3","9.0","7.7"
"13","13","Villanova","9.1","9.7","9.0","10.3","8.1","8.9"
"14","14","Hofstra","8.9","9.0","8.0","7.9","9.7","6.9"
"15","15","E Kentucky","8.8","13.7","15.0","9.2","8.4","9.0"
"16","16","N Florida","8.7","6.7","9.0","9.5","8.3","6.9"
"17","17","Wm & Mary","8.6","11.0","11.0","7.9","9.1","8.6"
"18","18","Boise State","8.6","9.3","6.0","9.7","8.0","7.5"
"19","19","UC Davis","8.5","8.0","9.0","8.4","8.6","7.7"
"20","20","NW State","8.5","11.0","13.0","9.8","7.5","5.8"
"21","21","Columbia","8.4","8.7","13.0","8.9","7.8","7.9"
"22","22","BYU","8.4","10.3","15.0","8.4","8.4","5.2"
"23","23","Gard-Webb","8.3","7.0","11.0","7.9","8.5","5.0"
"24","24","NJIT","8.3","8.7","4.0","8.8","7.9","7.0"
"25","25","VCU","8.1","10.7","10.0","7.9","8.3","7.4"
"26","26","Princeton","8.1","7.7","11.0","7.8","8.4","9.0"
"27","27","Montana","8.1","8.0","13.0","7.9","8.3","7.4"
"28","28","Houston","8.1","9.3","7.0","8.5","7.6","6.4"
"29","29","Longwood","8.1","7.7","10.0","9.6","7.3","5.5"
"30","30","S Dakota St","8.1","9.0","10.0","7.8","8.2","6.4"
"31","31","Montana St","8.1","7.3","6.0","9.5","6.9","5.6"
"32","32","Campbell","8.1","8.7","7.0","7.8","8.2","8.8"
"33","33","Lipscomb","8.0","7.0","4.0","8.3","7.8","9.2"
"34","34","Notre Dame","7.9","6.3","4.0","8.7","7.2","7.1"
"35","35","Creighton","7.9","7.0","7.0","8.5","7.3","10.2"
