"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Quinnipiac","57.4%","54.5%","56.4%","58.2%","56.8%","56.9%"
"2","2","Kentucky","56.7%","56.5%","54.2%","57.8%","55.7%","53.0%"
"3","3","Tennessee","56.1%","57.6%","51.9%","56.4%","55.8%","54.0%"
"4","4","Indiana","55.5%","51.3%","52.2%","57.0%","53.3%","55.3%"
"5","5","Kansas","55.5%","56.5%","48.6%","55.4%","55.5%","54.3%"
"6","6","Wichita St","55.3%","52.1%","41.8%","56.4%","54.4%","55.7%"
"7","7","Arizona","55.1%","45.7%","50.6%","58.1%","52.6%","54.8%"
"8","8","UAB","54.9%","51.4%","48.1%","56.0%","53.8%","50.8%"
"9","9","Morehead St","54.9%","51.9%","51.9%","57.3%","53.5%","53.7%"
"10","10","S Mississippi","54.8%","56.4%","57.8%","56.5%","53.6%","53.5%"
"11","11","Texas","54.8%","51.4%","57.7%","54.0%","55.5%","50.8%"
"12","12","Iowa","54.7%","49.0%","44.8%","54.9%","54.5%","53.2%"
"13","13","Virginia","54.7%","53.9%","52.2%","56.0%","53.6%","51.0%"
"14","14","Pittsburgh","54.6%","50.8%","44.9%","55.2%","53.9%","55.2%"
"15","15","Baylor","54.3%","54.3%","45.8%","55.0%","53.7%","51.0%"
"16","16","Colorado","54.3%","47.2%","46.8%","57.3%","51.1%","52.3%"
"17","17","Liberty","54.1%","51.0%","46.8%","55.2%","53.3%","48.9%"
"18","18","Stony Brook","53.8%","52.7%","50.7%","55.7%","52.5%","53.1%"
"19","19","S Dakota St","53.8%","57.4%","56.2%","54.3%","53.5%","52.1%"
"20","20","Michigan St","53.8%","50.3%","51.6%","54.0%","53.5%","55.3%"
"21","21","Florida","53.7%","55.3%","49.1%","54.5%","53.1%","53.7%"
"22","22","New Mexico","53.7%","52.8%","51.4%","56.5%","51.7%","51.7%"
"23","23","Col Charlestn","53.6%","51.7%","52.1%","54.5%","52.9%","53.9%"
"24","24","Missouri","53.6%","47.7%","46.0%","53.1%","54.2%","55.9%"
"25","25","Utah State","53.6%","53.1%","43.5%","56.6%","50.4%","56.6%"
"26","26","N Mex State","53.6%","54.5%","50.6%","55.2%","52.4%","54.3%"
"27","27","S Methodist","53.5%","58.4%","55.4%","54.1%","53.0%","52.0%"
"28","28","Ste F Austin","53.5%","56.4%","54.5%","54.1%","53.2%","54.7%"
"29","29","Vermont","53.4%","48.1%","36.7%","54.3%","52.9%","53.4%"
"30","30","Yale","53.4%","59.7%","56.5%","53.7%","53.3%","51.8%"
"31","31","Georgia","53.3%","52.3%","57.1%","56.0%","50.2%","51.8%"
"32","32","Towson","53.2%","51.9%","52.2%","54.5%","52.3%","54.0%"
"33","33","BYU","53.2%","53.6%","46.4%","57.1%","50.1%","52.6%"
"34","34","N Carolina","53.2%","51.6%","50.7%","54.4%","51.8%","50.9%"
"35","35","Xavier","53.2%","48.8%","51.7%","55.3%","50.7%","53.7%"
"36","36","San Diego St","53.0%","54.2%","56.1%","51.0%","54.5%","52.5%"
"37","37","Cincinnati","53.0%","50.8%","50.7%","55.7%","49.5%","54.3%"
"38","38","St Marys","52.8%","50.0%","50.8%","53.3%","52.3%","56.2%"
"39","39","Bucknell","52.8%","61.0%","60.9%","53.2%","52.5%","54.1%"
"40","40","Middle Tenn","52.8%","55.7%","57.7%","52.6%","53.0%","53.9%"
"41","41","Syracuse","52.8%","53.7%","47.0%","52.9%","52.7%","52.3%"
"42","42","Villanova","52.7%","51.6%","45.5%","53.8%","51.7%","52.1%"
"43","43","Dayton","52.7%","48.2%","41.3%","54.2%","51.4%","53.0%"
"44","44","Colorado St","52.6%","53.8%","49.3%","54.3%","50.3%","58.8%"
"45","45","Coastal Car","52.6%","54.4%","50.0%","53.6%","51.7%","52.9%"
"46","46","Albany","52.5%","53.4%","47.4%","55.4%","51.1%","52.2%"
"47","47","Hawaii","52.5%","49.8%","45.3%","54.2%","49.7%","53.6%"
"48","48","Boise State","52.5%","48.1%","47.9%","55.6%","50.1%","52.3%"
"49","49","Texas Tech","52.5%","51.5%","57.6%","53.8%","51.0%","48.0%"
"50","50","UC Irvine","52.5%","53.1%","52.4%","53.7%","51.6%","50.0%"
"51","51","Geo Wshgtn","52.5%","48.1%","47.8%","55.6%","49.8%","53.9%"
"52","52","Purdue","52.4%","52.2%","47.6%","52.5%","52.3%","53.6%"
"53","53","SC Upstate","52.4%","48.7%","50.0%","53.3%","51.8%","52.2%"
"54","54","Providence","52.4%","48.7%","39.4%","55.9%","49.4%","52.2%"
"55","55","IPFW","52.4%","53.2%","49.3%","54.5%","51.2%","51.4%"
"56","56","SE Missouri","52.3%","55.3%","53.4%","52.4%","52.3%","49.2%"
"57","57","N Dakota St","52.3%","45.6%","41.5%","53.5%","51.7%","53.5%"
"58","58","W Kentucky","52.3%","46.5%","45.0%","53.0%","51.6%","52.0%"
"59","59","Marquette","52.3%","54.0%","55.8%","52.2%","52.4%","53.5%"
"60","60","S Carolina","52.3%","57.3%","49.3%","51.8%","52.8%","52.0%"
"61","61","Gonzaga","52.3%","49.3%","58.2%","55.2%","50.2%","55.3%"
"62","62","Valparaiso","52.3%","43.9%","50.0%","53.0%","51.5%","52.9%"
"63","63","UNLV","52.2%","51.6%","46.0%","52.9%","51.2%","54.0%"
"64","64","Charlotte","52.2%","50.6%","46.9%","53.7%","50.9%","53.0%"
