"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","N Carolina","58.3%","56.3%","53.0%","60.5%","56.0%","55.9%"
"2","2","St Marys","57.5%","53.9%","47.7%","58.1%","56.8%","53.7%"
"3","3","S Methodist","57.2%","49.8%","55.4%","57.2%","57.1%","57.4%"
"4","4","Central FL","56.3%","52.1%","45.0%","58.9%","53.2%","51.7%"
"5","5","Baylor","55.9%","64.6%","61.1%","55.5%","56.4%","55.2%"
"6","6","Wichita St","55.8%","55.0%","50.6%","57.4%","54.5%","53.0%"
"7","7","Gonzaga","55.3%","57.1%","52.3%","53.9%","56.8%","54.9%"
"8","8","Indiana","55.3%","52.2%","45.2%","57.2%","52.6%","54.9%"
"9","9","Purdue","55.2%","49.5%","47.7%","56.7%","53.3%","57.3%"
"10","10","Arizona","55.2%","54.8%","64.9%","54.8%","55.6%","56.5%"
"11","11","Towson","55.1%","55.4%","51.5%","56.6%","54.0%","54.8%"
"12","12","Albany","55.1%","55.8%","54.8%","56.2%","54.2%","55.3%"
"13","13","California","55.0%","53.5%","51.9%","55.1%","54.8%","54.5%"
"14","14","Xavier","55.0%","54.0%","54.2%","56.8%","53.2%","54.9%"
"15","15","Utah","54.7%","51.7%","49.2%","56.3%","52.9%","52.7%"
"16","16","Wisconsin","54.7%","47.3%","51.3%","58.0%","50.8%","52.3%"
"17","17","Geo Mason","54.6%","52.6%","53.9%","54.5%","54.7%","55.1%"
"18","18","N Mex State","54.6%","58.8%","68.0%","56.6%","52.2%","56.5%"
"19","19","Wagner","54.5%","51.2%","58.2%","55.1%","53.9%","54.4%"
"20","20","Seton Hall","54.4%","54.7%","59.3%","56.4%","52.8%","52.4%"
"21","21","UC Irvine","54.3%","58.0%","58.1%","55.7%","53.5%","51.6%"
"22","22","Louisville","54.0%","57.4%","62.0%","56.0%","51.4%","54.7%"
"23","23","LA Lafayette","53.9%","58.0%","52.7%","55.0%","52.9%","55.1%"
"24","24","Old Dominion","53.9%","51.7%","47.4%","53.6%","54.1%","54.5%"
"25","25","Kent State","53.8%","52.8%","60.3%","54.7%","53.0%","52.4%"
"26","26","Texas A&M","53.8%","52.4%","50.0%","53.0%","54.7%","53.0%"
"27","27","Kentucky","53.8%","55.3%","50.0%","55.7%","51.6%","53.6%"
"28","28","Alabama","53.8%","49.1%","44.4%","55.3%","52.1%","47.5%"
"29","29","Missouri St","53.7%","54.3%","43.5%","54.7%","52.7%","49.2%"
"30","30","Middle Tenn","53.7%","59.1%","67.7%","55.2%","52.3%","51.0%"
"31","31","LIU-Brooklyn","53.7%","55.3%","54.1%","52.8%","54.3%","50.1%"
"32","32","Geo Wshgtn","53.7%","50.0%","49.3%","53.8%","53.5%","53.7%"
"33","33","Miami (FL)","53.6%","47.7%","44.3%","54.6%","52.4%","51.7%"
"34","34","Navy","53.6%","53.5%","53.6%","55.4%","52.0%","53.0%"
"35","35","BYU","53.4%","49.8%","47.8%","54.7%","52.0%","52.9%"
"36","36","Fla Gulf Cst","53.4%","57.4%","48.7%","54.9%","51.7%","52.9%"
"37","37","Cincinnati","53.3%","55.7%","57.1%","54.3%","52.0%","53.2%"
"38","38","Mercer","53.3%","55.8%","48.6%","55.4%","51.7%","55.3%"
"39","39","Radford","53.2%","51.2%","44.7%","52.1%","54.0%","51.5%"
"40","40","Rutgers","53.2%","49.0%","52.8%","54.2%","52.2%","45.0%"
"41","41","Valparaiso","53.2%","51.9%","57.5%","54.5%","51.7%","55.7%"
"42","42","Denver","53.1%","49.2%","46.3%","54.6%","52.0%","45.2%"
"43","43","Siena","53.1%","58.3%","60.5%","52.6%","53.4%","55.4%"
"44","44","TN Martin","53.0%","48.8%","53.0%","53.8%","52.5%","50.5%"
"45","45","Kansas","52.9%","54.8%","58.3%","55.9%","50.3%","53.5%"
"46","46","Houston Bap","52.9%","57.1%","54.1%","56.7%","50.3%","49.6%"
"47","47","Villanova","52.9%","50.8%","49.2%","54.4%","51.5%","51.2%"
"48","48","TN State","52.9%","57.9%","62.0%","51.7%","53.6%","51.3%"
"49","49","UCLA","52.8%","49.5%","48.7%","52.7%","53.0%","51.6%"
"50","50","Rider","52.8%","55.6%","55.4%","53.1%","52.6%","49.9%"
"51","51","Vermont","52.8%","53.7%","55.0%","52.9%","52.7%","51.6%"
"52","52","Virginia","52.8%","49.8%","55.4%","56.0%","49.0%","53.2%"
"53","53","Duke","52.7%","50.0%","47.0%","54.2%","51.2%","49.5%"
"54","54","N Kentucky","52.7%","50.7%","55.9%","52.1%","53.1%","48.6%"
"55","55","Toledo","52.6%","53.8%","57.4%","53.8%","51.5%","51.9%"
"56","56","Jksnville St","52.6%","54.4%","47.0%","51.7%","53.0%","45.4%"
"57","57","E Tenn St","52.6%","50.5%","54.2%","55.5%","50.8%","49.1%"
"58","58","N Hampshire","52.6%","51.6%","45.0%","53.9%","51.7%","52.8%"
"59","59","Buffalo","52.6%","53.7%","48.8%","53.5%","52.0%","51.5%"
"60","60","IPFW","52.5%","54.1%","50.0%","51.3%","53.7%","50.7%"
"61","61","Morehead St","52.5%","47.5%","44.6%","53.8%","51.6%","53.3%"
"62","62","Ste F Austin","52.5%","52.4%","61.2%","54.6%","50.9%","51.2%"
"63","63","Oklahoma St","52.5%","52.5%","41.7%","52.5%","52.5%","49.1%"
"64","64","Texas Tech","52.5%","50.5%","55.2%","54.5%","49.5%","50.1%"
"65","65","Yale","52.4%","50.3%","43.9%","53.3%","51.7%","57.7%"
"66","66","TX-San Ant","52.3%","50.7%","52.6%","53.4%","51.6%","47.0%"
"67","67","Wake Forest","52.3%","51.0%","50.0%","52.5%","52.2%","50.9%"
"68","68","Michigan St","52.3%","53.8%","52.9%","53.3%","51.2%","58.0%"
"69","69","TX-Arlington","52.3%","52.8%","47.3%","54.4%","51.0%","54.8%"
"70","70","Nevada","52.3%","54.7%","55.0%","52.2%","52.3%","50.5%"
"71","71","NC-Grnsboro","52.3%","54.8%","45.8%","51.8%","52.7%","49.1%"
"72","72","James Mad","52.2%","50.2%","46.5%","52.4%","52.1%","52.1%"
"73","73","UAB","52.2%","51.8%","48.6%","54.9%","49.3%","52.0%"
"74","74","Oregon","52.2%","42.6%","46.7%","55.2%","48.9%","52.0%"
"75","75","SE Louisiana","52.2%","51.7%","52.2%","54.0%","50.9%","48.2%"
"76","76","Rhode Island","52.2%","58.8%","55.8%","52.5%","51.8%","51.9%"
"77","77","Colorado","52.2%","49.8%","48.1%","53.3%","50.9%","55.4%"
"78","78","CS Bakersfld","52.1%","49.3%","46.4%","51.7%","52.3%","52.4%"
"79","79","New Orleans","52.1%","53.8%","59.2%","53.6%","51.0%","49.6%"
"80","80","TX Christian","52.0%","49.1%","48.1%","53.4%","49.9%","48.0%"
"81","81","Ohio State","52.0%","57.4%","54.8%","52.9%","50.5%","51.3%"
"82","82","Rice","52.0%","50.0%","47.7%","50.7%","53.4%","47.1%"
"83","83","Florida St","51.9%","52.8%","55.7%","55.3%","47.4%","52.4%"
"84","84","N Illinois","51.9%","52.6%","56.2%","51.6%","52.2%","51.8%"
"85","85","Illinois St","51.9%","49.1%","49.4%","52.5%","51.4%","50.2%"
"86","86","W Virginia","51.8%","49.3%","62.3%","53.1%","49.9%","56.1%"
"87","87","Idaho","51.8%","56.0%","57.5%","53.5%","50.4%","54.9%"
"88","88","Colorado St","51.7%","50.7%","45.0%","54.0%","49.2%","53.2%"
"89","89","Arkansas St","51.7%","54.9%","55.0%","52.4%","51.2%","49.3%"
"90","90","Sacred Hrt","51.7%","52.3%","51.6%","50.3%","52.7%","50.3%"
"91","91","VCU","51.6%","45.3%","46.1%","52.4%","50.8%","52.0%"
"92","92","IL-Chicago","51.6%","48.7%","49.2%","52.2%","51.2%","50.0%"
"93","93","LA Tech","51.6%","54.9%","54.3%","51.3%","52.0%","50.0%"
"94","94","Georgia","51.6%","48.3%","46.5%","51.4%","51.8%","52.0%"
"95","95","Washington","51.6%","54.6%","52.8%","51.4%","51.8%","48.6%"
"96","96","W Michigan","51.6%","56.8%","58.0%","55.2%","48.4%","51.9%"
"97","97","Mississippi","51.5%","52.5%","53.2%","51.6%","51.4%","51.4%"
"98","98","Coastal Car","51.5%","43.0%","41.2%","52.8%","50.0%","51.6%"
"99","99","Lehigh","51.4%","46.8%","46.8%","52.2%","50.9%","50.4%"
"100","100","Belmont","51.4%","49.0%","42.2%","52.9%","50.3%","49.2%"
"101","101","CS Fullerton","51.4%","51.0%","52.1%","52.7%","50.3%","49.9%"
"102","102","Boise State","51.4%","52.1%","55.0%","52.0%","50.9%","50.1%"
"103","103","Gard-Webb","51.4%","53.9%","50.5%","53.0%","50.4%","49.8%"
"104","104","Florida","51.4%","48.2%","52.2%","53.7%","50.4%","51.3%"
"105","105","St Bonavent","51.3%","50.4%","44.9%","50.5%","52.2%","49.3%"
"106","106","N Arizona","51.3%","56.2%","58.2%","53.7%","49.9%","45.0%"
"107","107","Tulsa","51.2%","53.6%","55.6%","52.4%","50.1%","48.7%"
"108","108","Loyola-MD","51.2%","55.3%","54.8%","53.2%","49.7%","50.1%"
"109","109","Wright State","51.2%","53.6%","54.3%","51.6%","50.9%","46.8%"
"110","110","Akron","51.2%","43.8%","50.0%","54.4%","48.6%","49.3%"
"111","111","NJIT","51.2%","55.9%","47.2%","54.4%","49.7%","48.5%"
"112","112","Southern","51.2%","53.9%","54.7%","50.6%","51.6%","48.6%"
"113","113","Illinois","51.2%","46.2%","47.2%","52.1%","50.1%","46.0%"
"114","114","Morgan St","51.1%","56.8%","58.0%","52.8%","49.7%","47.1%"
"115","115","Army","51.1%","53.2%","52.4%","51.9%","50.2%","52.0%"
"116","116","Troy","51.0%","45.6%","49.2%","52.6%","49.7%","48.0%"
"117","117","NC Central","51.0%","54.9%","51.3%","53.3%","49.8%","51.2%"
"118","118","Jackson St","51.0%","49.5%","45.3%","53.3%","49.8%","50.8%"
"119","119","Ball State","51.0%","43.0%","43.5%","52.3%","49.8%","51.7%"
"120","120","Georgia St","51.0%","56.7%","68.2%","51.4%","50.7%","46.8%"
"121","121","Nebraska","51.0%","51.2%","47.3%","51.5%","50.4%","51.4%"
"122","122","Sam Hous St","51.0%","49.8%","38.8%","54.8%","48.1%","51.0%"
"123","123","Pacific","51.0%","46.2%","38.2%","51.9%","50.1%","49.5%"
"124","124","Quinnipiac","50.9%","47.9%","42.1%","50.7%","51.1%","53.5%"
"125","125","Furman","50.9%","52.5%","54.7%","51.6%","50.3%","51.9%"
"126","126","WI-Grn Bay","50.8%","52.9%","50.0%","51.4%","50.5%","48.6%"
"127","127","N Florida","50.8%","52.2%","51.3%","52.1%","50.0%","46.5%"
"128","128","Kennesaw St","50.8%","49.8%","44.8%","52.0%","50.1%","46.5%"
"129","129","S Carolina","50.8%","52.8%","46.8%","52.5%","48.4%","54.1%"
"130","130","Stanford","50.8%","52.8%","50.8%","50.7%","50.9%","48.9%"
"131","131","Bucknell","50.8%","50.0%","46.4%","49.8%","51.6%","51.2%"
"132","132","Harvard","50.8%","53.6%","42.6%","51.1%","50.4%","51.4%"
"133","133","Fresno St","50.7%","51.5%","49.3%","52.3%","49.3%","49.7%"
"134","134","Butler","50.7%","45.6%","40.7%","53.4%","48.1%","52.3%"
"135","135","Oakland","50.7%","50.0%","47.7%","51.5%","49.8%","51.6%"
"136","136","NC-Wilmgton","50.7%","54.7%","53.0%","50.1%","51.1%","50.8%"
"137","137","Tennessee","50.7%","51.0%","55.6%","52.6%","48.2%","48.7%"
"138","138","Minnesota","50.7%","50.4%","48.7%","52.1%","47.9%","47.7%"
"139","139","Houston","50.7%","49.5%","61.4%","53.1%","47.6%","51.5%"
"140","140","E Washingtn","50.6%","49.5%","38.7%","51.7%","49.6%","48.4%"
"141","141","Lamar","50.6%","50.5%","57.1%","52.8%","49.0%","49.8%"
"142","142","Georgetown","50.6%","49.7%","50.8%","52.1%","48.6%","50.8%"
"143","143","Hampton","50.6%","46.0%","44.3%","51.4%","50.0%","52.9%"
"144","144","Utah State","50.6%","51.3%","45.8%","54.4%","46.6%","50.4%"
"145","145","Evansville","50.5%","55.5%","56.1%","52.2%","49.1%","52.1%"
"146","146","Florida Intl","50.5%","46.2%","51.4%","50.9%","50.3%","51.9%"
"147","147","Connecticut","50.5%","48.2%","42.9%","51.1%","50.0%","51.2%"
"148","148","USC","50.5%","50.8%","47.2%","51.8%","49.0%","51.1%"
"149","149","Monmouth","50.5%","47.1%","39.6%","51.4%","49.8%","49.7%"
"150","150","Oklahoma","50.5%","51.5%","51.9%","51.3%","49.7%","51.4%"
"151","151","SC Upstate","50.5%","47.6%","51.6%","49.2%","51.3%","50.2%"
"152","152","Dartmouth","50.5%","50.5%","44.0%","50.3%","50.7%","50.8%"
"153","153","Arkansas","50.5%","51.4%","53.5%","51.9%","48.6%","50.0%"
"154","154","New Mexico","50.5%","48.9%","48.8%","52.3%","48.6%","52.7%"
"155","155","Murray St","50.5%","53.4%","56.1%","51.8%","49.7%","50.5%"
"156","156","Air Force","50.4%","44.2%","45.0%","52.9%","47.6%","47.9%"
"157","157","Grand Canyon","50.4%","54.9%","53.6%","50.3%","50.5%","52.2%"
"158","158","Alabama St","50.4%","53.0%","57.1%","52.8%","49.2%","49.5%"
"159","159","Wm & Mary","50.4%","48.2%","44.4%","54.6%","47.7%","51.2%"
"160","160","Memphis","50.4%","47.9%","44.6%","50.8%","49.8%","51.4%"
"161","161","St Josephs","50.4%","47.9%","54.7%","49.8%","50.9%","51.9%"
"162","162","San Diego St","50.4%","51.0%","51.2%","51.5%","49.4%","53.6%"
"163","163","E Carolina","50.3%","45.3%","38.6%","51.9%","48.3%","48.5%"
"164","164","Northwestern","50.3%","48.5%","52.3%","50.8%","49.7%","51.4%"
"165","165","Norfolk St","50.3%","50.2%","50.0%","50.3%","50.3%","49.2%"
"166","166","W Kentucky","50.3%","51.0%","52.3%","51.5%","49.3%","53.3%"
"167","167","Dayton","50.3%","52.4%","50.7%","51.9%","48.5%","53.2%"
"168","168","UC Davis","50.3%","47.4%","41.9%","49.8%","50.5%","48.6%"
"169","169","S Dakota St","50.3%","57.1%","63.8%","51.8%","49.3%","53.6%"
"170","170","Vanderbilt","50.3%","49.7%","47.8%","51.3%","49.2%","50.8%"
"171","171","Montana","50.2%","53.0%","57.8%","50.3%","50.2%","51.8%"
"172","172","SIU Edward","50.2%","51.4%","57.3%","51.3%","49.5%","50.5%"
"173","173","Boston Col","50.2%","46.9%","50.0%","49.8%","50.7%","45.8%"
"174","174","Maryland","50.2%","48.0%","47.1%","49.8%","50.7%","51.7%"
"175","175","Winthrop","50.2%","52.5%","52.8%","51.2%","49.2%","48.6%"
"176","176","Pittsburgh","50.2%","47.3%","48.7%","51.8%","48.3%","54.9%"
"177","177","Alcorn State","50.1%","53.8%","53.2%","54.7%","47.5%","50.8%"
"178","178","Samford","50.1%","50.0%","53.6%","51.6%","49.2%","48.9%"
"179","179","NC State","50.1%","49.3%","47.5%","52.9%","46.3%","52.7%"
"180","180","N Colorado","50.1%","54.3%","50.0%","52.6%","48.6%","49.3%"
"181","181","UNLV","50.1%","48.0%","50.7%","51.1%","48.3%","49.0%"
"182","182","San Fransco","50.0%","54.3%","57.1%","50.1%","50.0%","51.4%"
"183","183","Ohio","50.0%","53.1%","62.8%","51.6%","48.2%","50.8%"
"184","184","St Peters","50.0%","49.2%","56.6%","50.3%","49.8%","52.1%"
"185","185","South Dakota","50.0%","49.4%","45.9%","52.1%","48.8%","47.0%"
"186","186","Marquette","50.0%","46.0%","47.8%","50.9%","48.8%","50.1%"
"187","187","Hofstra","50.0%","46.1%","42.9%","48.3%","51.2%","51.3%"
"188","188","LA Monroe","50.0%","52.5%","55.2%","51.6%","48.9%","50.4%"
"189","189","High Point","49.9%","45.1%","42.9%","48.9%","51.0%","49.9%"
"190","190","Iowa","49.9%","54.3%","52.0%","50.7%","48.8%","50.6%"
"191","191","AR Lit Rock","49.9%","55.6%","50.8%","51.6%","48.5%","49.2%"
