"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Quinnipiac","43.3","33.3","31.0","45.3","41.6","45.4"
"2","2","TX-Arlington","43.3","42.0","45.0","45.1","42.0","36.4"
"3","3","Geo Mason","42.5","49.3","53.0","43.2","41.8","35.9"
"4","4","Colorado","42.0","42.3","33.0","44.2","40.0","37.3"
"5","5","Michigan St","41.5","36.3","30.0","45.1","38.6","37.4"
"6","6","Purdue","41.2","41.3","52.0","42.2","40.2","36.7"
"7","7","Valparaiso","41.2","39.0","34.0","41.2","41.2","36.6"
"8","8","N Mex State","41.0","37.7","36.0","44.4","38.1","34.8"
"9","9","Hampton","41.0","35.3","31.0","43.3","39.9","36.9"
"10","10","LA Lafayette","40.9","40.3","44.0","40.6","41.2","38.9"
"11","11","Xavier","40.8","42.7","36.0","40.4","41.1","34.7"
"12","12","BYU","40.7","39.3","45.0","42.3","39.2","38.7"
"13","13","Army","40.6","39.3","37.0","39.9","41.2","34.2"
"14","14","IL-Chicago","40.6","37.7","42.0","41.2","40.1","33.2"
"15","15","N Carolina","40.6","37.0","36.0","41.7","39.9","40.5"
"16","16","Memphis","40.6","36.7","27.0","41.9","38.6","37.6"
"17","17","Arizona","40.2","41.3","39.0","39.9","40.6","36.8"
"18","18","Yale","40.2","39.0","42.0","41.0","39.7","34.7"
"19","19","S Carolina","40.2","32.7","21.0","41.4","38.7","35.6"
"20","20","Siena","40.1","35.7","26.0","39.6","40.4","33.0"
"21","21","Washington","40.0","38.3","38.0","42.2","37.6","34.9"
"22","22","Colorado St","39.9","38.7","44.0","39.6","40.2","37.7"
"23","23","Fla Gulf Cst","39.9","45.0","43.0","39.9","39.9","37.7"
"24","24","Florida","39.9","37.7","35.0","41.8","38.4","33.2"
"25","25","Seton Hall","39.9","38.3","34.0","39.6","40.1","36.2"
"26","26","Nevada","39.8","38.7","40.0","40.1","39.5","38.8"
"27","27","Arkansas St","39.7","39.3","40.0","40.6","38.9","35.4"
"28","28","California","39.7","36.3","38.0","41.6","37.6","35.6"
"29","29","NC State","39.6","37.0","34.0","39.4","39.7","38.0"
"30","30","UCLA","39.6","34.3","29.0","40.8","38.2","38.0"
"31","31","Texas A&M","39.5","45.7","42.0","39.7","39.3","36.4"
"32","32","S Methodist","39.4","40.0","42.0","41.3","37.0","36.3"
"33","33","W Virginia","39.4","36.7","48.0","43.2","36.6","36.3"
"34","34","Gonzaga","39.4","39.7","37.0","41.9","37.7","37.8"
"35","35","Wagner","39.3","36.3","28.0","40.8","37.9","36.9"
"36","36","USC","39.3","39.3","35.0","38.4","40.3","35.9"
"37","37","Mercer","39.3","38.7","39.0","38.7","39.7","33.9"
"38","38","Oakland","39.2","35.0","27.0","38.3","39.7","33.5"
"39","39","James Mad","39.1","34.0","33.0","39.2","39.0","32.4"
"40","40","Cincinnati","39.1","41.0","30.0","38.2","40.1","34.8"
"41","41","Duquesne","39.0","35.7","37.0","40.6","37.7","35.9"
"42","42","San Fransco","38.9","33.7","29.0","39.6","38.1","34.5"
"43","43","Central FL","38.9","40.0","47.0","39.8","37.8","33.3"
"44","44","GA Tech","38.8","36.0","30.0","39.9","37.6","38.3"
"45","45","Monmouth","38.8","37.7","36.0","39.3","38.5","32.8"
"46","46","San Diego St","38.8","40.0","40.0","40.4","37.2","35.4"
"47","47","Georgia","38.8","32.0","35.0","39.8","37.5","38.2"
"48","48","Old Dominion","38.8","38.0","40.0","39.6","38.3","36.2"
"49","49","Hofstra","38.8","34.0","33.0","40.6","37.7","36.5"
"50","50","Kentucky","38.8","37.7","34.0","39.9","37.7","38.0"
"51","51","Towson","38.7","37.0","38.0","41.2","36.8","38.4"
"52","52","Jackson St","38.7","33.7","27.0","40.1","38.0","37.1"
"53","53","Buffalo","38.6","40.0","31.0","37.6","39.4","38.2"
"54","54","Coastal Car","38.6","41.3","36.0","40.5","36.7","37.2"
"55","55","Stony Brook","38.6","41.3","46.0","37.5","39.5","40.6"
"56","56","Vanderbilt","38.6","36.7","38.0","38.9","38.2","33.3"
"57","57","Albany","38.5","45.3","48.0","37.4","39.4","33.6"
"58","58","S Florida","38.5","38.3","34.0","38.8","38.2","33.4"
"59","59","Mississippi","38.3","40.7","43.0","40.6","36.6","37.9"
"60","60","Dayton","38.3","37.3","28.0","38.9","37.7","31.2"
"61","61","Oklahoma","38.3","36.0","29.0","41.5","36.1","38.3"
"62","62","St Josephs","38.3","33.7","37.0","39.8","37.1","35.5"
"63","63","Wake Forest","38.3","40.7","45.0","37.9","38.6","37.4"
"64","64","WI-Grn Bay","38.2","33.7","25.0","39.1","37.7","35.5"
"65","65","Louisville","38.2","29.3","28.0","41.2","33.3","37.5"
"66","66","N Hampshire","38.1","41.3","39.0","38.0","38.2","35.9"
"67","67","Grand Canyon","38.1","37.7","41.0","39.7","36.1","31.1"
"68","68","Iowa","38.1","35.7","29.0","40.5","36.1","37.5"
"69","69","Ohio State","38.1","40.3","35.0","39.2","36.4","35.5"
"70","70","Tennessee","38.0","36.0","35.0","41.4","35.0","32.5"
"71","71","W Kentucky","38.0","38.0","22.0","37.3","38.5","36.4"
"72","72","CS Bakersfld","38.0","34.0","35.0","39.7","36.8","34.3"
"73","73","Geo Wshgtn","37.9","38.0","33.0","38.7","37.2","36.6"
"74","74","N Illinois","37.9","36.7","36.0","40.3","35.4","33.9"
"75","75","TX Southern","37.8","40.3","39.0","41.9","36.3","34.1"
"76","76","LIU-Brooklyn","37.8","37.7","35.0","39.9","36.1","37.4"
"77","77","UNLV","37.7","36.3","31.0","39.7","35.9","34.9"
"78","78","Delaware","37.7","37.7","36.0","39.3","36.7","35.4"
"79","79","Kansas","37.6","39.7","32.0","38.8","36.7","37.9"
"80","80","LA Tech","37.6","35.7","42.0","39.2","36.1","33.6"
"81","81","Sacred Hrt","37.6","40.3","37.0","38.4","37.2","38.2"
"82","82","Houston","37.6","31.3","25.0","39.6","34.9","35.5"
"83","83","Indiana St","37.5","40.7","38.0","39.7","36.0","32.0"
"84","84","Pittsburgh","37.5","30.3","36.0","38.8","35.9","32.9"
"85","85","UAB","37.5","33.0","28.0","39.5","35.8","36.3"
"86","86","VCU","37.4","36.7","37.0","37.5","37.4","35.4"
"87","87","Montana St","37.4","37.0","38.0","36.9","37.7","33.1"
