"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Creighton","122.5%","104.0%","81.2%","130.5%","115.2%","121.3%"
"2","2","Weber State","118.7%","113.4%","115.6%","122.1%","115.4%","114.7%"
"3","3","Belmont","118.6%","108.1%","103.4%","125.6%","113.9%","117.8%"
"4","4","Valparaiso","118.5%","110.7%","89.0%","121.3%","115.6%","114.1%"
"5","5","Indiana","117.9%","107.4%","85.6%","122.3%","112.7%","119.1%"
"6","6","Denver","117.3%","105.5%","92.6%","122.0%","112.3%","121.2%"
"7","7","Harvard","117.1%","107.4%","76.1%","125.1%","110.4%","113.9%"
"8","8","Gonzaga","116.3%","104.5%","96.2%","120.5%","112.6%","114.8%"
"9","9","E Kentucky","116.1%","117.0%","123.0%","120.4%","112.4%","106.1%"
"10","10","Davidson","115.8%","113.4%","102.7%","116.6%","115.3%","110.6%"
"11","11","UC Davis","115.7%","112.1%","85.8%","121.2%","111.6%","102.7%"
"12","12","LIU-Brooklyn","115.3%","121.6%","83.8%","118.8%","113.2%","115.5%"
"13","13","Duke","115.2%","105.8%","96.5%","118.0%","112.8%","113.0%"
"14","14","Bryant","115.2%","122.5%","118.2%","125.7%","104.4%","99.9%"
"15","15","CS Fullerton","115.1%","106.2%","112.6%","110.1%","117.9%","114.4%"
"16","16","Air Force","115.0%","103.5%","93.2%","125.6%","106.4%","108.7%"
"17","17","Montana","114.7%","93.5%","57.0%","116.6%","113.5%","112.3%"
"18","18","Florida","114.6%","106.9%","92.1%","119.6%","111.2%","115.2%"
"19","19","Kansas","114.4%","114.4%","120.1%","115.8%","113.0%","111.2%"
"20","20","St Marys","114.3%","93.0%","80.4%","119.7%","109.2%","113.9%"
"21","21","S Dakota St","114.3%","124.2%","100.4%","117.1%","112.5%","114.7%"
"22","22","NC State","114.1%","115.9%","120.8%","122.2%","106.2%","107.8%"
"23","23","Iowa State","113.8%","112.2%","119.2%","117.6%","110.1%","111.4%"
"24","24","Wm & Mary","113.6%","126.0%","125.5%","118.9%","110.1%","102.0%"
"25","25","Princeton","113.5%","109.4%","110.9%","116.7%","110.9%","111.0%"
