"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Georgia St","10.6%","6.9%","6.4%","11.3%","10.2%","15.6%"
"2","2","Wisconsin","11.2%","12.3%","11.9%","11.3%","11.1%","13.2%"
"3","3","Drexel","11.2%","11.3%","9.4%","10.8%","11.4%","16.0%"
"4","4","VA Military","11.5%","12.3%","9.6%","12.0%","11.2%","14.9%"
"5","5","Delaware","11.6%","11.2%","10.0%","11.1%","11.9%","15.9%"
"6","6","Colorado St","11.9%","11.4%","7.8%","11.0%","13.2%","14.2%"
"7","7","W Virginia","12.1%","15.8%","16.6%","10.4%","14.0%","16.5%"
"8","8","Duke","12.2%","10.6%","15.0%","12.5%","11.8%","13.7%"
"9","9","Syracuse","12.2%","12.6%","13.0%","12.6%","11.7%","15.6%"
"10","10","Cal Poly","12.5%","10.8%","8.3%","14.0%","11.8%","13.5%"
"11","11","Toledo","12.5%","7.6%","9.9%","12.7%","12.4%","15.4%"
"12","12","Iowa State","12.7%","13.1%","11.1%","11.6%","13.5%","15.8%"
"13","13","San Diego St","12.7%","12.4%","13.5%","11.2%","13.7%","15.5%"
"14","14","UCLA","12.7%","9.3%","10.2%","11.8%","13.7%","13.7%"
"15","15","Louisville","12.8%","17.2%","13.3%","11.3%","14.2%","15.2%"
"16","16","Boise State","12.8%","13.5%","12.9%","10.8%","14.4%","16.0%"
"17","17","Oklahoma St","12.9%","10.2%","12.8%","12.5%","13.2%","15.7%"
"18","18","Temple","12.9%","13.0%","10.0%","12.4%","13.2%","13.7%"
"19","19","Michigan","13.0%","11.7%","9.9%","11.9%","13.7%","12.6%"
"20","20","BYU","13.0%","14.2%","10.8%","12.6%","13.3%","14.5%"
"21","21","Fresno St","13.0%","17.6%","10.4%","13.7%","12.5%","15.9%"
"22","22","Butler","13.1%","12.9%","17.1%","12.3%","13.8%","17.2%"
"23","23","Iona","13.1%","12.6%","13.9%","12.5%","13.6%","14.8%"
"24","24","California","13.1%","15.0%","13.1%","12.8%","13.5%","16.3%"
"25","25","Arizona","13.2%","9.0%","9.3%","12.6%","13.7%","16.7%"
"26","26","Creighton","13.3%","11.0%","11.8%","13.2%","13.3%","16.7%"
"27","27","Iowa","13.3%","10.4%","8.3%","13.2%","13.3%","15.7%"
"28","28","Nevada","13.3%","11.5%","11.7%","13.3%","13.3%","16.3%"
"29","29","NC State","13.3%","12.3%","13.6%","13.1%","13.6%","15.4%"
"30","30","LA Tech","13.4%","11.5%","8.1%","12.5%","13.9%","14.8%"
"31","31","St Johns","13.4%","10.4%","7.0%","13.4%","13.3%","14.2%"
"32","32","Mississippi","13.4%","9.7%","9.9%","13.4%","13.4%","13.4%"
"33","33","Santa Clara","13.4%","12.1%","12.3%","12.1%","14.6%","15.7%"
"34","34","Arkansas","13.5%","10.8%","5.7%","12.9%","14.2%","13.9%"
"35","35","Oklahoma","13.5%","12.2%","11.4%","12.5%","14.6%","14.9%"
"36","36","Fordham","13.6%","9.5%","11.8%","12.6%","14.4%","19.0%"
"37","37","Radford","13.6%","11.5%","10.6%","13.5%","13.7%","16.4%"
"38","38","Notre Dame","13.6%","16.1%","8.0%","14.4%","12.5%","15.0%"
