"","Rank","Team","2012","Last 3","Last 1","Home","Away","2011"
"1","1","Michigan","9.4","10.3","10.0","7.8","10.6","10.6"
"2","2","Bucknell","9.5","5.7","9.0","9.2","9.7","11.6"
"3","3","Cal Poly","9.5","9.7","7.0","8.8","10.0","10.5"
"4","4","Wisconsin","9.8","11.3","11.0","9.3","10.2","8.7"
"5","5","Missouri St","10.3","8.0","9.0","9.4","11.0","10.5"
"6","6","Ohio State","10.4","8.7","9.0","11.5","9.4","11.7"
"7","7","Troy","10.5","9.3","11.0","10.7","10.3","12.1"
"8","8","S Dakota St","10.6","11.3","12.0","9.7","11.2","10.3"
"9","9","Duke","10.6","9.7","12.0","10.8","10.4","12.1"
"10","10","Rice","10.7","10.0","9.0","11.1","10.3","13.2"
"11","11","Northwestern","10.7","10.3","9.0","10.6","10.7","9.9"
"12","12","Nebraska","10.7","9.0","15.0","10.3","11.1","12.9"
"13","13","Miami (FL)","10.7","8.3","8.0","11.1","10.4","11.2"
"14","14","Temple","10.8","8.3","10.0","11.4","10.1","12.3"
"15","15","Detroit","10.8","10.0","11.0","9.9","11.5","12.5"
"16","16","Columbia","10.8","11.0","12.0","9.9","11.6","12.3"
"17","17","S Florida","10.9","9.7","11.0","11.4","10.3","12.8"
"18","18","Lehigh","10.9","10.7","10.0","9.7","11.9","11.3"
"19","19","Southern","11.0","11.0","10.0","9.4","11.6","13.7"
"20","20","Davidson","11.0","9.7","11.0","10.7","11.2","11.8"
"21","21","Pittsburgh","11.1","14.3","15.0","10.8","11.3","12.5"
"22","22","Colorado St","11.1","15.7","20.0","10.5","11.6","12.5"
"23","23","James Mad","11.1","12.3","10.0","11.4","11.0","12.9"
"24","24","Denver","11.2","9.3","14.0","9.8","12.5","11.8"
"25","25","N Dakota St","11.2","11.3","14.0","9.9","11.8","12.3"
"26","26","UCLA","11.2","11.3","15.0","11.2","11.2","11.7"
"27","27","Virginia","11.2","15.0","16.0","11.2","11.1","11.4"
"28","28","Evansville","11.2","10.0","9.0","11.3","11.1","12.4"
"29","29","Gonzaga","11.2","10.3","13.0","11.1","11.3","12.8"
"30","30","Florida","11.2","13.0","15.0","10.8","11.5","11.1"
"31","31","Navy","11.2","11.3","10.0","9.9","12.2","14.1"
"32","32","Sac State","11.2","11.3","14.0","10.7","11.7","13.5"
"33","33","Notre Dame","11.2","13.3","17.0","10.9","11.7","9.9"
"34","34","Pacific","11.3","10.0","14.0","10.9","11.6","11.6"
"35","35","W Illinois","11.3","9.7","10.0","11.2","11.4","11.1"
"36","36","Mississippi","11.4","12.3","13.0","11.5","11.3","14.1"
"37","37","Boston Col","11.4","11.0","11.0","11.4","11.3","14.4"
"38","38","St Johns","11.4","12.7","14.0","10.3","12.4","12.9"
"39","39","Illinois","11.4","10.7","8.0","12.6","10.4","13.2"
"40","40","N Kentucky","11.4","7.3","14.0","8.6","12.8","--"
"41","41","Clemson","11.5","10.0","11.0","11.3","11.6","11.8"
"42","42","Saint Louis","11.5","13.3","12.0","11.2","11.8","11.2"
"43","43","Montana St","11.5","9.7","12.0","10.3","12.6","13.6"
"44","44","Fresno St","11.5","8.3","8.0","11.2","11.6","10.5"
"45","45","Wyoming","11.5","13.3","17.0","11.8","11.1","11.1"
"46","46","La Salle","11.5","9.7","9.0","11.1","11.7","12.8"
"47","47","Niagara","11.5","8.3","11.0","12.3","10.8","12.8"
"48","48","Kansas St","11.5","11.0","9.0","12.1","11.0","14.2"
"49","49","New Mexico","11.5","10.0","11.0","11.4","11.7","13.2"
"50","50","Arkansas","11.6","11.3","11.0","11.5","11.7","12.9"
"51","51","Georgia St","11.6","10.3","11.0","12.3","10.9","11.6"
"52","52","VCU","11.7","10.3","11.0","11.1","12.3","11.3"
"53","53","Elon","11.7","13.0","19.0","10.2","12.8","13.5"
"54","54","Oklahoma","11.8","7.3","9.0","11.5","11.9","12.7"
"55","55","E Kentucky","11.8","12.3","11.0","11.4","12.1","10.5"
"56","56","Youngs St","11.8","11.3","15.0","11.9","11.6","11.2"
"57","57","Stony Brook","11.8","11.7","11.0","11.1","12.1","12.3"
"58","58","Drexel","11.8","12.0","17.0","12.0","11.7","11.4"
"59","59","Stanford","11.8","13.0","14.0","11.9","11.7","13.6"
"60","60","St Marys","11.8","9.7","13.0","10.4","13.1","11.6"
"61","61","Baylor","11.8","7.7","11.0","11.3","12.4","13.7"
"62","62","TX A&M-CC","11.9","10.7","7.0","11.6","12.1","15.1"
"63","63","Toledo","11.9","10.7","12.0","10.8","12.7","13.3"
