"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","NC-Wilmgton","13.6%","14.1%","20.7%","13.2%","13.8%","15.6%"
"2","2","Notre Dame","13.8%","11.3%","12.5%","13.7%","13.9%","14.9%"
"3","3","Iowa State","13.8%","12.6%","17.9%","14.3%","13.4%","15.5%"
"4","4","Arizona St","14.0%","12.7%","14.4%","13.9%","14.2%","16.7%"
"5","5","Central Mich","14.3%","12.0%","12.7%","12.8%","15.5%","13.3%"
"6","6","Michigan","14.5%","14.4%","15.3%","13.9%","15.4%","13.9%"
"7","7","Stetson","14.7%","13.9%","13.0%","13.5%","15.4%","16.5%"
"8","8","Butler","14.7%","15.6%","12.5%","13.4%","16.1%","14.2%"
"9","9","Houston","14.8%","17.2%","18.5%","14.7%","14.9%","15.0%"
"10","10","Northwestern","15.0%","13.4%","12.3%","14.0%","16.3%","15.3%"
"11","11","UCLA","15.0%","10.9%","11.1%","14.0%","16.2%","16.4%"
"12","12","Hofstra","15.0%","11.1%","10.3%","13.7%","15.9%","16.3%"
"13","13","Stony Brook","15.1%","20.7%","24.4%","15.5%","14.6%","16.8%"
"14","14","Princeton","15.2%","10.6%","6.3%","13.4%","16.2%","15.9%"
"15","15","Virginia","15.3%","12.0%","11.6%","15.6%","14.9%","14.8%"
"16","16","Cincinnati","15.3%","15.4%","9.5%","13.3%","18.3%","16.0%"
"17","17","Montana","15.3%","9.9%","8.4%","15.0%","15.6%","17.9%"
"18","18","Nevada","15.4%","8.3%","9.5%","15.6%","15.2%","17.2%"
"19","19","Clemson","15.4%","14.1%","12.6%","14.3%","16.7%","15.4%"
"20","20","Wichita St","15.5%","15.2%","12.3%","15.1%","15.8%","14.2%"
"21","21","Maryland BC","15.5%","14.9%","13.3%","15.8%","15.3%","17.1%"
"22","22","Kentucky","15.5%","15.8%","9.1%","16.2%","14.7%","15.8%"
"23","23","Col Charlestn","15.5%","17.4%","17.8%","14.9%","16.0%","18.9%"
"24","24","NC-Asheville","15.5%","15.1%","11.7%","16.6%","14.8%","18.0%"
"25","25","Gonzaga","15.5%","14.7%","13.2%","14.6%","16.5%","16.6%"
"26","26","Marshall","15.6%","15.2%","15.2%","14.2%","17.0%","16.1%"
"27","27","USC","15.6%","16.7%","20.8%","15.9%","15.2%","16.2%"
"28","28","Cal Poly","15.6%","17.0%","18.9%","15.1%","15.9%","14.8%"
"29","29","Middle Tenn","15.6%","14.8%","13.4%","16.2%","15.1%","16.7%"
"30","30","Youngs St","15.7%","14.7%","16.4%","14.5%","16.3%","15.3%"
"31","31","TX Southern","15.7%","11.6%","9.9%","13.7%","16.6%","18.8%"
"32","32","Santa Clara","15.7%","13.8%","7.6%","15.7%","15.6%","16.5%"
"33","33","Portland St","15.7%","17.2%","12.5%","16.0%","15.5%","17.1%"
"34","34","Minnesota","15.7%","16.8%","18.4%","16.0%","15.2%","16.0%"
"35","35","Florida St","15.8%","15.6%","14.2%","15.4%","16.4%","17.4%"
"36","36","Charl South","15.8%","11.6%","15.3%","14.1%","17.1%","17.5%"
"37","37","South Dakota","15.8%","13.2%","12.6%","15.2%","16.2%","16.0%"
"38","38","Liberty","15.9%","15.3%","8.4%","16.7%","15.2%","21.1%"
"39","39","Louisville","15.9%","19.2%","20.3%","16.5%","15.2%","16.9%"
"40","40","Charlotte","15.9%","15.1%","13.6%","14.8%","17.1%","16.0%"
"41","41","Memphis","15.9%","14.6%","15.4%","14.6%","17.8%","16.0%"
"42","42","Arkansas","16.0%","14.7%","14.3%","15.6%","16.5%","14.9%"
"43","43","N Carolina","16.1%","15.7%","12.2%","15.1%","17.2%","15.0%"
"44","44","Duke","16.1%","16.6%","10.8%","15.2%","17.1%","13.8%"
"45","45","Colorado St","16.2%","12.5%","12.2%","17.2%","15.0%","15.9%"
"46","46","Wake Forest","16.2%","15.1%","17.1%","15.9%","16.5%","19.7%"
"47","47","Montana St","16.2%","17.9%","16.3%","15.9%","16.5%","16.9%"
"48","48","Iona","16.2%","13.9%","13.7%","17.6%","15.4%","17.2%"
"49","49","Temple","16.2%","13.7%","17.3%","15.7%","16.8%","13.3%"
"50","50","Rhode Island","16.3%","20.0%","16.8%","17.0%","15.4%","17.0%"
"51","51","Elon","16.3%","8.1%","10.3%","15.0%","17.3%","17.3%"
"52","52","Monmouth","16.3%","16.5%","11.9%","15.3%","17.1%","16.0%"
"53","53","Texas Tech","16.3%","18.9%","26.4%","14.5%","19.2%","17.3%"
"54","54","Florida","16.4%","15.1%","18.0%","18.1%","15.5%","15.6%"
"55","55","Wisconsin","16.4%","15.2%","15.3%","15.9%","16.9%","16.7%"
"56","56","IUPUI","16.4%","15.3%","19.3%","14.9%","17.2%","18.5%"
"57","57","W Virginia","16.4%","16.0%","19.2%","14.9%","18.6%","19.6%"
"58","58","Oral Roberts","16.5%","13.2%","8.2%","13.2%","18.6%","17.0%"
"59","59","S Methodist","16.5%","9.4%","11.2%","16.8%","16.0%","18.3%"
"60","60","Fla Atlantic","16.5%","16.7%","14.8%","16.1%","16.9%","17.2%"
"61","61","Murray St","16.5%","16.2%","22.6%","15.3%","17.3%","17.5%"
"62","62","Creighton","16.5%","21.1%","19.4%","16.0%","17.1%","15.8%"
"63","63","E Michigan","16.6%","13.3%","17.2%","16.8%","16.3%","17.0%"
"64","64","Weber State","16.6%","15.9%","18.7%","16.3%","16.8%","19.4%"
"65","65","N Dakota St","16.6%","14.7%","18.5%","14.9%","17.7%","15.9%"
"66","66","Richmond","16.6%","16.4%","6.7%","15.1%","18.3%","14.5%"
"67","67","Villanova","16.7%","15.8%","10.0%","17.3%","16.1%","16.0%"
"68","68","Missouri","16.7%","14.0%","10.6%","16.2%","17.4%","17.7%"
"69","69","Pacific","16.7%","15.3%","12.9%","17.3%","16.2%","19.1%"
"70","70","Arizona","16.7%","12.1%","10.1%","16.6%","16.8%","17.7%"
"71","71","Akron","16.7%","18.4%","20.0%","16.8%","16.7%","15.1%"
"72","72","St Josephs","16.7%","17.8%","16.5%","15.6%","17.7%","13.8%"
"73","73","Sac State","16.7%","22.1%","14.0%","17.1%","16.5%","16.3%"
"74","74","Citadel","16.8%","18.8%","17.2%","14.6%","18.5%","16.5%"
"75","75","GA Southern","16.9%","22.7%","15.5%","15.2%","17.7%","15.7%"
"76","76","E Washingtn","16.9%","16.6%","18.2%","15.3%","18.4%","15.7%"
"77","77","St Peters","16.9%","17.5%","23.4%","16.6%","17.0%","19.2%"
"78","78","St Fran (NY)","16.9%","20.1%","26.9%","14.9%","18.2%","19.9%"
"79","79","Marquette","16.9%","18.0%","18.1%","16.7%","17.2%","19.1%"
"80","80","Loyola-Chi","16.9%","18.2%","27.9%","15.4%","18.2%","18.3%"
"81","81","Dayton","16.9%","20.3%","16.4%","16.0%","17.9%","18.2%"
"82","82","Austin Peay","17.0%","15.9%","19.5%","15.0%","18.2%","19.9%"
"83","83","San Diego St","17.0%","15.9%","18.0%","16.9%","17.0%","17.9%"
"84","84","Davidson","17.0%","19.1%","15.4%","16.3%","17.6%","14.0%"
"85","85","Bowling Grn","17.0%","15.5%","15.5%","18.1%","15.8%","18.1%"
"86","86","St Marys","17.0%","17.0%","20.5%","15.7%","18.4%","15.1%"
"87","87","Vermont","17.0%","14.3%","17.1%","14.8%","18.9%","18.7%"
"88","88","VA Tech","17.0%","19.3%","12.9%","15.7%","18.8%","17.6%"
"89","89","N Iowa","17.0%","14.0%","7.4%","16.3%","17.5%","14.7%"
"90","90","Oregon","17.1%","11.6%","11.7%","17.6%","16.5%","15.7%"
"91","91","Beth-Cook","17.1%","18.5%","19.6%","16.7%","17.4%","17.9%"
"92","92","Wm & Mary","17.1%","15.1%","15.8%","15.9%","17.9%","15.5%"
"93","93","Old Dominion","17.1%","14.2%","12.6%","15.2%","18.9%","14.0%"
"94","94","Tennessee","17.2%","18.8%","11.4%","15.4%","19.5%","15.5%"
"95","95","Wofford","17.2%","15.8%","15.5%","15.2%","18.3%","17.7%"
"96","96","St Bonavent","17.2%","16.9%","16.0%","16.5%","17.9%","16.1%"
"97","97","E Illinois","17.2%","15.1%","21.9%","16.6%","17.7%","17.7%"
"98","98","Cal St Nrdge","17.2%","13.2%","14.2%","15.5%","18.6%","18.9%"
"99","99","Ohio","17.2%","15.9%","19.3%","17.6%","16.8%","16.5%"
"100","100","LA Tech","17.2%","18.4%","8.4%","14.9%","19.7%","16.6%"
"101","101","S Illinois","17.2%","17.5%","15.2%","17.2%","17.3%","19.0%"
"102","102","Texas State","17.3%","17.5%","11.4%","16.8%","17.6%","17.3%"
"103","103","SE Missouri","17.3%","13.5%","13.2%","17.4%","17.2%","19.5%"
"104","104","Wyoming","17.3%","17.1%","20.1%","16.3%","18.4%","16.6%"
"105","105","Savannah St","17.3%","14.7%","16.3%","15.7%","18.1%","21.3%"
"106","106","Pittsburgh","17.3%","20.7%","19.5%","17.2%","17.5%","17.0%"
"107","107","Maryland ES","17.3%","16.7%","7.9%","17.9%","17.1%","22.7%"
"108","108","W Michigan","17.3%","20.6%","22.1%","15.6%","18.8%","17.4%"
"109","109","Drake","17.3%","17.1%","21.9%","15.0%","19.6%","19.8%"
"110","110","Indiana St","17.3%","14.0%","14.2%","18.3%","16.6%","18.1%"
"111","111","Colorado","17.4%","13.9%","18.4%","16.3%","18.6%","18.3%"
"112","112","IPFW","17.4%","19.5%","18.6%","16.5%","18.1%","16.8%"
"113","113","Auburn","17.4%","14.7%","15.9%","15.7%","19.0%","18.5%"
"114","114","Niagara","17.4%","13.4%","14.0%","17.1%","17.6%","20.6%"
"115","115","SC Upstate","17.4%","12.5%","19.0%","18.3%","16.9%","19.5%"
"116","116","St Johns","17.4%","15.0%","15.4%","17.3%","17.6%","20.3%"
"117","117","Holy Cross","17.4%","16.7%","23.0%","18.1%","16.9%","16.3%"
"118","118","Penn State","17.5%","12.5%","16.6%","16.5%","18.4%","16.5%"
"119","119","Syracuse","17.5%","17.9%","18.4%","17.4%","17.6%","17.6%"
"120","120","Boise State","17.5%","18.6%","23.8%","15.2%","19.4%","16.0%"
"121","121","WI-Grn Bay","17.5%","17.6%","11.0%","16.2%","18.3%","15.3%"
"122","122","Mercer","17.5%","13.3%","10.2%","16.9%","18.0%","18.7%"
"123","123","Evansville","17.5%","15.4%","16.8%","16.8%","18.2%","17.8%"
"124","124","Coastal Car","17.6%","10.4%","9.5%","18.3%","16.8%","18.3%"
"125","125","Winthrop","17.6%","16.0%","14.5%","16.5%","18.5%","17.4%"
"126","126","UNLV","17.6%","16.9%","21.3%","17.7%","17.6%","18.5%"
"127","127","BYU","17.7%","18.7%","16.0%","17.3%","18.0%","15.4%"
"128","128","Delaware","17.7%","15.6%","15.8%","16.7%","18.3%","17.2%"
"129","129","Pepperdine","17.7%","10.3%","9.9%","16.1%","18.9%","15.6%"
"130","130","Fla Gulf Cst","17.7%","15.9%","10.5%","17.6%","17.8%","16.9%"
"131","131","LA Lafayette","17.7%","19.4%","15.0%","17.3%","18.1%","17.1%"
"132","132","Air Force","17.7%","19.8%","17.2%","16.5%","19.1%","18.4%"
"133","133","Kansas","17.7%","20.1%","18.7%","19.4%","16.1%","17.4%"
"134","134","S Car State","17.8%","19.1%","23.7%","18.0%","17.7%","16.4%"
"135","135","Providence","17.8%","20.0%","18.0%","18.8%","16.4%","15.9%"
"136","136","W Kentucky","17.8%","18.3%","16.2%","16.0%","19.3%","18.5%"
"137","137","Florida A&M","17.8%","19.6%","19.7%","16.3%","18.9%","21.9%"
"138","138","San Jose St","17.8%","16.9%","30.1%","18.4%","17.1%","18.8%"
"139","139","Wash State","17.8%","17.1%","16.6%","16.7%","19.2%","19.0%"
"140","140","TX-San Ant","17.8%","15.3%","14.2%","15.2%","19.6%","17.8%"
"141","141","Grand Canyon","17.9%","15.4%","18.2%","16.6%","19.3%","16.5%"
"142","142","VCU","17.9%","11.3%","7.1%","15.8%","20.1%","15.8%"
"143","143","Oakland","17.9%","14.7%","10.5%","16.7%","19.4%","14.9%"
"144","144","S Utah","17.9%","11.2%","12.2%","18.1%","17.8%","18.3%"
"145","145","Albany","17.9%","19.6%","27.4%","15.6%","19.7%","18.0%"
"146","146","Valparaiso","17.9%","18.2%","25.6%","17.7%","18.1%","18.5%"
"147","147","S Dakota St","17.9%","19.0%","26.7%","17.6%","18.1%","16.6%"
"148","148","Illinois","17.9%","13.6%","11.3%","17.3%","18.6%","14.6%"
"149","149","UCSB","17.9%","17.6%","12.6%","18.5%","17.5%","18.0%"
"150","150","Troy","17.9%","16.6%","12.2%","18.3%","17.7%","16.4%"
