"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Belmont","56.9%","49.5%","39.4%","60.0%","54.9%","56.9%"
"2","2","Creighton","56.3%","60.5%","54.8%","58.5%","54.3%","55.7%"
"3","3","SE Missouri","55.9%","54.5%","48.3%","59.4%","53.6%","50.0%"
"4","4","Iona","55.8%","58.3%","53.3%","57.7%","54.6%","50.4%"
"5","5","E Kentucky","55.7%","57.8%","38.5%","53.7%","57.0%","55.4%"
"6","6","Kansas","55.5%","52.6%","33.3%","60.3%","52.1%","52.9%"
"7","7","N Dakota St","55.4%","45.9%","36.1%","59.1%","53.7%","52.3%"
"8","8","American","55.1%","45.5%","31.8%","56.1%","54.4%","43.8%"
"9","9","Iowa State","54.4%","52.7%","49.1%","56.6%","52.7%","51.9%"
"10","10","Montana","54.1%","53.3%","55.8%","57.1%","51.9%","52.0%"
"11","11","IPFW","54.0%","58.2%","63.2%","58.2%","51.9%","47.5%"
"12","12","Colgate","54.0%","50.0%","48.5%","55.7%","52.2%","46.2%"
"13","13","Bryant","53.8%","49.0%","42.9%","53.0%","54.5%","54.9%"
"14","14","Villanova","53.8%","50.0%","35.0%","57.3%","50.6%","46.0%"
"15","15","Utah","53.7%","39.6%","41.4%","58.3%","46.7%","46.6%"
"16","16","W Michigan","53.7%","51.4%","41.9%","57.3%","51.1%","48.2%"
"17","17","Gonzaga","53.6%","48.6%","42.1%","55.8%","52.0%","55.0%"
"18","18","Austin Peay","53.5%","56.1%","59.0%","56.0%","51.9%","48.8%"
"19","19","Davidson","53.5%","56.4%","50.0%","52.0%","54.3%","52.0%"
"20","20","UCLA","53.0%","55.3%","52.2%","53.6%","52.2%","48.9%"
"21","21","Samford","53.0%","55.8%","50.0%","58.7%","49.9%","48.7%"
"22","22","Wyoming","53.0%","51.6%","39.1%","56.7%","49.1%","50.8%"
"23","23","Wm & Mary","52.9%","55.7%","62.9%","54.2%","51.9%","52.1%"
"24","24","N Mex State","52.9%","52.0%","42.9%","57.2%","50.0%","49.8%"
"25","25","Memphis","52.8%","44.7%","45.7%","54.0%","51.6%","51.1%"
"26","26","San Fransco","52.7%","48.7%","57.1%","54.7%","50.2%","48.0%"
"27","27","Louisville","52.7%","48.2%","57.9%","55.2%","50.1%","50.8%"
"28","28","Michigan","52.6%","48.9%","51.3%","57.3%","49.4%","53.4%"
"29","29","N Colorado","52.6%","52.9%","52.9%","54.7%","50.9%","49.2%"
"30","30","Fla Gulf Cst","52.5%","49.1%","44.1%","54.6%","50.8%","52.3%"
"31","31","Oregon St","52.3%","58.5%","66.7%","52.5%","52.1%","47.8%"
"32","32","Youngs St","52.3%","46.8%","52.6%","54.7%","50.8%","46.5%"
"33","33","Ohio","52.3%","52.4%","66.7%","53.8%","50.5%","54.3%"
"34","34","Wichita St","52.3%","53.6%","60.7%","51.0%","53.4%","49.6%"
"35","35","Hartford","52.3%","48.2%","43.8%","54.0%","51.3%","46.9%"
"36","36","St Josephs","52.3%","55.2%","60.6%","50.7%","53.5%","50.0%"
"37","37","Ste F Austin","52.3%","55.2%","43.3%","51.6%","52.7%","50.9%"
"38","38","LA Tech","52.2%","47.7%","39.6%","53.4%","51.3%","45.7%"
"39","39","Nicholls St","52.2%","49.5%","65.5%","55.2%","50.6%","50.1%"
