"","Rank","Team","2013","Last 3","Last 1","Home","Away","2012"
"1","1","Lamar","80.7%","72.6%","63.8%","79.0%","81.9%","89.2%"
"2","2","Cal St Nrdge","79.0%","80.7%","88.3%","78.6%","79.2%","73.9%"
"3","3","N Carolina","78.9%","74.8%","71.4%","79.4%","78.2%","69.1%"
"4","4","S Florida","78.3%","86.9%","92.3%","76.7%","80.1%","63.5%"
"5","5","BYU","77.5%","76.9%","68.9%","77.9%","77.1%","71.4%"
"6","6","TX A&M-CC","76.9%","70.7%","66.0%","78.1%","75.8%","70.5%"
"7","7","S Methodist","76.3%","72.3%","73.3%","74.8%","77.6%","80.0%"
"8","8","Siena","76.2%","76.2%","81.1%","73.4%","78.8%","66.3%"
"9","9","Evansville","76.1%","79.5%","71.9%","78.4%","74.1%","72.2%"
"10","10","Bowling Grn","76.1%","75.3%","73.1%","74.4%","77.4%","71.5%"
"11","11","St Johns","75.9%","68.5%","52.6%","74.2%","78.1%","77.8%"
"12","12","Jackson St","75.8%","70.6%","66.1%","76.9%","75.0%","65.0%"
"13","13","Oral Roberts","75.7%","68.7%","73.6%","75.1%","76.0%","76.1%"
"14","14","WI-Grn Bay","75.6%","72.7%","72.3%","75.1%","76.1%","72.5%"
"15","15","Quinnipiac","75.3%","78.9%","79.7%","73.3%","76.8%","77.8%"
"16","16","Loyola Mymt","74.9%","69.5%","71.0%","72.9%","76.0%","67.9%"
"17","17","St Bonavent","74.7%","79.5%","74.6%","75.5%","74.2%","64.2%"
"18","18","Geo Mason","74.7%","75.4%","75.0%","73.6%","75.5%","72.2%"
"19","19","IUPUI","74.6%","77.3%","72.5%","73.2%","75.5%","65.7%"
"20","20","NC State","74.5%","78.0%","85.0%","73.6%","75.6%","76.3%"
"21","21","San Diego St","74.4%","70.1%","74.1%","73.8%","74.8%","67.6%"
"22","22","Texas","74.0%","80.8%","82.3%","73.1%","74.8%","69.4%"
"23","23","U Mass","73.9%","73.0%","83.3%","72.0%","75.2%","63.8%"
"24","24","Albany","73.9%","78.0%","74.5%","70.4%","75.8%","67.1%"
"25","25","Texas Tech","73.8%","79.7%","90.7%","73.7%","73.9%","69.8%"
"26","26","Houston Bap","73.8%","69.5%","66.7%","72.2%","74.8%","73.6%"
"27","27","North Texas","73.6%","67.7%","72.9%","72.4%","74.5%","78.1%"
"28","28","Arizona","73.6%","75.6%","79.7%","74.5%","72.8%","62.5%"
"29","29","NW State","73.5%","71.3%","63.6%","74.8%","72.7%","70.2%"
"30","30","S Illinois","73.4%","72.8%","75.5%","73.1%","73.7%","73.3%"
"31","31","TX El Paso","73.4%","66.7%","78.4%","75.0%","71.4%","67.9%"
"32","32","Marquette","73.3%","74.5%","75.6%","74.1%","72.6%","73.1%"
"33","33","UAB","73.3%","68.9%","55.9%","72.1%","74.6%","66.8%"
"34","34","Oregon St","73.3%","77.8%","73.8%","73.7%","72.8%","72.5%"
"35","35","NC-Grnsboro","73.3%","82.7%","81.0%","70.9%","75.4%","65.2%"
"36","36","N Mex State","73.3%","76.2%","75.4%","72.1%","74.0%","76.2%"
"37","37","Florida St","73.2%","70.1%","65.4%","70.0%","76.0%","68.0%"
"38","38","Pittsburgh","73.1%","71.9%","66.7%","72.7%","73.6%","73.7%"
"39","39","Gard-Webb","73.1%","71.6%","72.2%","75.7%","71.7%","68.6%"
