"","Rank","Team","2015","Last 3","Last 1","Home","Away","2014"
"1","1","Villanova","0.875","1.000","1.000","0.938","0.833","0.917"
"2","2","Kansas","0.865","0.667","0.000","1.000","0.762","0.750"
"3","3","AR Lit Rock","0.849","0.667","0.000","1.000","0.762","0.400"
"4","4","S Methodist","0.833","0.667","0.000","0.941","0.692","0.788"
"5","5","Michigan St","0.829","0.667","0.000","0.875","0.789","0.692"
"6","6","N Carolina","0.825","0.667","0.000","0.938","0.750","0.684"
"7","7","St Marys","0.824","0.667","0.000","0.950","0.643","0.667"
"8","8","Xavier","0.824","0.333","0.000","0.938","0.722","0.622"
"9","9","Chattanooga","0.818","0.667","0.000","0.917","0.762","0.667"
"10","10","Hawaii","0.812","0.667","0.000","0.824","0.800","0.606"
"11","11","Oregon","0.811","0.667","0.000","1.000","0.650","0.714"
"12","12","Ste F Austin","0.800","0.667","0.000","1.000","0.700","0.839"
"13","13","Valparaiso","0.800","0.667","0.000","0.938","0.684","0.806"
"14","14","Oklahoma","0.784","0.667","0.000","0.933","0.682","0.686"
"15","15","Virginia","0.784","0.667","0.000","1.000","0.636","0.882"
"16","16","UAB","0.781","0.333","0.000","1.000","0.588","0.543"
"17","17","Grand Canyon","0.781","0.667","0.000","0.889","0.643","0.500"
"18","18","Monmouth","0.778","0.333","0.000","0.846","0.739","0.545"
"19","19","St Josephs","0.778","0.667","0.000","0.750","0.800","0.419"
"20","20","Stony Brook","0.774","0.667","0.000","0.929","0.647","0.636"
"21","21","Gonzaga","0.771","0.667","0.000","0.714","0.809","0.919"
"22","22","Miami (FL)","0.771","0.667","0.000","0.938","0.632","0.658"
"23","23","Indiana","0.771","0.667","0.000","1.000","0.556","0.588"
"24","24","Yale","0.759","0.667","0.000","1.000","0.611","0.667"
"25","25","Dayton","0.758","0.333","0.000","0.824","0.688","0.750"
"26","26","Texas A&M","0.757","0.667","0.000","0.944","0.579","0.636"
"27","27","Princeton","0.750","0.667","0.000","1.000","0.562","0.517"
"28","28","S Dakota St","0.750","0.667","0.000","1.000","0.619","0.667"
"29","29","Kentucky","0.750","0.667","0.000","1.000","0.526","0.974"
"30","30","Utah","0.743","0.333","0.000","0.938","0.579","0.735"
"31","31","Purdue","0.743","0.333","0.000","0.944","0.529","0.618"
"32","32","Maryland","0.743","0.667","0.000","0.938","0.579","0.800"
"33","33","W Virginia","0.743","0.333","0.000","0.867","0.650","0.714"
"34","34","NC-Wilmgton","0.742","0.667","0.000","0.833","0.684","0.548"
"35","35","TX A&M-CC","0.742","0.333","0.000","0.917","0.632","0.562"
"36","36","Louisville","0.742","0.333","0.000","0.947","0.417","0.750"
"37","37","Geo Wshgtn","0.737","1.000","1.000","0.842","0.632","0.629"
"38","38","Seton Hall","0.735","0.667","0.000","0.812","0.667","0.516"
"39","39","Arizona","0.735","0.333","0.000","0.944","0.500","0.895"
"40","40","Wichita St","0.735","0.667","0.000","0.929","0.600","0.853"
"41","41","Akron","0.735","0.333","0.000","1.000","0.550","0.588"
"42","42","S Carolina","0.727","0.333","0.000","0.833","0.600","0.500"
"43","43","Evansville","0.727","0.667","0.000","0.800","0.667","0.657"
"44","44","San Diego St","0.722","0.667","0.000","0.778","0.667","0.743"
"45","45","UC Irvine","0.722","0.667","0.000","0.818","0.680","0.594"
"46","46","Albany","0.719","0.333","0.000","0.929","0.556","0.727"
"47","47","Weber State","0.719","0.667","0.000","0.909","0.619","0.393"
"48","48","St Bonavent","0.710","0.333","0.000","0.824","0.571","0.581"
"49","49","CS Bakersfld","0.700","0.667","0.000","0.917","0.556","0.367"
"50","50","Middle Tenn","0.697","0.667","0.000","0.769","0.650","0.514"
"51","51","Fresno St","0.697","0.667","0.000","0.875","0.529","0.433"
"52","52","Hofstra","0.697","0.333","0.000","0.833","0.619","0.588"
"53","53","Columbia","0.697","1.000","1.000","0.800","0.538","0.444"
"54","54","BYU","0.694","0.667","0.000","0.889","0.500","0.697"
"55","55","VCU","0.694","0.333","0.000","0.882","0.526","0.722"
"56","56","Connecticut","0.694","0.667","0.000","0.824","0.579","0.571"
"57","57","Duke","0.694","0.667","0.000","0.833","0.556","0.897"
"58","58","Winthrop","0.690","0.667","0.000","0.917","0.529","0.552"
"59","59","IPFW","0.688","0.333","0.000","0.909","0.571","0.464"
"60","60","Houston","0.688","0.333","0.000","0.833","0.500","0.406"
"61","61","S Illinois","0.688","0.333","0.000","0.750","0.625","0.344"
"62","62","Providence","0.686","0.333","0.000","0.765","0.611","0.647"
"63","63","LA Tech","0.677","0.000","0.000","0.933","0.438","0.743"
"64","64","TX-Arlington","0.676","0.333","0.000","0.857","0.550","0.500"
"65","65","California","0.676","0.333","0.000","1.000","0.312","0.545"
"66","66","Notre Dame","0.667","0.667","0.000","0.875","0.500","0.842"
"67","67","Wagner","0.667","0.333","0.000","0.750","0.588","0.310"
"68","68","Cincinnati","0.667","0.333","0.000","0.824","0.500","0.676"
"69","69","Iowa","0.667","0.333","0.000","0.867","0.500","0.647"
"70","70","Butler","0.667","0.333","0.000","0.812","0.529","0.676"
"71","71","Iona","0.667","0.667","0.000","0.846","0.550","0.743"
"72","72","Old Dominion","0.658","1.000","1.000","0.733","0.609","0.771"
"73","73","Oakland","0.657","0.667","0.000","0.667","0.652","0.452"
"74","74","Iowa State","0.657","0.667","0.000","0.875","0.474","0.735"
"75","75","N Mex State","0.656","0.333","0.000","0.867","0.471","0.656"
"76","76","Ohio","0.647","0.667","0.000","0.833","0.438","0.333"
"77","77","E Tenn St","0.647","0.333","0.000","0.846","0.524","0.500"
"78","78","James Mad","0.645","0.333","0.000","0.647","0.643","0.576"
"79","79","Hampton","0.645","0.667","0.000","0.800","0.571","0.486"
"80","80","Baylor","0.636","0.333","0.000","0.737","0.500","0.697"
"81","81","Colorado","0.636","0.333","0.000","0.938","0.353","0.471"
"82","82","Temple","0.636","0.333","0.000","0.786","0.526","0.703"
"83","83","Wisconsin","0.629","0.667","0.000","0.722","0.529","0.900"
"84","84","Michigan","0.629","0.333","0.000","0.750","0.526","0.484"
"85","85","N Iowa","0.629","0.667","0.000","0.769","0.545","0.886"
"86","86","Pittsburgh","0.625","0.333","0.000","0.778","0.429","0.545"
"87","87","Tulsa","0.625","0.333","0.000","0.800","0.471","0.697"
"88","88","Mississippi","0.625","0.667","0.000","0.857","0.444","0.618"
