"","Rank","Team","2016","Last 3","Last 1","Home","Away","2015"
"1","1","Princeton","1.000","1.000","--","1.000","1.000","0.667"
"2","2","St Marys","1.000","--","--","--","1.000","0.714"
"3","3","Gonzaga","1.000","--","--","--","1.000","0.462"
"4","4","Belmont","1.000","1.000","--","1.000","1.000","0.375"
"5","5","CS Fullerton","0.857","--","--","0.833","1.000","0.429"
"6","6","TN Martin","0.857","--","--","1.000","0.750","0.667"
"7","7","N Kentucky","0.857","1.000","--","1.000","0.800","0.200"
"8","8","Grand Canyon","0.833","--","--","0.750","1.000","0.571"
"9","9","Arkansas","0.833","--","--","1.000","0.800","0.273"
"10","10","Fairfield","0.833","1.000","--","0.667","1.000","0.800"
"11","11","TX Southern","0.833","--","--","1.000","0.800","0.500"
"12","12","Col Charlestn","0.833","1.000","--","0.500","1.000","0.467"
"13","13","Kansas","0.818","1.000","1.000","0.750","0.857","0.750"
"14","14","UCLA","0.800","1.000","--","1.000","0.750","0.400"
"15","15","Geo Wshgtn","0.800","1.000","--","0.833","0.750","0.667"
"16","16","UMKC","0.800","1.000","1.000","0.667","1.000","0.429"
"17","17","Wisconsin","0.800","0.000","--","0.667","1.000","0.462"
"18","18","Iona","0.800","1.000","1.000","0.667","1.000","0.200"
"19","19","UC Irvine","0.800","1.000","--","1.000","0.750","0.778"
"20","20","Delaware","0.778","1.000","--","0.800","0.750","0.429"
"21","21","N Mex State","0.750","--","--","1.000","0.667","0.333"
"22","22","USC","0.750","0.000","--","0.750","0.750","0.500"
"23","23","Villanova","0.750","--","--","1.000","0.500","0.833"
"24","24","Mississippi","0.750","1.000","1.000","0.750","0.750","0.500"
"25","25","Oregon","0.750","1.000","--","1.000","0.600","0.571"
"26","26","San Jose St","0.750","--","--","0.667","1.000","0.286"
"27","27","N Carolina","0.750","--","--","1.000","0.500","0.455"
"28","28","E Washingtn","0.750","--","--","1.000","0.333","0.286"
"29","29","Maryland","0.750","1.000","1.000","0.667","1.000","0.600"
"30","30","Illinois St","0.750","--","--","1.000","0.333","0.750"
"31","31","S Dakota St","0.750","1.000","1.000","1.000","0.600","0.667"
"32","32","LIU-Brooklyn","0.733","0.667","0.000","0.429","1.000","0.636"
"33","33","Auburn","0.727","0.000","--","0.667","0.750","1.000"
"34","34","Lafayette","0.714","0.500","0.000","0.667","0.750","0.444"
"35","35","VCU","0.714","--","--","0.667","0.750","0.375"
"36","36","NC-Grnsboro","0.714","0.500","0.000","0.667","0.750","0.600"
"37","37","N Iowa","0.714","--","--","0.600","1.000","0.692"
"38","38","Rutgers","0.714","0.500","1.000","0.750","0.667","0.333"
"39","39","Middle Tenn","0.714","1.000","--","1.000","0.667","0.800"
"40","40","Arkansas St","0.714","0.000","0.000","1.000","0.500","0.364"
"41","41","W Kentucky","0.714","--","--","0.800","0.500","0.429"
"42","42","Wm & Mary","0.714","1.000","--","1.000","0.500","0.375"
"43","43","Florida St","0.714","0.500","--","1.000","0.500","0.556"
"44","44","Incarnate Word","0.714","--","--","1.000","0.333","0.750"
"45","45","Louisville","0.714","--","--","1.000","0.333","0.429"
"46","46","Houston","0.714","1.000","--","0.600","1.000","0.500"
"47","47","Saint Louis","0.714","1.000","--","0.833","0.000","0.600"
"48","48","Geo Mason","0.700","1.000","--","0.600","0.800","0.571"
"49","49","Xavier","0.700","--","--","0.750","0.667","0.333"
"50","50","Akron","0.700","0.000","--","0.600","0.800","0.571"
"51","51","Monmouth","0.700","0.000","0.000","0.667","0.714","0.600"
"52","52","Texas State","0.700","1.000","1.000","0.667","0.714","0.444"
"53","53","Wright State","0.692","0.000","0.000","0.571","0.833","0.700"
"54","54","Youngs St","0.692","1.000","--","0.667","0.714","0.429"
"55","55","Central FL","0.667","1.000","1.000","0.500","0.800","0.333"
"56","56","SE Missouri","0.667","1.000","--","1.000","0.571","0.333"
"57","57","Nevada","0.667","--","--","0.500","0.714","0.688"
"58","58","Arizona","0.667","0.000","--","0.500","0.750","0.500"
"59","59","Arizona St","0.667","1.000","--","1.000","0.500","0.333"
"60","60","Boise State","0.667","--","--","1.000","0.500","0.455"
"61","61","Houston Bap","0.667","--","--","1.000","0.500","0.857"
"62","62","N Florida","0.667","1.000","--","0.600","1.000","0.750"
"63","63","Cincinnati","0.667","0.000","--","1.000","0.500","0.462"
"64","64","Wash State","0.667","--","--","1.000","0.333","0.200"
